index,actions,age,degree,group,knows_game,knows_gt,level_studies,player,predictions,private_account,profession,public_account,rounds,sex,threshold,time_end_action,time_end_pred,time_start_action,time_start_pred,treatment,gap_threshold,round_donations,time_elapsed_action,time_elapsed_pred,etimeactionnr,etimeprednr
11,2,26,Biology,21,False,1.0,master,61,12.0,30,student,46,4,Male,False,2017-11-21 15:32:57.696000000,2017-11-21 15:33:23.186000000,2017-11-21 15:32:42.432000000,2017-11-21 15:33:08.354000000,1,74,10,0 days 00:00:15.264000000,0 days 00:00:14.832000000,15264000000,14832000000
12,0,26,Biology,21,False,1.0,master,61,10.0,24,student,110,10,Male,False,2017-11-21 15:39:34.034000000,2017-11-21 15:40:12.225000000,2017-11-21 15:39:01.684000000,2017-11-21 15:40:04.800000000,1,10,8,0 days 00:00:32.350000000,0 days 00:00:07.425000000,32350000000,7425000000
13,0,26,Biology,21,False,1.0,master,61,8.0,30,student,76,7,Male,False,2017-11-21 15:35:36.657000000,2017-11-21 15:36:11.144000000,2017-11-21 15:35:16.409000000,2017-11-21 15:35:57.364000000,1,44,12,0 days 00:00:20.248000000,0 days 00:00:13.780000000,20248000000,13780000000
14,4,26,Biology,21,False,1.0,master,61,10.0,36,student,14,1,Male,False,2017-11-21 15:29:56.437000000,2017-11-21 15:30:25.344000000,2017-11-21 15:29:39.652000000,2017-11-21 15:30:17.242000000,1,106,14,0 days 00:00:16.785000000,0 days 00:00:08.102000000,16785000000,8102000000
15,0,26,Biology,21,False,1.0,master,61,10.0,32,student,36,3,Male,False,2017-11-21 15:32:02.580000000,2017-11-21 15:32:41.882000000,2017-11-21 15:31:45.350000000,2017-11-21 15:32:33.640000000,1,84,8,0 days 00:00:17.230000000,0 days 00:00:08.242000000,17230000000,8242000000
16,2,26,Biology,21,False,1.0,master,61,12.0,24,student,102,9,Male,False,2017-11-21 15:37:52.317000000,2017-11-21 15:38:40.975000000,2017-11-21 15:37:28.161000000,2017-11-21 15:38:33.115000000,1,18,12,0 days 00:00:24.156000000,0 days 00:00:07.860000000,24156000000,7860000000
17,0,26,Biology,21,False,1.0,master,61,14.0,30,student,64,6,Male,False,2017-11-21 15:34:44.834000000,2017-11-21 15:35:15.854000000,2017-11-21 15:34:26.874000000,2017-11-21 15:35:05.496000000,1,56,6,0 days 00:00:17.960000000,0 days 00:00:10.358000000,17960000000,10358000000
18,4,26,Biology,21,False,1.0,master,61,12.0,26,student,90,8,Male,False,2017-11-21 15:37:01.158000000,2017-11-21 15:37:07.444000000,2017-11-21 15:36:31.926000000,2017-11-21 15:37:01.659000000,1,30,14,0 days 00:00:29.232000000,0 days 00:00:05.785000000,29232000000,5785000000
19,4,26,Biology,21,False,1.0,master,61,10.0,32,student,28,2,Male,False,2017-11-21 15:31:14.150000000,2017-11-21 15:31:44.616000000,2017-11-21 15:30:56.065000000,2017-11-21 15:31:34.922000000,1,92,14,0 days 00:00:18.085000000,0 days 00:00:09.694000000,18085000000,9694000000
20,2,20,Psychology,21,False,0.0,bachelor,63,80.0,26,student,76,7,Female,False,2017-11-21 15:50:39.366000000,2017-11-21 15:51:16.590000000,2017-11-21 15:50:30.706000000,2017-11-21 15:51:10.089000000,1,44,12,0 days 00:00:08.660000000,0 days 00:00:06.501000000,8660000000,6501000000
21,2,20,Psychology,21,False,0.0,bachelor,63,48.0,32,student,46,4,Female,False,2017-11-21 15:48:05.042000000,2017-11-21 15:48:22.519000000,2017-11-21 15:47:59.842000000,2017-11-21 15:48:15.670000000,1,74,10,0 days 00:00:05.200000000,0 days 00:00:06.849000000,5200000000,6849000000
22,2,20,Psychology,21,False,0.0,bachelor,63,92.0,24,student,90,8,Female,False,2017-11-21 15:51:51.224000000,2017-11-21 15:52:24.783000000,2017-11-21 15:51:37.260000000,2017-11-21 15:52:11.870000000,1,30,14,0 days 00:00:13.964000000,0 days 00:00:12.913000000,13964000000,12913000000
23,2,20,Psychology,21,False,0.0,bachelor,63,106.0,22,student,102,9,Female,False,2017-11-21 15:52:47.607000000,2017-11-21 15:53:57.136000000,2017-11-21 15:52:35.402000000,2017-11-21 15:53:48.522000000,1,18,12,0 days 00:00:12.205000000,0 days 00:00:08.614000000,12205000000,8614000000
24,2,20,Psychology,21,False,0.0,bachelor,63,36.0,34,student,36,3,Female,False,2017-11-21 15:47:00.929000000,2017-11-21 15:47:49.230000000,2017-11-21 15:46:55.675000000,2017-11-21 15:47:41.980000000,1,84,8,0 days 00:00:05.254000000,0 days 00:00:07.250000000,5254000000,7250000000
25,2,20,Psychology,21,False,0.0,bachelor,63,120.0,20,student,110,10,Female,False,2017-11-21 15:54:21.566000000,2017-11-21 15:55:28.330000000,2017-11-21 15:54:07.746000000,2017-11-21 15:55:12.459000000,1,10,8,0 days 00:00:13.820000000,0 days 00:00:15.871000000,13820000000,15871000000
26,2,20,Psychology,21,False,0.0,bachelor,63,24.0,36,student,28,2,Female,False,2017-11-21 15:46:33.327000000,2017-11-21 15:46:45.072000000,2017-11-21 15:46:03.544000000,2017-11-21 15:46:33.810000000,1,92,14,0 days 00:00:29.783000000,0 days 00:00:11.262000000,29783000000,11262000000
27,2,20,Psychology,21,False,0.0,bachelor,63,72.0,28,student,64,6,Female,False,2017-11-21 15:49:41.563000000,2017-11-21 15:50:20.101000000,2017-11-21 15:49:35.343000000,2017-11-21 15:50:12.445000000,1,56,6,0 days 00:00:06.220000000,0 days 00:00:07.656000000,6220000000,7656000000
28,2,20,Psychology,21,False,0.0,bachelor,63,60.0,30,student,58,5,Female,False,2017-11-21 15:48:37.368000000,2017-11-21 15:49:14.459000000,2017-11-21 15:48:33.180000000,2017-11-21 15:49:08.073000000,1,62,12,0 days 00:00:04.188000000,0 days 00:00:06.386000000,4188000000,6386000000
29,2,20,Psychology,21,False,0.0,bachelor,63,12.0,38,student,14,1,Female,False,2017-11-21 15:45:10.946000000,2017-11-21 15:46:02.978000000,2017-11-21 15:44:49.122000000,2017-11-21 15:45:21.615000000,1,106,14,0 days 00:00:21.824000000,0 days 00:00:41.363000000,21824000000,41363000000
30,4,23,Computer Science,21,False,1.0,bachelor,69,72.0,22,student,76,7,Male,False,2017-11-21 15:35:29.733000000,2017-11-21 15:36:21.410000000,2017-11-21 15:35:22.768000000,2017-11-21 15:36:00.452000000,1,44,12,0 days 00:00:06.965000000,0 days 00:00:20.958000000,6965000000,20958000000
31,2,23,Computer Science,21,False,1.0,bachelor,69,122.0,14,student,110,10,Male,False,2017-11-21 15:38:59.998000000,2017-11-21 15:40:09.202000000,2017-11-21 15:38:51.977000000,2017-11-21 15:40:00.995000000,1,10,8,0 days 00:00:08.021000000,0 days 00:00:08.207000000,8021000000,8207000000
32,4,23,Computer Science,21,False,1.0,bachelor,69,40.0,30,student,46,4,Male,False,2017-11-21 15:33:03.881000000,2017-11-21 15:33:22.519000000,2017-11-21 15:32:48.834000000,2017-11-21 15:33:14.510000000,1,74,10,0 days 00:00:15.047000000,0 days 00:00:08.009000000,15047000000,8009000000
33,4,23,Computer Science,21,False,1.0,bachelor,69,10.0,34,student,28,2,Male,False,2017-11-21 15:31:18.081000000,2017-11-21 15:31:34.153000000,2017-11-21 15:31:02.128000000,2017-11-21 15:31:28.653000000,1,92,14,0 days 00:00:15.953000000,0 days 00:00:05.500000000,15953000000,5500000000
34,2,23,Computer Science,21,False,1.0,bachelor,69,52.0,28,student,58,5,Male,False,2017-11-21 15:33:33.562000000,2017-11-21 15:34:13.794000000,2017-11-21 15:33:23.044000000,2017-11-21 15:34:04.304000000,1,62,12,0 days 00:00:10.518000000,0 days 00:00:09.490000000,10518000000,9490000000
35,2,23,Computer Science,21,False,1.0,bachelor,69,62.0,26,student,64,6,Male,False,2017-11-21 15:34:54.832000000,2017-11-21 15:35:12.109000000,2017-11-21 15:34:34.589000000,2017-11-21 15:34:55.343000000,1,56,6,0 days 00:00:20.243000000,0 days 00:00:16.766000000,20243000000,16766000000
36,2,23,Computer Science,21,False,1.0,bachelor,69,90.0,20,student,90,8,Male,False,2017-11-21 15:36:45.530000000,2017-11-21 15:37:15.320000000,2017-11-21 15:36:22.002000000,2017-11-21 15:37:06.326000000,1,30,14,0 days 00:00:23.528000000,0 days 00:00:08.994000000,23528000000,8994000000
37,2,23,Computer Science,21,False,1.0,bachelor,69,10.0,38,student,14,1,Male,False,2017-11-21 15:29:50.426000000,2017-11-21 15:30:21.227000000,2017-11-21 15:29:38.273000000,2017-11-21 15:30:11.192000000,1,106,14,0 days 00:00:12.153000000,0 days 00:00:10.035000000,12153000000,10035000000
38,4,23,Computer Science,21,False,1.0,bachelor,69,110.0,16,student,102,9,Male,False,2017-11-21 15:37:34.290000000,2017-11-21 15:38:51.456000000,2017-11-21 15:37:25.949000000,2017-11-21 15:38:35.205000000,1,18,12,0 days 00:00:08.341000000,0 days 00:00:16.251000000,8341000000,16251000000
39,0,23,Computer Science,21,False,1.0,bachelor,69,28.0,34,student,36,3,Male,False,2017-11-21 15:32:01.997000000,2017-11-21 15:32:38.098000000,2017-11-21 15:31:44.828000000,2017-11-21 15:32:22.750000000,1,84,8,0 days 00:00:17.169000000,0 days 00:00:15.348000000,17169000000,15348000000
40,2,27,Engineering,21,False,0.0,master,71,74.0,32,student,76,7,Male,False,2017-11-22 07:32:12.582000000,2017-11-22 07:32:41.335000000,2017-11-22 07:31:59.324000000,2017-11-22 07:32:33.314000000,1,44,12,0 days 00:00:13.258000000,0 days 00:00:08.021000000,13258000000,8021000000
41,2,27,Engineering,21,False,0.0,master,71,38.0,38,student,36,3,Male,False,2017-11-22 07:28:34.836000000,2017-11-22 07:29:13.933000000,2017-11-22 07:28:26.100000000,2017-11-22 07:29:05.674000000,1,84,8,0 days 00:00:08.736000000,0 days 00:00:08.259000000,8736000000,8259000000
42,0,27,Engineering,21,False,0.0,master,71,86.0,32,student,90,8,Male,False,2017-11-22 07:33:22.239000000,2017-11-22 07:33:59.233000000,2017-11-22 07:33:02.177000000,2017-11-22 07:33:43.126000000,1,30,14,0 days 00:00:20.062000000,0 days 00:00:16.107000000,20062000000,16107000000
43,2,27,Engineering,21,False,0.0,master,71,56.0,34,student,58,5,Male,False,2017-11-22 07:30:23.371000000,2017-11-22 07:30:41.296000000,2017-11-22 07:30:03.739000000,2017-11-22 07:30:34.086000000,1,62,12,0 days 00:00:19.632000000,0 days 00:00:07.210000000,19632000000,7210000000
44,0,27,Engineering,21,False,0.0,master,71,10.0,40,student,14,1,Male,False,2017-11-22 07:26:15.503000000,2017-11-22 07:26:54.797000000,2017-11-22 07:26:08.148000000,2017-11-22 07:26:46.463000000,1,106,14,0 days 00:00:07.355000000,0 days 00:00:08.334000000,7355000000,8334000000
45,0,27,Engineering,21,False,0.0,master,71,24.0,40,student,28,2,Male,False,2017-11-22 07:27:47.280000001,2017-11-22 07:28:15.374000000,2017-11-22 07:27:35.792000001,2017-11-22 07:28:08.063000000,1,92,14,0 days 00:00:11.488000000,0 days 00:00:07.311000000,11488000000,7311000000
46,0,27,Engineering,21,False,0.0,master,71,68.0,34,student,64,6,Male,False,2017-11-22 07:31:20.202000000,2017-11-22 07:31:48.637000000,2017-11-22 07:31:02.341000000,2017-11-22 07:31:40.961000000,1,56,6,0 days 00:00:17.861000000,0 days 00:00:07.676000000,17861000000,7676000000
47,4,27,Engineering,21,False,0.0,master,71,120.0,26,student,110,10,Male,False,2017-11-22 07:35:53.248000000,2017-11-22 07:36:54.279000000,2017-11-22 07:35:37.014000000,2017-11-22 07:36:44.255000000,1,10,8,0 days 00:00:16.234000000,0 days 00:00:10.024000000,16234000000,10024000000
48,2,27,Engineering,21,False,0.0,master,71,100.0,30,student,102,9,Male,False,2017-11-22 07:34:25.043000000,2017-11-22 07:35:16.166000000,2017-11-22 07:33:59.869000000,2017-11-22 07:35:05.997000000,1,18,12,0 days 00:00:25.174000000,0 days 00:00:10.169000000,25174000000,10169000000
49,2,27,Engineering,21,False,0.0,master,71,46.0,36,student,46,4,Male,False,2017-11-22 07:29:35.885000000,2017-11-22 07:29:53.002000000,2017-11-22 07:29:24.772000000,2017-11-22 07:29:46.555000000,1,74,10,0 days 00:00:11.113000000,0 days 00:00:06.447000000,11113000000,6447000000
50,2,24,Engineering,21,False,0.0,master,74,70.0,30,student,64,6,Male,False,2017-11-22 07:48:51.300000000,2017-11-22 07:49:17.930000000,2017-11-22 07:48:41.796000000,2017-11-22 07:49:12.163000000,1,56,6,0 days 00:00:09.504000000,0 days 00:00:05.767000000,9504000000,5767000000
51,2,24,Engineering,21,False,0.0,master,74,100.0,28,student,90,8,Male,False,2017-11-22 07:50:48.399000000,2017-11-22 07:51:33.029000000,2017-11-22 07:50:41.152000000,2017-11-22 07:51:19.343000000,1,30,14,0 days 00:00:07.247000000,0 days 00:00:13.686000000,7247000000,13686000000
52,2,24,Engineering,21,False,0.0,master,74,110.0,26,student,102,9,Male,False,2017-11-22 07:51:58.937000000,2017-11-22 07:52:57.253000000,2017-11-22 07:51:43.759000000,2017-11-22 07:52:49.885000000,1,18,12,0 days 00:00:15.178000000,0 days 00:00:07.368000000,15178000000,7368000000
53,0,24,Engineering,21,False,0.0,master,74,24.0,38,student,28,2,Male,False,2017-11-22 07:45:27.276000000,2017-11-22 07:45:51.074000000,2017-11-22 07:45:10.581000000,2017-11-22 07:45:38.050000000,1,92,14,0 days 00:00:16.695000000,0 days 00:00:13.024000000,16695000000,13024000000
54,2,24,Engineering,21,False,0.0,master,74,12.0,38,student,14,1,Male,False,2017-11-22 07:44:07.686000000,2017-11-22 07:44:49.553000000,2017-11-22 07:43:42.500000000,2017-11-22 07:44:28.474000000,1,106,14,0 days 00:00:25.186000000,0 days 00:00:21.079000000,25186000000,21079000000
55,2,24,Engineering,21,False,0.0,master,74,36.0,36,student,36,3,Male,False,2017-11-22 07:46:22.153000000,2017-11-22 07:46:49.169000000,2017-11-22 07:46:01.732000000,2017-11-22 07:46:42.845000000,1,84,8,0 days 00:00:20.421000000,0 days 00:00:06.324000000,20421000000,6324000000
56,4,24,Engineering,21,False,0.0,master,74,58.0,32,student,58,5,Male,False,2017-11-22 07:47:49.110000000,2017-11-22 07:48:20.932000000,2017-11-22 07:47:38.598000000,2017-11-22 07:48:09.892000000,1,62,12,0 days 00:00:10.512000000,0 days 00:00:11.040000000,10512000000,11040000000
57,0,24,Engineering,21,False,0.0,master,74,46.0,36,student,46,4,Male,False,2017-11-22 07:47:07.338000000,2017-11-22 07:47:27.914000000,2017-11-22 07:47:00.043000000,2017-11-22 07:47:18.021000000,1,74,10,0 days 00:00:07.295000000,0 days 00:00:09.893000000,7295000000,9893000000
58,0,24,Engineering,21,False,0.0,master,74,125.0,26,student,110,10,Male,False,2017-11-22 07:53:13.600000000,2017-11-22 07:54:26.965000000,2017-11-22 07:53:07.939000000,2017-11-22 07:54:14.597000000,1,10,8,0 days 00:00:05.661000000,0 days 00:00:12.368000000,5661000000,12368000000
59,0,24,Engineering,21,False,0.0,master,74,85.0,30,student,76,7,Male,False,2017-11-22 07:49:36.336000000,2017-11-22 07:50:20.370000000,2017-11-22 07:49:28.702000000,2017-11-22 07:50:07.176000000,1,44,12,0 days 00:00:07.634000000,0 days 00:00:13.194000000,7634000000,13194000000
60,2,23,Computer Science,22,True,1.0,master,58,46.0,34,student,36,3,Male,True,2017-11-22 07:21:03.379000000,2017-11-22 07:21:20.381000000,2017-11-22 07:20:39.535000000,2017-11-22 07:21:03.985000000,1,84,12,0 days 00:00:23.844000000,0 days 00:00:16.396000000,23844000000,16396000000
61,2,23,Computer Science,22,True,1.0,master,58,110.0,20,student,108,9,Male,True,2017-11-22 07:29:33.621000000,2017-11-22 07:30:14.429000000,2017-11-22 07:29:13.550000000,2017-11-22 07:29:34.168000000,1,12,14,0 days 00:00:20.071000000,0 days 00:00:40.261000000,20071000000,40261000000
62,2,23,Computer Science,22,True,1.0,master,58,120.0,18,student,118,10,Male,True,2017-11-22 07:30:48.859000000,2017-11-22 07:31:03.440000000,2017-11-22 07:30:15.020000000,2017-11-22 07:30:49.470000000,1,2,14,0 days 00:00:33.839000000,0 days 00:00:13.970000000,33839000000,13970000000
63,2,23,Computer Science,22,True,1.0,master,58,24.0,36,student,24,2,Male,True,2017-11-22 07:20:09.754000000,2017-11-22 07:20:28.755000000,2017-11-22 07:19:47.741000000,2017-11-22 07:20:20.643000000,1,96,12,0 days 00:00:22.013000000,0 days 00:00:08.112000000,22013000000,8112000000
64,2,23,Computer Science,22,True,1.0,master,58,84.0,24,student,86,7,Male,True,2017-11-22 07:26:54.492000000,2017-11-22 07:27:24.715000000,2017-11-22 07:26:15.416000000,2017-11-22 07:27:15.236000000,1,34,10,0 days 00:00:39.076000000,0 days 00:00:09.479000000,39076000000,9479000000
65,2,23,Computer Science,22,True,1.0,master,58,10.0,38,student,12,1,Male,True,2017-11-22 07:19:13.913000001,2017-11-22 07:19:37.007000000,2017-11-22 07:19:04.512000000,2017-11-22 07:19:24.647000000,1,108,12,0 days 00:00:09.401000001,0 days 00:00:12.360000000,9401000001,12360000000
66,2,23,Computer Science,22,True,1.0,master,58,58.0,30,student,58,5,Male,True,2017-11-22 07:23:29.099000000,2017-11-22 07:24:30.224000000,2017-11-22 07:23:06.425000000,2017-11-22 07:24:09.977000000,1,62,12,0 days 00:00:22.674000000,0 days 00:00:20.247000000,22674000000,20247000000
67,4,23,Computer Science,22,True,1.0,master,58,70.0,26,student,76,6,Male,True,2017-11-22 07:25:06.007000000,2017-11-22 07:26:14.794000000,2017-11-22 07:24:30.762000000,2017-11-22 07:25:46.956000000,1,44,18,0 days 00:00:35.245000000,0 days 00:00:27.838000000,35245000000,27838000000
68,2,23,Computer Science,22,True,1.0,master,58,48.0,32,student,46,4,Male,True,2017-11-22 07:22:33.728000000,2017-11-22 07:22:45.630000000,2017-11-22 07:22:21.402000000,2017-11-22 07:22:34.239000000,1,74,10,0 days 00:00:12.326000000,0 days 00:00:11.391000000,12326000000,11391000000
69,2,23,Computer Science,22,True,1.0,master,58,96.0,22,student,98,8,Male,True,2017-11-22 07:28:31.412000000,2017-11-22 07:28:52.791000000,2017-11-22 07:28:05.564000000,2017-11-22 07:28:32.128000000,1,22,12,0 days 00:00:25.848000000,0 days 00:00:20.663000000,25848000000,20663000000
70,2,39,Physics,22,True,0.0,postdoctoral,64,48.0,32,professor,46,4,Male,True,2017-11-22 07:34:18.111000000,2017-11-22 07:34:39.562000000,2017-11-22 07:34:06.547000000,2017-11-22 07:34:28.811000000,1,74,10,0 days 00:00:11.564000000,0 days 00:00:10.751000000,11564000000,10751000000
71,2,39,Physics,22,True,0.0,postdoctoral,64,84.0,24,professor,86,7,Male,True,2017-11-22 07:38:51.936000000,2017-11-22 07:39:21.023000000,2017-11-22 07:38:04.874000000,2017-11-22 07:39:02.603000000,1,34,10,0 days 00:00:47.062000000,0 days 00:00:18.420000000,47062000000,18420000000
72,2,39,Physics,22,True,0.0,postdoctoral,64,12.0,38,professor,12,1,Male,True,2017-11-22 07:30:58.188000000,2017-11-22 07:31:29.088000000,2017-11-22 07:30:53.334000000,2017-11-22 07:31:18.935000000,1,108,12,0 days 00:00:04.854000000,0 days 00:00:10.153000000,4854000000,10153000000
73,2,39,Physics,22,True,0.0,postdoctoral,64,24.0,36,professor,24,2,Male,True,2017-11-22 07:31:54.949000001,2017-11-22 07:32:16.435000000,2017-11-22 07:31:39.716000001,2017-11-22 07:32:05.627000001,1,96,12,0 days 00:00:15.233000000,0 days 00:00:10.807999999,15233000000,10807999999
74,4,39,Physics,22,True,0.0,postdoctoral,64,120.0,16,professor,118,10,Male,True,2017-11-22 07:42:36.601000000,2017-11-22 07:43:00.929000000,2017-11-22 07:42:04.791000000,2017-11-22 07:42:37.209000000,1,2,14,0 days 00:00:31.810000000,0 days 00:00:23.720000000,31810000000,23720000000
75,2,39,Physics,22,True,0.0,postdoctoral,64,36.0,34,professor,36,3,Male,True,2017-11-22 07:32:36.971000000,2017-11-22 07:33:05.514000000,2017-11-22 07:32:27.212000000,2017-11-22 07:32:57.808000000,1,84,12,0 days 00:00:09.759000000,0 days 00:00:07.706000000,9759000000,7706000000
76,2,39,Physics,22,True,0.0,postdoctoral,64,60.0,30,professor,58,5,Male,True,2017-11-22 07:35:53.609000000,2017-11-22 07:36:10.873000000,2017-11-22 07:34:50.410000000,2017-11-22 07:35:54.267000000,1,62,12,0 days 00:01:03.199000000,0 days 00:00:16.606000000,63199000000,16606000000
77,4,39,Physics,22,True,0.0,postdoctoral,64,72.0,26,professor,76,6,Male,True,2017-11-22 07:37:26.531000000,2017-11-22 07:37:44.130000000,2017-11-22 07:36:21.591000000,2017-11-22 07:37:27.102000000,1,44,18,0 days 00:01:04.940000000,0 days 00:00:17.028000000,64940000000,17028000000
78,2,39,Physics,22,True,0.0,postdoctoral,64,108.0,20,professor,102,9,Male,True,2017-11-22 07:41:08.748000000,2017-11-22 07:41:23.939000000,2017-11-22 07:40:53.080000000,2017-11-22 07:41:09.261000000,1,18,14,0 days 00:00:15.668000000,0 days 00:00:14.678000000,15668000000,14678000000
79,2,39,Physics,22,True,0.0,postdoctoral,64,96.0,22,professor,98,8,Male,True,2017-11-22 07:40:12.604000000,2017-11-22 07:40:32.271000000,2017-11-22 07:39:51.850000000,2017-11-22 07:40:23.291000000,1,22,12,0 days 00:00:20.754000000,0 days 00:00:08.980000000,20754000000,8980000000
80,2,23,Economy,22,False,0.0,high school,66,86.0,26,student,86,7,Male,True,2017-11-21 15:38:02.165000000,2017-11-21 15:38:55.511000000,2017-11-21 15:37:42.455000000,2017-11-21 15:38:42.990000000,1,34,10,0 days 00:00:19.710000000,0 days 00:00:12.521000000,19710000000,12521000000
81,2,23,Economy,22,False,0.0,high school,66,36.0,34,student,36,3,Male,True,2017-11-21 15:32:13.981000000,2017-11-21 15:32:41.445000000,2017-11-21 15:32:06.489000000,2017-11-21 15:32:34.732000000,1,84,12,0 days 00:00:07.492000000,0 days 00:00:06.713000000,7492000000,6713000000
82,2,23,Economy,22,False,0.0,high school,66,24.0,36,student,24,2,Male,True,2017-11-21 15:31:26.165000000,2017-11-21 15:31:55.860000000,2017-11-21 15:31:19.476000000,2017-11-21 15:31:46.965000000,1,96,12,0 days 00:00:06.689000000,0 days 00:00:08.895000000,6689000000,8895000000
83,2,23,Economy,22,False,0.0,high school,66,48.0,32,student,46,4,Male,True,2017-11-21 15:33:59.120000000,2017-11-21 15:34:23.111000000,2017-11-21 15:33:52.596000000,2017-11-21 15:34:09.774000000,1,74,10,0 days 00:00:06.524000000,0 days 00:00:13.337000000,6524000000,13337000000
84,2,23,Economy,22,False,0.0,high school,66,12.0,38,student,12,1,Male,True,2017-11-21 15:30:37.480000000,2017-11-21 15:31:08.781000000,2017-11-21 15:30:29.826000000,2017-11-21 15:30:58.158000000,1,108,12,0 days 00:00:07.654000000,0 days 00:00:10.623000000,7654000000,10623000000
85,2,23,Economy,22,False,0.0,high school,66,108.0,22,student,106,9,Male,True,2017-11-21 15:40:56.760000000,2017-11-21 15:41:08.264000000,2017-11-21 15:40:40.249000000,2017-11-21 15:40:57.350000000,1,14,14,0 days 00:00:16.511000000,0 days 00:00:10.914000000,16511000000,10914000000
86,2,23,Economy,22,False,0.0,high school,66,96.0,24,student,98,8,Male,True,2017-11-21 15:39:42.444000000,2017-11-21 15:40:09.406000000,2017-11-21 15:39:26.321000000,2017-11-21 15:40:03.157000000,1,22,12,0 days 00:00:16.123000000,0 days 00:00:06.249000000,16123000000,6249000000
87,4,23,Economy,22,False,0.0,high school,66,120.0,18,student,124,10,Male,True,2017-11-21 15:42:39.808000000,2017-11-21 15:42:48.748000000,2017-11-21 15:41:49.160000000,2017-11-21 15:42:40.324000000,1,-4,14,0 days 00:00:50.648000000,0 days 00:00:08.424000000,50648000000,8424000000
88,2,23,Economy,22,False,0.0,high school,66,70.0,28,student,76,6,Male,True,2017-11-21 15:36:29.769000000,2017-11-21 15:37:21.722000000,2017-11-21 15:36:04.170000000,2017-11-21 15:37:10.764000000,1,44,18,0 days 00:00:25.599000000,0 days 00:00:10.958000000,25599000000,10958000000
