round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario14 C ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 10 -5185.19997597 18717 user
3 usuario11 C ['usuario9', 'usuario2', 'usuario8', 'usuario1'] C 5 -12384.5999241 2013 user
3 usuario2 D ['usuario12', 'usuario14', 'usuario6', 'usuario11'] C 14 -6300.10008812 8461 user
3 usuario15 D ['usuario14', 'usuario4', 'usuario10', 'usuario6'] C 19 -7247.40004539 5991 user
3 usuario4 C ['usuario1', 'usuario8', 'usuario5', 'usuario15'] D 5 -2102.69999504 11043 user
3 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] C 19 -4155.49993515 9966 user
3 usuario6 C ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 0 -10347.0001221 3349 user
3 usuario10 C ['usuario15', 'usuario5', 'usuario7', 'usuario13'] D 0 -7239.10021782 6563 user
3 usuario5 D ['usuario4', 'usuario16', 'usuario3', 'usuario10'] C 19 -41.5999889374 14536 user
3 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] D 4 -10450.8001804 3846 user
3 usuario13 D ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 14 -9293.29991341 5208 user
3 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] D 14 -4163.19990158 9815 user
3 usuario3 C ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 5 -2101.6998291 11596 user
3 usuario9 D ['usuario16', 'usuario12', 'usuario11', 'usuario3'] C 14 -5211.29989624 9177 user
3 usuario12 D ['usuario13', 'usuario7', 'usuario2', 'usuario9'] D 4 -5184.89980698 8868 user
4 usuario14 D ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 19 -7236.29999161 11915 user
4 usuario1 C ['usuario3', 'usuario11', 'usuario4', 'usuario14'] D 5 -17571.2001324 2489 user
4 usuario11 C ['usuario9', 'usuario2', 'usuario8', 'usuario1'] C 10 -17508.1000328 2850 user
4 usuario2 C ['usuario12', 'usuario14', 'usuario6', 'usuario11'] C 10 -16799.2999554 3160 user
4 usuario15 C ['usuario14', 'usuario4', 'usuario10', 'usuario6'] C 10 -8249.20010567 12293 user
4 usuario4 D ['usuario1', 'usuario8', 'usuario5', 'usuario15'] C 14 -29.599905014 20533 user
4 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] D 19 -3128.60012054 17326 user
4 usuario6 C ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 10 -14461.3001347 5971 user
4 usuario10 C ['usuario15', 'usuario5', 'usuario7', 'usuario13'] D 5 -14443.5999393 5346 user
4 usuario5 D ['usuario4', 'usuario16', 'usuario3', 'usuario10'] C 14 -8255.59997559 10861 user
4 usuario16 C ['usuario8', 'usuario13', 'usuario9', 'usuario5'] D 0 -16815.0000572 2995 user
4 usuario13 D ['usuario6', 'usuario10', 'usuario12', 'usuario16'] C 19 -13391.600132 6612 user
4 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] D 9 -6208.19997787 13666 user
4 usuario3 D ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 9 -14421.900034 6421 user
4 usuario9 D ['usuario16', 'usuario12', 'usuario11', 'usuario3'] D 14 -15536.9000435 4762 user
4 usuario12 D ['usuario13', 'usuario7', 'usuario2', 'usuario9'] D 9 -13485.699892 5955 user
5 usuario14 D ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 14 -12363.0001545 12407 user
5 usuario1 D ['usuario3', 'usuario11', 'usuario4', 'usuario14'] D 14 -20741.5001392 2771 user
5 usuario11 C ['usuario9', 'usuario2', 'usuario8', 'usuario1'] D 5 -21702.1000385 2468 user
5 usuario2 C ['usuario12', 'usuario14', 'usuario6', 'usuario11'] C 15 -14669.6999073 8798 user
5 usuario15 C ['usuario14', 'usuario4', 'usuario10', 'usuario6'] C 5 -11361.4001274 12107 user
5 usuario4 D ['usuario1', 'usuario8', 'usuario5', 'usuario15'] C 14 -17484.9998951 6086 user
5 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] D 14 -18617.9001331 5302 user
5 usuario6 C ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 15 -21649.600029 2381 user
5 usuario10 D ['usuario15', 'usuario5', 'usuario7', 'usuario13'] C 19 -19562.0999336 4864 user
5 usuario5 C ['usuario4', 'usuario16', 'usuario3', 'usuario10'] D 5 -11338.7999535 12653 user
5 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] C 14 -22032.4001312 1807 user
5 usuario13 C ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 10 -18534.3999863 5710 user
5 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] C 14 -35.7999801636 23934 user
5 usuario3 C ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 5 -11334.7001076 12232 user
5 usuario9 D ['usuario16', 'usuario12', 'usuario11', 'usuario3'] C 19 -14639.0001774 8634 user
5 usuario12 C ['usuario13', 'usuario7', 'usuario2', 'usuario9'] D 10 -13380.4001808 10340 user
6 usuario14 C ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 10 -8282.19985962 10551 user
6 usuario1 C ['usuario3', 'usuario11', 'usuario4', 'usuario14'] C 5 -8245.39995193 10646 user
6 usuario11 D ['usuario9', 'usuario2', 'usuario8', 'usuario1'] C 14 -16486.9999886 1979 user
6 usuario2 C ['usuario12', 'usuario14', 'usuario6', 'usuario11'] D 15 -16849.2999077 2603 user
6 usuario15 D ['usuario14', 'usuario4', 'usuario10', 'usuario6'] C 14 -9281.39996529 9885 user
6 usuario4 D ['usuario1', 'usuario8', 'usuario5', 'usuario15'] D 9 -10302.4997711 8647 user
6 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] D 9 -14464.5998478 4091 user
6 usuario6 C ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 5 -16503.4999847 2295 user
6 usuario10 D ['usuario15', 'usuario5', 'usuario7', 'usuario13'] D 4 -11352.2000313 7575 user
6 usuario5 D ['usuario4', 'usuario16', 'usuario3', 'usuario10'] D 4 -18514.9998665 1279 user
6 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] D 4 -8380.59997559 10404 user
6 usuario13 D ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 14 -12376.6000271 6514 user
6 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] C 14 -38.6002063751 19155 user
6 usuario3 D ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 9 -10321.7999935 8374 user
6 usuario9 D ['usuario16', 'usuario12', 'usuario11', 'usuario3'] D 9 -9302.29997635 9591 user
6 usuario12 C ['usuario13', 'usuario7', 'usuario2', 'usuario9'] D 5 -16472.1000195 2532 user
7 usuario14 C ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 5 -5177.50000954 13767 user
7 usuario1 D ['usuario3', 'usuario11', 'usuario4', 'usuario14'] C 14 -14402.6999474 5153 user
7 usuario11 C ['usuario9', 'usuario2', 'usuario8', 'usuario1'] D 5 -17523.3001709 1965 user
7 usuario2 C ['usuario12', 'usuario14', 'usuario6', 'usuario11'] C 15 -15695.6000328 2620 user
7 usuario15 D ['usuario14', 'usuario4', 'usuario10', 'usuario6'] D 9 -12371.0000515 6514 user
7 usuario4 D ['usuario1', 'usuario8', 'usuario5', 'usuario15'] D 4 -10316.9999123 9238 user
7 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] D 9 -12345.2999592 6812 user
7 usuario6 D ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 9 -15595.7000256 2811 user
7 usuario10 D ['usuario15', 'usuario5', 'usuario7', 'usuario13'] D 4 -14531.3999653 3926 user
7 usuario5 D ['usuario4', 'usuario16', 'usuario3', 'usuario10'] D 4 -10329.6999931 8371 user
7 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] D 4 -13766.0000324 6032 user
7 usuario13 D ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 9 -15564.800024 2661 user
7 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] C 14 -37.5998020172 19254 user
7 usuario3 D ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 4 -11326.6000748 7606 user
7 usuario9 D ['usuario16', 'usuario12', 'usuario11', 'usuario3'] D 14 -5195.30010223 14406 user
7 usuario12 C ['usuario13', 'usuario7', 'usuario2', 'usuario9'] D 5 -16470.7999229 2850 user
8 usuario14 D ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 24 -28.3999443054 20297 user
8 usuario1 C ['usuario3', 'usuario11', 'usuario4', 'usuario14'] D 0 -13384.7000599 6308 user
8 usuario11 D ['usuario9', 'usuario2', 'usuario8', 'usuario1'] C 24 -16487.0998859 3414 user
8 usuario2 C ['usuario12', 'usuario14', 'usuario6', 'usuario11'] D 0 -18844.5000648 1336 user
8 usuario15 C ['usuario14', 'usuario4', 'usuario10', 'usuario6'] D 5 -2105.20005226 18049 user
8 usuario4 D ['usuario1', 'usuario8', 'usuario5', 'usuario15'] C 19 -15429.3000698 4277 user
8 usuario8 C ['usuario11', 'usuario6', 'usuario16', 'usuario4'] D 0 -16481.1999798 4152 user
8 usuario6 D ['usuario2', 'usuario15', 'usuario13', 'usuario8'] C 19 -14447.799921 5515 user
8 usuario10 C ['usuario15', 'usuario5', 'usuario7', 'usuario13'] D 10 -14423.3999252 5470 user
8 usuario5 D ['usuario4', 'usuario16', 'usuario3', 'usuario10'] C 9 -13409.6000195 6650 user
8 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] D 14 -13613.8000488 5848 user
8 usuario13 D ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 9 -17535.3000164 2507 user
8 usuario7 C ['usuario10', 'usuario3', 'usuario14', 'usuario12'] D 5 -9288.70010376 10736 user
8 usuario3 D ['usuario5', 'usuario9', 'usuario1', 'usuario7'] C 19 -7231.69994354 12889 user
8 usuario9 C ['usuario16', 'usuario12', 'usuario11', 'usuario3'] D 0 -10341.9001102 9101 user
8 usuario12 D ['usuario13', 'usuario7', 'usuario2', 'usuario9'] C 19 -18554.1000366 1352 user
9 usuario14 D ['usuario7', 'usuario1', 'usuario15', 'usuario2'] D 9 -14435.500145 9130 user
9 usuario1 C ['usuario3', 'usuario11', 'usuario4', 'usuario14'] D 5 -19528.4998417 4399 user
9 usuario11 D ['usuario9', 'usuario2', 'usuario8', 'usuario1'] C 19 -17538.6998653 5686 user
9 usuario2 D ['usuario12', 'usuario14', 'usuario6', 'usuario11'] D 4 -18824.1999149 5469 user
9 usuario15 D ['usuario14', 'usuario4', 'usuario10', 'usuario6'] D 9 -13464.9000168 10166 user
9 usuario4 C ['usuario1', 'usuario8', 'usuario5', 'usuario15'] D 10 -16459.3999386 7799 user
9 usuario8 C ['usuario11', 'usuario6', 'usuario16', 'usuario4'] C 5 -12347.700119 11169 user
9 usuario6 D ['usuario2', 'usuario15', 'usuario13', 'usuario8'] C 9 -11359.400034 12694 user
9 usuario10 D ['usuario15', 'usuario5', 'usuario7', 'usuario13'] D 4 -19551.6998768 5146 user
9 usuario5 D ['usuario4', 'usuario16', 'usuario3', 'usuario10'] D 9 -38.1999015808 24121 user
9 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] D 14 -13620.4001904 11001 user
9 usuario13 D ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 4 -19555.4001331 4888 user
9 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] D 4 -10314.6998882 13711 user
9 usuario3 D ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 14 -16488.0001545 8105 user
9 usuario9 C ['usuario16', 'usuario12', 'usuario11', 'usuario3'] D 0 -12416.8000221 11142 user
9 usuario12 D ['usuario13', 'usuario7', 'usuario2', 'usuario9'] C 9 -20566.2000179 3525 user
10 usuario14 D ['usuario7', 'usuario1', 'usuario15', 'usuario2'] D 14 -8265.10000229 8489 user
10 usuario1 C ['usuario3', 'usuario11', 'usuario4', 'usuario14'] D 5 -14460.5000019 2533 user
10 usuario11 D ['usuario9', 'usuario2', 'usuario8', 'usuario1'] C 9 -16481.400013 1273 user
10 usuario2 D ['usuario12', 'usuario14', 'usuario6', 'usuario11'] D 9 -10473.0000496 6181 user
10 usuario15 C ['usuario14', 'usuario4', 'usuario10', 'usuario6'] D 10 -10317.6000118 6751 user
10 usuario4 C ['usuario1', 'usuario8', 'usuario5', 'usuario15'] C 15 -3138.40007782 13259 user
10 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] C 9 -12374.1998672 4636 user
10 usuario6 D ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 14 -12409.1000557 5490 user
10 usuario10 C ['usuario15', 'usuario5', 'usuario7', 'usuario13'] C 15 -3138.79990578 12950 user
10 usuario5 C ['usuario4', 'usuario16', 'usuario3', 'usuario10'] C 10 -32.7999591827 16321 user
10 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] C 14 -10494.0998554 5722 user
10 usuario13 C ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 10 -14422.1000671 2830 user
10 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] C 14 -7233.40010643 8935 user
10 usuario3 D ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 14 -13431.2000275 3314 user
10 usuario9 D ['usuario16', 'usuario12', 'usuario11', 'usuario3'] D 9 -13674.8001575 3920 user
10 usuario12 C ['usuario13', 'usuario7', 'usuario2', 'usuario9'] D 5 -13384.1998577 3762 user
11 usuario14 D ['usuario7', 'usuario1', 'usuario15', 'usuario2'] D 4 -4157.99999237 11381 user
11 usuario1 D ['usuario3', 'usuario11', 'usuario4', 'usuario14'] D 9 -13376.1000633 2270 user
11 usuario11 D ['usuario9', 'usuario2', 'usuario8', 'usuario1'] D 9 -12402.1000862 1880 user
11 usuario2 D ['usuario12', 'usuario14', 'usuario6', 'usuario11'] D 14 -5256.70003891 9289 user
11 usuario15 D ['usuario14', 'usuario4', 'usuario10', 'usuario6'] C 14 -10313.4999275 5012 user
11 usuario4 C ['usuario1', 'usuario8', 'usuario5', 'usuario15'] D 5 -13389.6000385 2293 user
11 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] C 14 -6208.09984207 9299 user
11 usuario6 C ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 5 -5225.69990158 9527 user
11 usuario10 D ['usuario15', 'usuario5', 'usuario7', 'usuario13'] C 14 -2099.69997406 12893 user
11 usuario5 C ['usuario4', 'usuario16', 'usuario3', 'usuario10'] D 5 -1079.30016518 14625 user
11 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] C 19 -11535.3000164 3919 user
11 usuario13 C ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 10 -13402.6999474 1653 user
11 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] C 9 -1081.00008965 13720 user
11 usuario3 D ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 14 -10302.9999733 4317 user
11 usuario9 C ['usuario16', 'usuario12', 'usuario11', 'usuario3'] D 5 -35.0000858307 14701 user
11 usuario12 C ['usuario13', 'usuario7', 'usuario2', 'usuario9'] C 10 -11337.400198 3763 user
12 usuario14 C ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 10 -30.699968338 26163 user
12 usuario1 D ['usuario3', 'usuario11', 'usuario4', 'usuario14'] C 14 -22609.1001034 3171 user
12 usuario11 D ['usuario9', 'usuario2', 'usuario8', 'usuario1'] D 9 -23736.5000248 2844 user
12 usuario2 C ['usuario12', 'usuario14', 'usuario6', 'usuario11'] D 15 -24184.2000484 2615 user
12 usuario15 C ['usuario14', 'usuario4', 'usuario10', 'usuario6'] C 20 -18532.4001312 7520 user
12 usuario4 C ['usuario1', 'usuario8', 'usuario5', 'usuario15'] C 5 -23637.7999783 1676 user
12 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] C 14 -21579.6999931 4052 user
12 usuario6 C ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 15 -17532.5000286 7752 user
12 usuario10 C ['usuario15', 'usuario5', 'usuario7', 'usuario13'] C 10 -19545.0999737 6810 user
12 usuario5 D ['usuario4', 'usuario16', 'usuario3', 'usuario10'] C 14 -20589.099884 4816 user
12 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] D 9 -19999.3000031 5482 user
12 usuario13 C ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 15 -24695.6000328 1240 user
12 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] C 19 -14422.1999645 11834 user
12 usuario3 D ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 4 -23724.1001129 2333 user
12 usuario9 D ['usuario16', 'usuario12', 'usuario11', 'usuario3'] D 9 -19674.7999191 6875 user
12 usuario12 C ['usuario13', 'usuario7', 'usuario2', 'usuario9'] D 10 -23648.2999325 1842 user
13 usuario14 D ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 19 -7245.00012398 6862 user
13 usuario1 C ['usuario3', 'usuario11', 'usuario4', 'usuario14'] D 10 -12366.699934 2679 user
13 usuario11 C ['usuario9', 'usuario2', 'usuario8', 'usuario1'] C 10 -12403.3000469 2480 user
13 usuario2 C ['usuario12', 'usuario14', 'usuario6', 'usuario11'] C 15 -9417.29998589 5241 user
13 usuario15 C ['usuario14', 'usuario4', 'usuario10', 'usuario6'] C 10 -7235.80002785 8036 user
13 usuario4 C ['usuario1', 'usuario8', 'usuario5', 'usuario15'] C 10 -11337.4998569 4343 user
13 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] C 24 -10313.8000965 4979 user
13 usuario6 C ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 15 -2112.80012131 13634 user
13 usuario10 D ['usuario15', 'usuario5', 'usuario7', 'usuario13'] C 14 -10312.9999638 5035 user
13 usuario5 D ['usuario4', 'usuario16', 'usuario3', 'usuario10'] D 14 -8263.60011101 7294 user
13 usuario16 C ['usuario8', 'usuario13', 'usuario9', 'usuario5'] D 5 -43.9999103546 15454 user
13 usuario13 C ['usuario6', 'usuario10', 'usuario12', 'usuario16'] C 15 -12363.3000851 2711 user
13 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] C 9 -1079.20002937 14031 user
13 usuario3 D ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 9 -10309.7999096 4353 user
13 usuario9 D ['usuario16', 'usuario12', 'usuario11', 'usuario3'] D 19 -9305.99999428 5094 user
13 usuario12 C ['usuario13', 'usuario7', 'usuario2', 'usuario9'] D 10 -13393.599987 2138 user
14 usuario14 D ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 19 -3138.29994202 9052 user
14 usuario1 C ['usuario3', 'usuario11', 'usuario4', 'usuario14'] D 5 -9293.50018501 2487 user
14 usuario11 C ['usuario9', 'usuario2', 'usuario8', 'usuario1'] C 10 -9307.79981613 2049 user
14 usuario2 C ['usuario12', 'usuario14', 'usuario6', 'usuario11'] C 10 -9431.29992485 2495 user
14 usuario15 D ['usuario14', 'usuario4', 'usuario10', 'usuario6'] D 4 -8262.19987869 3521 user
14 usuario4 D ['usuario1', 'usuario8', 'usuario5', 'usuario15'] D 9 -4149.3999958 7163 user
14 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] D 9 -5179.00013924 6697 user
14 usuario6 D ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 14 -6243.90006065 4992 user
14 usuario10 D ['usuario15', 'usuario5', 'usuario7', 'usuario13'] C 14 -6218.60003471 5391 user
14 usuario5 D ['usuario4', 'usuario16', 'usuario3', 'usuario10'] D 4 -9357.10000992 2510 user
14 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] D 9 -9437.5 1935 user
14 usuario13 C ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 5 -8271.19994164 3046 user
14 usuario7 C ['usuario10', 'usuario3', 'usuario14', 'usuario12'] C 5 -32.0000648499 12447 user
14 usuario3 D ['usuario5', 'usuario9', 'usuario1', 'usuario7'] C 14 -9415.60006142 3455 user
14 usuario9 D ['usuario16', 'usuario12', 'usuario11', 'usuario3'] D 14 -6222.20015526 5753 user
14 usuario12 C ['usuario13', 'usuario7', 'usuario2', 'usuario9'] D 15 -10318.0999756 1559 user
15 usuario14 D ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 14 -13393.6998844 11596 user
15 usuario1 C ['usuario3', 'usuario11', 'usuario4', 'usuario14'] D 10 -16548.9001274 8261 user
15 usuario11 C ['usuario9', 'usuario2', 'usuario8', 'usuario1'] C 15 -23661.2999439 1255 user
15 usuario2 C ['usuario12', 'usuario14', 'usuario6', 'usuario11'] C 15 -20911.1001492 4232 user
15 usuario15 D ['usuario14', 'usuario4', 'usuario10', 'usuario6'] C 19 -17484.5001698 7398 user
15 usuario4 C ['usuario1', 'usuario8', 'usuario5', 'usuario15'] D 5 -22604.7999859 2658 user
15 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] C 19 -19538.8000011 5490 user
15 usuario6 C ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 5 -22764.7998333 3185 user
15 usuario10 C ['usuario15', 'usuario5', 'usuario7', 'usuario13'] D 0 -15448.3001232 9398 user
15 usuario5 D ['usuario4', 'usuario16', 'usuario3', 'usuario10'] C 14 -28.5999774933 24683 user
15 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] D 9 -18822.1998215 6197 user
15 usuario13 D ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 19 -20617.5999641 4950 user
15 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] C 14 -19573.5998154 4943 user
15 usuario3 D ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 14 -21758.3999634 2708 user
15 usuario9 C ['usuario16', 'usuario12', 'usuario11', 'usuario3'] D 10 -17786.4999771 7249 user
15 usuario12 C ['usuario13', 'usuario7', 'usuario2', 'usuario9'] C 10 -22613.5001183 2848 user
16 usuario14 C ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 15 -7239.50004578 13969 user
16 usuario1 C ['usuario3', 'usuario11', 'usuario4', 'usuario14'] C 10 -16469.8998928 4444 user
16 usuario11 C ['usuario9', 'usuario2', 'usuario8', 'usuario1'] C 10 -19547.1999645 1383 user
16 usuario2 C ['usuario12', 'usuario14', 'usuario6', 'usuario11'] C 15 -17848.3998775 2526 user
16 usuario15 C ['usuario14', 'usuario4', 'usuario10', 'usuario6'] D 5 -15456.7000866 5337 user
16 usuario4 D ['usuario1', 'usuario8', 'usuario5', 'usuario15'] C 14 -14410.8998775 6919 user
16 usuario8 D ['usuario11', 'usuario6', 'usuario16', 'usuario4'] D 9 -17524.600029 2688 user
16 usuario6 D ['usuario2', 'usuario15', 'usuario13', 'usuario8'] D 19 -15478.399992 5459 user
16 usuario10 D ['usuario15', 'usuario5', 'usuario7', 'usuario13'] C 14 -14429.6000004 7161 user
16 usuario5 D ['usuario4', 'usuario16', 'usuario3', 'usuario10'] D 4 -15440.500021 5176 user
16 usuario16 D ['usuario8', 'usuario13', 'usuario9', 'usuario5'] D 9 -8378.60012054 12454 user
16 usuario13 C ['usuario6', 'usuario10', 'usuario12', 'usuario16'] D 5 -12367.8998947 8149 user
16 usuario7 D ['usuario10', 'usuario3', 'usuario14', 'usuario12'] C 14 -31.8999290466 20750 user
16 usuario3 D ['usuario5', 'usuario9', 'usuario1', 'usuario7'] D 9 -19584.6998692 1646 user
16 usuario9 D ['usuario16', 'usuario12', 'usuario11', 'usuario3'] D 14 -17651.2999535 3222 user
16 usuario12 C ['usuario13', 'usuario7', 'usuario2', 'usuario9'] D 10 -18548.0999947 1917 user
17 usuario14 D ['usuario7', 'usuario1', 'usuario15', 'usuario2'] C 19 -36.2000465393 15336 user
