,round,response,rt,user,session,subj_id
5,6,1,4.114,usuario12,s3t1330,usuario12s3t1330
6,7,0,3.828,usuario12,s3t1330,usuario12s3t1330
7,8,1,3.321,usuario12,s3t1330,usuario12s3t1330
8,9,0,3.235,usuario12,s3t1330,usuario12s3t1330
9,10,0,2.886,usuario12,s3t1330,usuario12s3t1330
10,11,0,6.386,usuario12,s3t1330,usuario12s3t1330
11,12,0,3.922,usuario12,s3t1330,usuario12s3t1330
12,13,0,3.031,usuario12,s3t1330,usuario12s3t1330
13,14,0,3.115,usuario12,s3t1330,usuario12s3t1330
14,15,0,2.13,usuario12,s3t1330,usuario12s3t1330
15,16,0,3.379,usuario12,s3t1330,usuario12s3t1330
16,17,1,3.065,usuario12,s3t1330,usuario12s3t1330
17,18,1,4.792,usuario12,s3t1330,usuario12s3t1330
18,19,0,3.475,usuario12,s3t1330,usuario12s3t1330
19,20,0,4.019,usuario12,s3t1330,usuario12s3t1330
20,21,0,2.561,usuario12,s3t1330,usuario12s3t1330
21,22,0,4.199,usuario12,s3t1330,usuario12s3t1330
22,23,0,2.403,usuario12,s3t1330,usuario12s3t1330
23,24,0,2.565,usuario12,s3t1330,usuario12s3t1330
24,25,1,4.708,usuario12,s3t1330,usuario12s3t1330
25,26,0,3.512,usuario12,s3t1330,usuario12s3t1330
26,27,0,2.886,usuario12,s3t1330,usuario12s3t1330
27,28,0,2.805,usuario12,s3t1330,usuario12s3t1330
28,29,0,4.507,usuario12,s3t1330,usuario12s3t1330
29,30,1,2.313,usuario12,s3t1330,usuario12s3t1330
30,31,0,5.195,usuario12,s3t1330,usuario12s3t1330
31,32,0,3.273,usuario12,s3t1330,usuario12s3t1330
32,33,0,6.873,usuario12,s3t1330,usuario12s3t1330
33,34,0,2.914,usuario12,s3t1330,usuario12s3t1330
34,35,0,2.375,usuario12,s3t1330,usuario12s3t1330
35,36,0,1.975,usuario12,s3t1330,usuario12s3t1330
36,37,1,3.548,usuario12,s3t1330,usuario12s3t1330
37,38,0,2.47,usuario12,s3t1330,usuario12s3t1330
38,39,0,1.954,usuario12,s3t1330,usuario12s3t1330
39,40,0,1.847,usuario12,s3t1330,usuario12s3t1330
40,41,0,2.448,usuario12,s3t1330,usuario12s3t1330
41,42,0,3.849,usuario12,s3t1330,usuario12s3t1330
42,43,0,2.384,usuario12,s3t1330,usuario12s3t1330
43,44,0,2.01,usuario12,s3t1330,usuario12s3t1330
44,45,0,1.92,usuario12,s3t1330,usuario12s3t1330
45,46,0,4.03,usuario12,s3t1330,usuario12s3t1330
46,47,0,2.833,usuario12,s3t1330,usuario12s3t1330
47,48,0,1.615,usuario12,s3t1330,usuario12s3t1330
48,49,0,0.226,usuario12,s3t1330,usuario12s3t1330
49,50,0,0.204,usuario12,s3t1330,usuario12s3t1330
0,1,0,11.138,usuario10,s3t1330,usuario10s3t1330
1,2,0,5.08,usuario10,s3t1330,usuario10s3t1330
2,3,0,3.904,usuario10,s3t1330,usuario10s3t1330
3,4,1,3.149,usuario10,s3t1330,usuario10s3t1330
4,5,1,6.555,usuario10,s3t1330,usuario10s3t1330
5,6,0,2.221,usuario10,s3t1330,usuario10s3t1330
6,7,0,3.746,usuario10,s3t1330,usuario10s3t1330
7,8,0,2.734,usuario10,s3t1330,usuario10s3t1330
8,9,0,3.684,usuario10,s3t1330,usuario10s3t1330
9,10,1,6.363,usuario10,s3t1330,usuario10s3t1330
10,11,1,3.714,usuario10,s3t1330,usuario10s3t1330
11,12,1,6.523,usuario10,s3t1330,usuario10s3t1330
12,13,0,4.546,usuario10,s3t1330,usuario10s3t1330
13,14,0,4.392,usuario10,s3t1330,usuario10s3t1330
14,15,0,3.047,usuario10,s3t1330,usuario10s3t1330
15,16,0,5.028,usuario10,s3t1330,usuario10s3t1330
16,17,0,2.496,usuario10,s3t1330,usuario10s3t1330
17,18,0,6.612,usuario10,s3t1330,usuario10s3t1330
18,19,0,2.084,usuario10,s3t1330,usuario10s3t1330
19,20,0,2.575,usuario10,s3t1330,usuario10s3t1330
20,21,0,2.033,usuario10,s3t1330,usuario10s3t1330
21,22,0,2.256,usuario10,s3t1330,usuario10s3t1330
22,23,0,3.935,usuario10,s3t1330,usuario10s3t1330
23,24,1,3.916,usuario10,s3t1330,usuario10s3t1330
24,25,1,4.874,usuario10,s3t1330,usuario10s3t1330
25,26,0,2.52,usuario10,s3t1330,usuario10s3t1330
26,27,0,3.099,usuario10,s3t1330,usuario10s3t1330
27,28,0,3.768,usuario10,s3t1330,usuario10s3t1330
28,29,0,19.117,usuario10,s3t1330,usuario10s3t1330
29,30,0,26.046,usuario10,s3t1330,usuario10s3t1330
30,31,0,2.059,usuario10,s3t1330,usuario10s3t1330
31,32,0,1.875,usuario10,s3t1330,usuario10s3t1330
32,33,1,18.636,usuario10,s3t1330,usuario10s3t1330
33,34,1,3.679,usuario10,s3t1330,usuario10s3t1330
34,35,1,0.709,usuario10,s3t1330,usuario10s3t1330
35,36,1,1.495,usuario10,s3t1330,usuario10s3t1330
36,37,1,1.004,usuario10,s3t1330,usuario10s3t1330
37,38,1,1.034,usuario10,s3t1330,usuario10s3t1330
38,39,0,2.101,usuario10,s3t1330,usuario10s3t1330
39,40,0,1.789,usuario10,s3t1330,usuario10s3t1330
40,41,0,1.426,usuario10,s3t1330,usuario10s3t1330
41,42,0,2.053,usuario10,s3t1330,usuario10s3t1330
42,43,0,4.612,usuario10,s3t1330,usuario10s3t1330
43,44,0,3.107,usuario10,s3t1330,usuario10s3t1330
44,45,0,2.916,usuario10,s3t1330,usuario10s3t1330
45,46,0,10.678,usuario10,s3t1330,usuario10s3t1330
46,47,0,1.835,usuario10,s3t1330,usuario10s3t1330
47,48,0,3.931,usuario10,s3t1330,usuario10s3t1330
48,49,0,2.981,usuario10,s3t1330,usuario10s3t1330
49,50,0,2.702,usuario10,s3t1330,usuario10s3t1330
0,1,1,4.999,usuario1,s3t1330,usuario1s3t1330
1,2,1,6.084,usuario1,s3t1330,usuario1s3t1330
2,3,0,6.027,usuario1,s3t1330,usuario1s3t1330
3,4,0,3.475,usuario1,s3t1330,usuario1s3t1330
4,5,1,10.544,usuario1,s3t1330,usuario1s3t1330
5,6,0,11.724,usuario1,s3t1330,usuario1s3t1330
6,7,0,8.604,usuario1,s3t1330,usuario1s3t1330
7,8,0,17.268,usuario1,s3t1330,usuario1s3t1330
8,9,0,6.551,usuario1,s3t1330,usuario1s3t1330
9,10,0,4.028,usuario1,s3t1330,usuario1s3t1330
10,11,1,7.851,usuario1,s3t1330,usuario1s3t1330
11,12,0,6.587,usuario1,s3t1330,usuario1s3t1330
12,13,0,11.758,usuario1,s3t1330,usuario1s3t1330
13,14,0,2.883,usuario1,s3t1330,usuario1s3t1330
14,15,0,4.411,usuario1,s3t1330,usuario1s3t1330
15,16,0,5.462,usuario1,s3t1330,usuario1s3t1330
16,17,1,12.149,usuario1,s3t1330,usuario1s3t1330
17,18,0,9.885,usuario1,s3t1330,usuario1s3t1330
18,19,0,4.226,usuario1,s3t1330,usuario1s3t1330
19,20,1,2.676,usuario1,s3t1330,usuario1s3t1330
20,21,1,6.492,usuario1,s3t1330,usuario1s3t1330
21,22,0,5.86,usuario1,s3t1330,usuario1s3t1330
22,23,0,3.024,usuario1,s3t1330,usuario1s3t1330
23,24,0,3.44,usuario1,s3t1330,usuario1s3t1330
24,25,0,2.849,usuario1,s3t1330,usuario1s3t1330
25,26,0,3.668,usuario1,s3t1330,usuario1s3t1330
26,27,0,10.271,usuario1,s3t1330,usuario1s3t1330
27,28,0,12.079,usuario1,s3t1330,usuario1s3t1330
28,29,0,10.359,usuario1,s3t1330,usuario1s3t1330
29,30,0,3.045,usuario1,s3t1330,usuario1s3t1330
30,31,1,18.597,usuario1,s3t1330,usuario1s3t1330
31,32,0,2.967,usuario1,s3t1330,usuario1s3t1330
32,33,0,2.314,usuario1,s3t1330,usuario1s3t1330
33,34,0,2.342,usuario1,s3t1330,usuario1s3t1330
34,35,0,14.708,usuario1,s3t1330,usuario1s3t1330
35,36,0,2.756,usuario1,s3t1330,usuario1s3t1330
36,37,0,4.467,usuario1,s3t1330,usuario1s3t1330
37,38,0,14.766,usuario1,s3t1330,usuario1s3t1330
38,39,0,9.277,usuario1,s3t1330,usuario1s3t1330
39,40,0,2.656,usuario1,s3t1330,usuario1s3t1330
40,41,0,3.919,usuario1,s3t1330,usuario1s3t1330
41,42,0,10.344,usuario1,s3t1330,usuario1s3t1330
42,43,0,6.089,usuario1,s3t1330,usuario1s3t1330
43,44,1,2.092,usuario1,s3t1330,usuario1s3t1330
44,45,0,2.833,usuario1,s3t1330,usuario1s3t1330
45,46,0,4.152,usuario1,s3t1330,usuario1s3t1330
46,47,0,2.137,usuario1,s3t1330,usuario1s3t1330
47,48,0,3.051,usuario1,s3t1330,usuario1s3t1330
48,49,0,6.062,usuario1,s3t1330,usuario1s3t1330
49,50,0,10.236,usuario1,s3t1330,usuario1s3t1330
0,1,1,5.67,usuario22,s3t1330,usuario22s3t1330
1,2,0,4.695,usuario22,s3t1330,usuario22s3t1330
2,3,0,3.627,usuario22,s3t1330,usuario22s3t1330
3,4,0,10.43,usuario22,s3t1330,usuario22s3t1330
4,5,0,4.185,usuario22,s3t1330,usuario22s3t1330
5,6,0,2.132,usuario22,s3t1330,usuario22s3t1330
6,7,1,3.356,usuario22,s3t1330,usuario22s3t1330
7,8,0,2.079,usuario22,s3t1330,usuario22s3t1330
8,9,0,1.232,usuario22,s3t1330,usuario22s3t1330
9,10,0,1.36,usuario22,s3t1330,usuario22s3t1330
10,11,0,6.442,usuario22,s3t1330,usuario22s3t1330
11,12,0,2.899,usuario22,s3t1330,usuario22s3t1330
12,13,0,2.012,usuario22,s3t1330,usuario22s3t1330
13,14,0,1.666,usuario22,s3t1330,usuario22s3t1330
14,15,0,5.103,usuario22,s3t1330,usuario22s3t1330
15,16,0,6.46,usuario22,s3t1330,usuario22s3t1330
16,17,0,7.874,usuario22,s3t1330,usuario22s3t1330
17,18,1,7.407,usuario22,s3t1330,usuario22s3t1330
18,19,0,1.292,usuario22,s3t1330,usuario22s3t1330
19,20,0,6.624,usuario22,s3t1330,usuario22s3t1330
20,21,0,2.39,usuario22,s3t1330,usuario22s3t1330
21,22,0,2.915,usuario22,s3t1330,usuario22s3t1330
22,23,0,11.541,usuario22,s3t1330,usuario22s3t1330
23,24,0,1.691,usuario22,s3t1330,usuario22s3t1330
24,25,0,4.579,usuario22,s3t1330,usuario22s3t1330
25,26,0,1.378,usuario22,s3t1330,usuario22s3t1330
26,27,0,1.066,usuario22,s3t1330,usuario22s3t1330
27,28,0,2.388,usuario22,s3t1330,usuario22s3t1330
28,29,0,1.404,usuario22,s3t1330,usuario22s3t1330
29,30,0,1.568,usuario22,s3t1330,usuario22s3t1330
30,31,0,2.67,usuario22,s3t1330,usuario22s3t1330
31,32,0,1.583,usuario22,s3t1330,usuario22s3t1330
32,33,0,1.069,usuario22,s3t1330,usuario22s3t1330
33,34,0,1.943,usuario22,s3t1330,usuario22s3t1330
34,35,0,1.597,usuario22,s3t1330,usuario22s3t1330
35,36,0,1.482,usuario22,s3t1330,usuario22s3t1330
36,37,0,1.817,usuario22,s3t1330,usuario22s3t1330
37,38,0,1.601,usuario22,s3t1330,usuario22s3t1330
38,39,0,1.735,usuario22,s3t1330,usuario22s3t1330
39,40,0,1.636,usuario22,s3t1330,usuario22s3t1330
40,41,0,1.867,usuario22,s3t1330,usuario22s3t1330
41,42,0,1.208,usuario22,s3t1330,usuario22s3t1330
42,43,0,1.107,usuario22,s3t1330,usuario22s3t1330
43,44,0,1.482,usuario22,s3t1330,usuario22s3t1330
44,45,0,1.065,usuario22,s3t1330,usuario22s3t1330
45,46,0,1.877,usuario22,s3t1330,usuario22s3t1330
46,47,0,1.022,usuario22,s3t1330,usuario22s3t1330
47,48,0,1.71,usuario22,s3t1330,usuario22s3t1330
48,49,0,1.026,usuario22,s3t1330,usuario22s3t1330
49,50,0,1.118,usuario22,s3t1330,usuario22s3t1330
0,1,1,12.308,usuario14,s3t1330,usuario14s3t1330
1,2,1,4.095,usuario14,s3t1330,usuario14s3t1330
2,3,1,9.062,usuario14,s3t1330,usuario14s3t1330
3,4,1,10.277,usuario14,s3t1330,usuario14s3t1330
4,5,1,4.938,usuario14,s3t1330,usuario14s3t1330
5,6,1,7.997,usuario14,s3t1330,usuario14s3t1330
6,7,1,5.971,usuario14,s3t1330,usuario14s3t1330
7,8,1,2.781,usuario14,s3t1330,usuario14s3t1330
8,9,1,1.284,usuario14,s3t1330,usuario14s3t1330
9,10,1,5.124,usuario14,s3t1330,usuario14s3t1330
10,11,0,6.543,usuario14,s3t1330,usuario14s3t1330
11,12,1,19.638,usuario14,s3t1330,usuario14s3t1330
12,13,0,7.745,usuario14,s3t1330,usuario14s3t1330
13,14,0,5.546,usuario14,s3t1330,usuario14s3t1330
14,15,0,6.278,usuario14,s3t1330,usuario14s3t1330
15,16,1,6.246,usuario14,s3t1330,usuario14s3t1330
16,17,0,23.393,usuario14,s3t1330,usuario14s3t1330
17,18,0,11.999,usuario14,s3t1330,usuario14s3t1330
18,19,1,12.922,usuario14,s3t1330,usuario14s3t1330
19,20,1,4.083,usuario14,s3t1330,usuario14s3t1330
20,21,1,14.137,usuario14,s3t1330,usuario14s3t1330
21,22,0,6.159,usuario14,s3t1330,usuario14s3t1330
22,23,0,7.858,usuario14,s3t1330,usuario14s3t1330
23,24,0,12.747,usuario14,s3t1330,usuario14s3t1330
24,25,0,2.032,usuario14,s3t1330,usuario14s3t1330
25,26,0,6.221,usuario14,s3t1330,usuario14s3t1330
26,27,0,6.806,usuario14,s3t1330,usuario14s3t1330
27,28,0,1.612,usuario14,s3t1330,usuario14s3t1330
28,29,0,7.486,usuario14,s3t1330,usuario14s3t1330
29,30,1,2.316,usuario14,s3t1330,usuario14s3t1330
30,31,1,2.159,usuario14,s3t1330,usuario14s3t1330
31,32,1,1.167,usuario14,s3t1330,usuario14s3t1330
32,33,1,1.222,usuario14,s3t1330,usuario14s3t1330
33,34,1,0.965,usuario14,s3t1330,usuario14s3t1330
34,35,1,1.008,usuario14,s3t1330,usuario14s3t1330
35,36,1,0.986,usuario14,s3t1330,usuario14s3t1330
36,37,1,1.636,usuario14,s3t1330,usuario14s3t1330
37,38,1,2.278,usuario14,s3t1330,usuario14s3t1330
38,39,1,1.913,usuario14,s3t1330,usuario14s3t1330
39,40,1,3.867,usuario14,s3t1330,usuario14s3t1330
40,41,1,1.927,usuario14,s3t1330,usuario14s3t1330
41,42,1,1.654,usuario14,s3t1330,usuario14s3t1330
42,43,1,1.765,usuario14,s3t1330,usuario14s3t1330
43,44,1,1.583,usuario14,s3t1330,usuario14s3t1330
44,45,1,1.558,usuario14,s3t1330,usuario14s3t1330
45,46,1,2.511,usuario14,s3t1330,usuario14s3t1330
46,47,1,1.559,usuario14,s3t1330,usuario14s3t1330
47,48,1,1.828,usuario14,s3t1330,usuario14s3t1330
48,49,1,1.553,usuario14,s3t1330,usuario14s3t1330
49,50,1,1.649,usuario14,s3t1330,usuario14s3t1330
0,1,0,8.704,usuario5,s3t1330,usuario5s3t1330
1,2,1,12.319,usuario5,s3t1330,usuario5s3t1330
2,3,1,10.894,usuario5,s3t1330,usuario5s3t1330
3,4,0,5.89,usuario5,s3t1330,usuario5s3t1330
4,5,0,10.214,usuario5,s3t1330,usuario5s3t1330
5,6,1,4.106,usuario5,s3t1330,usuario5s3t1330
6,7,0,5.42,usuario5,s3t1330,usuario5s3t1330
7,8,0,4.642,usuario5,s3t1330,usuario5s3t1330
8,9,1,6.728,usuario5,s3t1330,usuario5s3t1330
9,10,0,3.962,usuario5,s3t1330,usuario5s3t1330
10,11,0,4.023,usuario5,s3t1330,usuario5s3t1330
11,12,1,5.207,usuario5,s3t1330,usuario5s3t1330
12,13,0,3.701,usuario5,s3t1330,usuario5s3t1330
13,14,0,4.326,usuario5,s3t1330,usuario5s3t1330
14,15,0,4.456,usuario5,s3t1330,usuario5s3t1330
15,16,0,4.59,usuario5,s3t1330,usuario5s3t1330
16,17,0,5.05,usuario5,s3t1330,usuario5s3t1330
17,18,0,5.237,usuario5,s3t1330,usuario5s3t1330
18,19,1,4.056,usuario5,s3t1330,usuario5s3t1330
19,20,1,4.382,usuario5,s3t1330,usuario5s3t1330
20,21,1,4.986,usuario5,s3t1330,usuario5s3t1330
21,22,0,3.171,usuario5,s3t1330,usuario5s3t1330
22,23,1,4.303,usuario5,s3t1330,usuario5s3t1330
23,24,0,5.472,usuario5,s3t1330,usuario5s3t1330
24,25,1,4.561,usuario5,s3t1330,usuario5s3t1330
25,26,0,2.662,usuario5,s3t1330,usuario5s3t1330
26,27,1,2.428,usuario5,s3t1330,usuario5s3t1330
27,28,0,7.169,usuario5,s3t1330,usuario5s3t1330
28,29,0,3.29,usuario5,s3t1330,usuario5s3t1330
29,30,1,3.713,usuario5,s3t1330,usuario5s3t1330
30,31,0,8.089,usuario5,s3t1330,usuario5s3t1330
31,32,0,19.332,usuario5,s3t1330,usuario5s3t1330
32,33,0,5.047,usuario5,s3t1330,usuario5s3t1330
33,34,1,8.687,usuario5,s3t1330,usuario5s3t1330
34,35,1,3.663,usuario5,s3t1330,usuario5s3t1330
35,36,0,4.816,usuario5,s3t1330,usuario5s3t1330
36,37,1,4.283,usuario5,s3t1330,usuario5s3t1330
37,38,1,5.75,usuario5,s3t1330,usuario5s3t1330
38,39,0,2.605,usuario5,s3t1330,usuario5s3t1330
39,40,1,6.068,usuario5,s3t1330,usuario5s3t1330
40,41,1,2.604,usuario5,s3t1330,usuario5s3t1330
41,42,0,3.288,usuario5,s3t1330,usuario5s3t1330
42,43,0,4.449,usuario5,s3t1330,usuario5s3t1330
43,44,1,2.372,usuario5,s3t1330,usuario5s3t1330
44,45,1,3.317,usuario5,s3t1330,usuario5s3t1330
45,46,0,3.02,usuario5,s3t1330,usuario5s3t1330
46,47,0,3.54,usuario5,s3t1330,usuario5s3t1330
47,48,1,5.402,usuario5,s3t1330,usuario5s3t1330
48,49,1,5.194,usuario5,s3t1330,usuario5s3t1330
49,50,0,4.73,usuario5,s3t1330,usuario5s3t1330
0,1,1,5.864,usuario9,s3t1330,usuario9s3t1330
1,2,1,5.796,usuario9,s3t1330,usuario9s3t1330
2,3,1,3.532,usuario9,s3t1330,usuario9s3t1330
3,4,1,4.565,usuario9,s3t1330,usuario9s3t1330
4,5,1,3.086,usuario9,s3t1330,usuario9s3t1330
5,6,1,3.034,usuario9,s3t1330,usuario9s3t1330
6,7,1,3.152,usuario9,s3t1330,usuario9s3t1330
7,8,1,2.651,usuario9,s3t1330,usuario9s3t1330
8,9,1,2.803,usuario9,s3t1330,usuario9s3t1330
9,10,1,2.585,usuario9,s3t1330,usuario9s3t1330
10,11,1,3.081,usuario9,s3t1330,usuario9s3t1330
11,12,1,2.383,usuario9,s3t1330,usuario9s3t1330
12,13,0,5.12,usuario9,s3t1330,usuario9s3t1330
13,14,0,6.086,usuario9,s3t1330,usuario9s3t1330
14,15,1,7.35,usuario9,s3t1330,usuario9s3t1330
15,16,0,5.168,usuario9,s3t1330,usuario9s3t1330
16,17,1,5.289,usuario9,s3t1330,usuario9s3t1330
17,18,1,2.613,usuario9,s3t1330,usuario9s3t1330
18,19,1,4.497,usuario9,s3t1330,usuario9s3t1330
19,20,0,3.989,usuario9,s3t1330,usuario9s3t1330
20,21,0,7.161,usuario9,s3t1330,usuario9s3t1330
21,22,1,3.691,usuario9,s3t1330,usuario9s3t1330
22,23,1,4.642,usuario9,s3t1330,usuario9s3t1330
23,24,1,3.248,usuario9,s3t1330,usuario9s3t1330
24,25,0,4.099,usuario9,s3t1330,usuario9s3t1330
25,26,0,4.232,usuario9,s3t1330,usuario9s3t1330
26,27,1,2.635,usuario9,s3t1330,usuario9s3t1330
27,28,1,3.489,usuario9,s3t1330,usuario9s3t1330
28,29,1,3.676,usuario9,s3t1330,usuario9s3t1330
29,30,1,2.832,usuario9,s3t1330,usuario9s3t1330
30,31,1,3.136,usuario9,s3t1330,usuario9s3t1330
31,32,1,3.303,usuario9,s3t1330,usuario9s3t1330
32,33,0,3.555,usuario9,s3t1330,usuario9s3t1330
33,34,1,3.62,usuario9,s3t1330,usuario9s3t1330
34,35,1,2.778,usuario9,s3t1330,usuario9s3t1330
35,36,1,3.0,usuario9,s3t1330,usuario9s3t1330
36,37,1,3.697,usuario9,s3t1330,usuario9s3t1330
37,38,1,2.603,usuario9,s3t1330,usuario9s3t1330
38,39,1,2.38,usuario9,s3t1330,usuario9s3t1330
39,40,1,3.209,usuario9,s3t1330,usuario9s3t1330
40,41,0,3.797,usuario9,s3t1330,usuario9s3t1330
41,42,0,3.558,usuario9,s3t1330,usuario9s3t1330
42,43,0,7.04,usuario9,s3t1330,usuario9s3t1330
43,44,1,5.346,usuario9,s3t1330,usuario9s3t1330
44,45,1,2.892,usuario9,s3t1330,usuario9s3t1330
45,46,0,12.156,usuario9,s3t1330,usuario9s3t1330
46,47,0,4.368,usuario9,s3t1330,usuario9s3t1330
47,48,1,5.137,usuario9,s3t1330,usuario9s3t1330
48,49,1,2.787,usuario9,s3t1330,usuario9s3t1330
49,50,1,2.48,usuario9,s3t1330,usuario9s3t1330
0,1,1,4.108,usuario18,s3t1330,usuario18s3t1330
1,2,0,7.218,usuario18,s3t1330,usuario18s3t1330
2,3,0,3.233,usuario18,s3t1330,usuario18s3t1330
3,4,0,4.584,usuario18,s3t1330,usuario18s3t1330
4,5,0,6.117,usuario18,s3t1330,usuario18s3t1330
5,6,1,3.834,usuario18,s3t1330,usuario18s3t1330
6,7,0,3.589,usuario18,s3t1330,usuario18s3t1330
7,8,0,2.177,usuario18,s3t1330,usuario18s3t1330
8,9,0,2.553,usuario18,s3t1330,usuario18s3t1330
9,10,0,2.585,usuario18,s3t1330,usuario18s3t1330
10,11,0,2.828,usuario18,s3t1330,usuario18s3t1330
11,12,1,2.506,usuario18,s3t1330,usuario18s3t1330
12,13,0,3.189,usuario18,s3t1330,usuario18s3t1330
13,14,0,2.541,usuario18,s3t1330,usuario18s3t1330
14,15,0,2.232,usuario18,s3t1330,usuario18s3t1330
15,16,0,2.723,usuario18,s3t1330,usuario18s3t1330
16,17,0,3.778,usuario18,s3t1330,usuario18s3t1330
17,18,1,5.842,usuario18,s3t1330,usuario18s3t1330
18,19,0,2.092,usuario18,s3t1330,usuario18s3t1330
19,20,0,2.852,usuario18,s3t1330,usuario18s3t1330
20,21,1,3.268,usuario18,s3t1330,usuario18s3t1330
21,22,0,3.735,usuario18,s3t1330,usuario18s3t1330
22,23,0,2.324,usuario18,s3t1330,usuario18s3t1330
23,24,1,2.864,usuario18,s3t1330,usuario18s3t1330
24,25,0,3.464,usuario18,s3t1330,usuario18s3t1330
25,26,0,2.346,usuario18,s3t1330,usuario18s3t1330
26,27,0,2.667,usuario18,s3t1330,usuario18s3t1330
27,28,1,3.34,usuario18,s3t1330,usuario18s3t1330
28,29,1,4.147,usuario18,s3t1330,usuario18s3t1330
29,30,1,2.316,usuario18,s3t1330,usuario18s3t1330
30,31,1,2.32,usuario18,s3t1330,usuario18s3t1330
31,32,1,2.562,usuario18,s3t1330,usuario18s3t1330
32,33,1,2.375,usuario18,s3t1330,usuario18s3t1330
33,34,1,2.012,usuario18,s3t1330,usuario18s3t1330
34,35,1,2.326,usuario18,s3t1330,usuario18s3t1330
35,36,1,1.973,usuario18,s3t1330,usuario18s3t1330
36,37,1,3.91,usuario18,s3t1330,usuario18s3t1330
37,38,1,3.102,usuario18,s3t1330,usuario18s3t1330
38,39,1,2.118,usuario18,s3t1330,usuario18s3t1330
39,40,1,1.803,usuario18,s3t1330,usuario18s3t1330
40,41,1,1.709,usuario18,s3t1330,usuario18s3t1330
41,42,1,1.959,usuario18,s3t1330,usuario18s3t1330
42,43,1,2.344,usuario18,s3t1330,usuario18s3t1330
43,44,1,3.185,usuario18,s3t1330,usuario18s3t1330
44,45,1,1.763,usuario18,s3t1330,usuario18s3t1330
45,46,1,1.951,usuario18,s3t1330,usuario18s3t1330
46,47,1,1.839,usuario18,s3t1330,usuario18s3t1330
47,48,1,2.012,usuario18,s3t1330,usuario18s3t1330
48,49,1,1.964,usuario18,s3t1330,usuario18s3t1330
49,50,1,2.478,usuario18,s3t1330,usuario18s3t1330
