round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario13 C ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 15 -8271.99983597 3385 user
5 usuario13 C ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 5 -23781.6998959 2738 user
5 usuario10 D ['usuario14', 'usuario2', 'usuario15', 'usuario13'] C 9 -21651.9999504 4793 user
5 usuario2 D ['usuario3', 'usuario7', 'usuario1', 'usuario10'] D 9 -22683.2001209 4010 user
5 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] D 14 -22251.8000603 5527 user
5 usuario9 C ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 10 -11385.8001232 15846 user
5 usuario15 D ['usuario10', 'usuario1', 'usuario8', 'usuario9'] C 14 -21742.8998947 5882 user
5 usuario1 C ['usuario2', 'usuario11', 'usuario12', 'usuario15'] D 10 -19575.9000778 7561 user
5 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] C 15 -22748.0998039 4485 user
5 usuario6 D ['usuario9', 'usuario8', 'usuario16', 'usuario5'] C 14 -24743.7000275 2223 user
5 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] D 9 -15470.9000587 11129 user
5 usuario12 C ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 10 -42.7000522614 27328 user
5 usuario5 C ['usuario11', 'usuario6', 'usuario4', 'usuario12'] C 10 -18649.29986 8634 user
5 usuario16 D ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 9 -21731.6000462 5745 user
5 usuario14 D ['usuario8', 'usuario3', 'usuario10', 'usuario16'] D 4 -2104.79998589 25517 user
5 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] D 9 -23742.399931 2763 user
5 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 9 -21048.7000942 6373 user
6 usuario13 C ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 10 -7290.8000946 11592 user
6 usuario10 C ['usuario14', 'usuario2', 'usuario15', 'usuario13'] C 10 -15478.8000584 3779 user
6 usuario2 D ['usuario3', 'usuario7', 'usuario1', 'usuario10'] C 14 -2112.90001869 16909 user
6 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] D 14 -32.0000648499 18622 user
6 usuario9 D ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 14 -10319.0999031 8298 user
6 usuario15 D ['usuario10', 'usuario1', 'usuario8', 'usuario9'] D 14 -4179.19993401 14038 user
6 usuario1 C ['usuario2', 'usuario11', 'usuario12', 'usuario15'] D 10 -13408.4999561 5642 user
6 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] C 5 -16565.5999184 2310 user
6 usuario6 D ['usuario9', 'usuario8', 'usuario16', 'usuario5'] D 9 -16522.2001076 2642 user
6 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] D 14 -2115.30017853 17482 user
6 usuario12 C ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 5 -8456.09998703 10592 user
6 usuario5 D ['usuario11', 'usuario6', 'usuario4', 'usuario12'] C 14 -15558.0999851 2933 user
6 usuario16 C ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 10 -12389.7001743 5946 user
6 usuario14 C ['usuario8', 'usuario3', 'usuario10', 'usuario16'] C 10 -7268.00012589 11113 user
6 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] C 14 -17011.6000175 2470 user
6 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 9 -14899.3999958 3822 user
7 usuario13 D ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 4 -16500.6999969 2604 user
7 usuario10 D ['usuario14', 'usuario2', 'usuario15', 'usuario13'] D 4 -15483.9000702 3717 user
7 usuario2 D ['usuario3', 'usuario7', 'usuario1', 'usuario10'] D 4 -4182.30009079 14686 user
7 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] D 9 -13748.3000755 5407 user
7 usuario9 D ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 9 -10318.3000088 9385 user
7 usuario15 D ['usuario10', 'usuario1', 'usuario8', 'usuario9'] D 4 -28.1000137329 19724 user
7 usuario1 D ['usuario2', 'usuario11', 'usuario12', 'usuario15'] D 9 -14472.5999832 4309 user
7 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] D 0 -14479.5999527 4633 user
7 usuario6 D ['usuario9', 'usuario8', 'usuario16', 'usuario5'] D 4 -11357.2001457 7593 user
7 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] D 4 -11350.8999348 7251 user
7 usuario12 D ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 4 -2147.40014076 16460 user
7 usuario5 D ['usuario11', 'usuario6', 'usuario4', 'usuario12'] D 9 -14562.5 5075 user
7 usuario16 D ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 4 -11371.9000816 7868 user
7 usuario14 D ['usuario8', 'usuario3', 'usuario10', 'usuario16'] D 4 -14456.3000202 5353 user
7 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] D 4 -16518.900156 2156 user
7 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 4 -6368.49999428 12309 user
8 usuario13 D ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 9 -17983.2000732 3371 user
8 usuario10 C ['usuario14', 'usuario2', 'usuario15', 'usuario13'] D 10 -18597.2001553 2777 user
8 usuario2 D ['usuario3', 'usuario7', 'usuario1', 'usuario10'] C 14 -4179.69989777 16641 user
8 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] D 9 -49.8998165131 20404 user
8 usuario9 D ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 14 -10325.9999752 10617 user
8 usuario15 C ['usuario10', 'usuario1', 'usuario8', 'usuario9'] D 10 -16528.8999081 4225 user
8 usuario1 C ['usuario2', 'usuario11', 'usuario12', 'usuario15'] C 10 -19598.1998444 2184 user
8 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] C 5 -15476.3998985 5674 user
8 usuario6 D ['usuario9', 'usuario8', 'usuario16', 'usuario5'] D 4 -17620.6998825 2774 user
8 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] D 14 -15486.8998528 5599 user
8 usuario12 D ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 9 -6363.30008507 15067 user
8 usuario5 D ['usuario11', 'usuario6', 'usuario4', 'usuario12'] D 9 -15700.1998425 5073 user
8 usuario16 D ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 9 -11374.0000725 10218 user
8 usuario14 C ['usuario8', 'usuario3', 'usuario10', 'usuario16'] D 5 -18572.9999542 2073 user
8 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] C 9 -18566.9999123 1935 user
8 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 4 -11303.0998707 9802 user
9 usuario13 D ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 19 -1082.9000473 12092 user
9 usuario10 C ['usuario14', 'usuario2', 'usuario15', 'usuario13'] D 5 -10339.099884 1666 user
9 usuario2 D ['usuario3', 'usuario7', 'usuario1', 'usuario10'] C 19 -9304.90016937 3771 user
9 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] D 4 -7425.99987984 5733 user
9 usuario9 C ['usuario13', 'usuario15', 'usuario6', 'usuario11'] D 5 -4162.89997101 8100 user
9 usuario15 C ['usuario10', 'usuario1', 'usuario8', 'usuario9'] C 15 -1084.70010757 12047 user
9 usuario1 C ['usuario2', 'usuario11', 'usuario12', 'usuario15'] C 5 -10335.5000019 2416 user
9 usuario11 D ['usuario7', 'usuario9', 'usuario5', 'usuario1'] C 19 -32.7000617981 13271 user
9 usuario6 D ['usuario9', 'usuario8', 'usuario16', 'usuario5'] C 19 -5201.60007477 7906 user
9 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] D 9 -9303.39980125 3279 user
9 usuario12 D ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 19 -4275.6998539 8559 user
9 usuario5 C ['usuario11', 'usuario6', 'usuario4', 'usuario12'] D 0 -4224.79987144 8397 user
9 usuario16 C ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 0 -8287.50014305 4382 user
9 usuario14 D ['usuario8', 'usuario3', 'usuario10', 'usuario16'] C 19 -9320.29986382 3159 user
9 usuario3 C ['usuario12', 'usuario4', 'usuario2', 'usuario14'] D 0 -10348.5000134 2592 user
9 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] C 19 -5321.00009918 7118 user
10 usuario13 C ['usuario16', 'usuario10', 'usuario9', 'usuario7'] C 15 -19682.500124 1664 user
10 usuario10 D ['usuario14', 'usuario2', 'usuario15', 'usuario13'] C 14 -19741.5997982 2770 user
10 usuario2 D ['usuario3', 'usuario7', 'usuario1', 'usuario10'] D 9 -18563.6999607 3839 user
10 usuario7 C ['usuario4', 'usuario13', 'usuario11', 'usuario2'] D 5 -28.8000106812 21494 user
10 usuario9 C ['usuario13', 'usuario15', 'usuario6', 'usuario11'] D 5 -13407.8001976 8471 user
10 usuario15 D ['usuario10', 'usuario1', 'usuario8', 'usuario9'] C 9 -13420.3000069 8427 user
10 usuario1 D ['usuario2', 'usuario11', 'usuario12', 'usuario15'] D 4 -17682.2001934 4695 user
10 usuario11 D ['usuario7', 'usuario9', 'usuario5', 'usuario1'] D 14 -15494.8000908 6120 user
10 usuario6 D ['usuario9', 'usuario8', 'usuario16', 'usuario5'] D 14 -17528.2001495 4991 user
10 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] D 9 -5195.99986076 16902 user
10 usuario12 D ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 4 -13675.5001545 8597 user
10 usuario5 D ['usuario11', 'usuario6', 'usuario4', 'usuario12'] D 4 -10370.1000214 11693 user
10 usuario16 C ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 10 -17538.6002064 4024 user
10 usuario14 C ['usuario8', 'usuario3', 'usuario10', 'usuario16'] C 5 -19570.6000328 3050 user
10 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] C 9 -18723.8001823 3276 user
10 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 14 -17978.399992 3875 user
11 usuario13 D ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 14 -7240.70000648 6728 user
11 usuario10 D ['usuario14', 'usuario2', 'usuario15', 'usuario13'] D 14 -12394.0000534 2052 user
11 usuario2 C ['usuario3', 'usuario7', 'usuario1', 'usuario10'] D 5 -11357.1999073 2570 user
11 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] C 14 -2167.29998589 11978 user
11 usuario9 C ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 10 -9383.59999657 5084 user
11 usuario15 C ['usuario10', 'usuario1', 'usuario8', 'usuario9'] C 10 -5201.49993896 8755 user
11 usuario1 C ['usuario2', 'usuario11', 'usuario12', 'usuario15'] C 15 -9300.80008507 4315 user
11 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] C 15 -5122.79987335 8806 user
11 usuario6 D ['usuario9', 'usuario8', 'usuario16', 'usuario5'] C 19 -9318.30000877 3836 user
11 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] D 9 -9321.59996033 4744 user
11 usuario12 D ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 14 -6419.50011253 6888 user
11 usuario5 C ['usuario11', 'usuario6', 'usuario4', 'usuario12'] D 5 -1066.99991226 12895 user
11 usuario16 C ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 0 -34.3000888824 14122 user
11 usuario14 D ['usuario8', 'usuario3', 'usuario10', 'usuario16'] C 9 -10326.9000053 3560 user
11 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] D 9 -11375.2999306 3336 user
11 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 14 -8490.79990387 5774 user
12 usuario13 D ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 9 -12398.900032 11570 user
12 usuario10 D ['usuario14', 'usuario2', 'usuario15', 'usuario13'] D 14 -14448.6999512 9314 user
12 usuario2 D ['usuario3', 'usuario7', 'usuario1', 'usuario10'] D 9 -12388.0000114 11414 user
12 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] D 9 -21194.2999363 2264 user
12 usuario9 D ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 14 -16509.5000267 7790 user
12 usuario15 C ['usuario10', 'usuario1', 'usuario8', 'usuario9'] D 5 -24.5001316071 24249 user
12 usuario1 C ['usuario2', 'usuario11', 'usuario12', 'usuario15'] C 10 -21691.7998791 1841 user
12 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] C 10 -21641.299963 2545 user
12 usuario6 D ['usuario9', 'usuario8', 'usuario16', 'usuario5'] C 14 -21707.9999447 3123 user
12 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] D 14 -13421.7998981 10461 user
12 usuario12 D ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 14 -15897.7000713 8513 user
12 usuario5 C ['usuario11', 'usuario6', 'usuario4', 'usuario12'] D 5 -19811.8000031 3716 user
12 usuario16 C ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 5 -17650.0999928 6619 user
12 usuario14 C ['usuario8', 'usuario3', 'usuario10', 'usuario16'] C 5 -20609.6999645 2896 user
12 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] C 9 -19630.8999062 3954 user
12 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 14 -21076.9999027 3255 user
13 usuario13 C ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 10 -7262.09998131 4637 user
13 usuario10 D ['usuario14', 'usuario2', 'usuario15', 'usuario13'] C 14 -9332.89980888 2568 user
13 usuario2 D ['usuario3', 'usuario7', 'usuario1', 'usuario10'] D 9 -8268.80002022 3696 user
13 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] D 14 -1103.20019722 11482 user
13 usuario9 C ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 10 -31.1999320984 11249 user
13 usuario15 D ['usuario10', 'usuario1', 'usuario8', 'usuario9'] C 14 -8276.49998665 2977 user
13 usuario1 C ['usuario2', 'usuario11', 'usuario12', 'usuario15'] D 5 -10355.8001518 1714 user
13 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] C 10 -2109.50016975 9748 user
13 usuario6 D ['usuario9', 'usuario8', 'usuario16', 'usuario5'] D 14 -6267.30012894 4899 user
13 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] D 9 -9333.69994164 3190 user
13 usuario12 D ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 9 -7389.80007172 3807 user
13 usuario5 D ['usuario11', 'usuario6', 'usuario4', 'usuario12'] D 9 -10371.4001179 1951 user
13 usuario16 C ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 10 -9416.70012474 2755 user
13 usuario14 C ['usuario8', 'usuario3', 'usuario10', 'usuario16'] C 5 -2104.20012474 10634 user
13 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] C 9 -8286.60011292 3590 user
13 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 9 -6424.90005493 5707 user
14 usuario13 C ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 10 -16494.8999882 3252 user
14 usuario10 D ['usuario14', 'usuario2', 'usuario15', 'usuario13'] C 9 -16507.8999996 1971 user
14 usuario2 D ['usuario3', 'usuario7', 'usuario1', 'usuario10'] D 9 -33.2000255585 18771 user
14 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] D 19 -15859.2000008 3173 user
14 usuario9 C ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 10 -12391.600132 6608 user
14 usuario15 D ['usuario10', 'usuario1', 'usuario8', 'usuario9'] C 9 -6219.19989586 12997 user
14 usuario1 D ['usuario2', 'usuario11', 'usuario12', 'usuario15'] D 9 -16505.4001808 2451 user
14 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] D 5 -15517.6000595 3539 user
14 usuario6 D ['usuario9', 'usuario8', 'usuario16', 'usuario5'] D 14 -17533.7998867 2061 user
14 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] D 4 -13411.0999107 5464 user
14 usuario12 D ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 9 -13754.8000813 6126 user
14 usuario5 D ['usuario11', 'usuario6', 'usuario4', 'usuario12'] D 14 -16572.6001263 2339 user
14 usuario16 C ['usuario6', 'usuario14', 'usuario13', 'usuario4'] C 10 -16504.8999786 2452 user
14 usuario14 D ['usuario8', 'usuario3', 'usuario10', 'usuario16'] C 14 -13445.1999664 4728 user
14 usuario3 C ['usuario12', 'usuario4', 'usuario2', 'usuario14'] D 5 -17560.3997707 1854 user
14 usuario4 C ['usuario5', 'usuario16', 'usuario7', 'usuario3'] C 10 -16883.300066 1915 user
15 usuario13 D ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 14 -6246.09994888 4326 user
15 usuario10 D ['usuario14', 'usuario2', 'usuario15', 'usuario13'] D 14 -9321.40016556 1597 user
15 usuario2 D ['usuario3', 'usuario7', 'usuario1', 'usuario10'] D 4 -6221.7001915 5421 user
15 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] D 9 -6354.09998894 4790 user
15 usuario9 C ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 10 -7281.69989586 3711 user
15 usuario15 C ['usuario10', 'usuario1', 'usuario8', 'usuario9'] C 5 -5269.60015297 5768 user
15 usuario1 D ['usuario2', 'usuario11', 'usuario12', 'usuario15'] C 14 -7255.19990921 3510 user
15 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] D 5 -3158.29992294 8054 user
15 usuario6 D ['usuario9', 'usuario8', 'usuario16', 'usuario5'] D 14 -8276.99995041 2244 user
15 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] D 14 -4166.80002213 6353 user
15 usuario12 D ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 4 -3189.19992447 7083 user
15 usuario5 D ['usuario11', 'usuario6', 'usuario4', 'usuario12'] D 9 -27.8000831604 10934 user
15 usuario16 C ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 5 -8287.19997406 2416 user
15 usuario14 C ['usuario8', 'usuario3', 'usuario10', 'usuario16'] C 5 -8284.89995003 2706 user
15 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] C 9 -6235.90016365 3999 user
15 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 9 -8478.3000946 2029 user
16 usuario13 D ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 14 -20716.3000107 1845 user
16 usuario10 D ['usuario14', 'usuario2', 'usuario15', 'usuario13'] D 9 -20626.4998913 2027 user
16 usuario2 C ['usuario3', 'usuario7', 'usuario1', 'usuario10'] D 0 -10342.099905 11700 user
16 usuario7 D ['usuario4', 'usuario13', 'usuario11', 'usuario2'] C 14 -18976.3998985 3058 user
16 usuario9 C ['usuario13', 'usuario15', 'usuario6', 'usuario11'] C 5 -14442.800045 8049 user
16 usuario15 D ['usuario10', 'usuario1', 'usuario8', 'usuario9'] C 9 -16558.4001541 5713 user
16 usuario1 D ['usuario2', 'usuario11', 'usuario12', 'usuario15'] D 14 -19636.8000507 2458 user
16 usuario11 C ['usuario7', 'usuario9', 'usuario5', 'usuario1'] D 10 -17535.7000828 4412 user
16 usuario6 D ['usuario9', 'usuario8', 'usuario16', 'usuario5'] C 19 -19577.5001049 2461 user
16 usuario8 D ['usuario15', 'usuario12', 'usuario14', 'usuario6'] D 4 -18561.3000393 3135 user
16 usuario12 D ['usuario1', 'usuario5', 'usuario3', 'usuario8'] D 9 -32.900094986 22167 user
16 usuario5 C ['usuario11', 'usuario6', 'usuario4', 'usuario12'] D 5 -15559.9999428 6109 user
16 usuario16 C ['usuario6', 'usuario14', 'usuario13', 'usuario4'] D 0 -18582.9000473 3017 user
16 usuario14 D ['usuario8', 'usuario3', 'usuario10', 'usuario16'] C 9 -19582.0000172 2453 user
16 usuario3 D ['usuario12', 'usuario4', 'usuario2', 'usuario14'] D 9 -18587.9998207 3513 user
16 usuario4 D ['usuario5', 'usuario16', 'usuario7', 'usuario3'] D 14 -20000.6000996 1641 user
17 usuario13 C ['usuario16', 'usuario10', 'usuario9', 'usuario7'] D 0 -11373.0998039 4003 user
