round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario3 C ['usuario11', 'usuario2', 'usuario7', 'usuario4'] C 15 -8428.30014229 10249 user
4 usuario11 D ['usuario1', 'usuario12', 'usuario3', 'usuario10'] D 9 -10335.2999687 11500 user
4 usuario12 D ['usuario9', 'usuario8', 'usuario2', 'usuario11'] D 14 -11365.4999733 10205 user
4 usuario8 C ['usuario16', 'usuario10', 'usuario5', 'usuario12'] D 5 -13384.7999573 8997 user
4 usuario10 D ['usuario15', 'usuario11', 'usuario4', 'usuario8'] C 14 -4172.10006714 17425 user
5 usuario3 D ['usuario11', 'usuario2', 'usuario7', 'usuario4'] C 9 -22084.5000744 3873 user
5 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] D 4 -22614.4001484 2960 user
5 usuario5 D ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 14 -23232.3000431 2814 user
5 usuario4 C ['usuario10', 'usuario3', 'usuario14', 'usuario5'] D 5 -23683.4998131 2432 user
5 usuario7 D ['usuario3', 'usuario6', 'usuario1', 'usuario14'] D 9 -13375.6999969 12875 user
5 usuario6 D ['usuario2', 'usuario13', 'usuario9', 'usuario7'] D 9 -15500.0 8475 user
5 usuario13 C ['usuario5', 'usuario14', 'usuario16', 'usuario6'] D 0 -9355.70001602 17173 user
5 usuario14 D ['usuario4', 'usuario7', 'usuario15', 'usuario13'] C 19 -20606.099844 5909 user
5 usuario1 C ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 5 -13397.4997997 13122 user
5 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] C 9 -31.1000347137 25603 user
5 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 14 -14642.9998875 10534 user
5 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 10 -24690.500021 2055 user
5 usuario11 D ['usuario1', 'usuario12', 'usuario3', 'usuario10'] C 14 -15464.9999142 10526 user
5 usuario12 D ['usuario9', 'usuario8', 'usuario2', 'usuario11'] D 4 -16501.3999939 9640 user
5 usuario8 D ['usuario16', 'usuario10', 'usuario5', 'usuario12'] D 9 -21606.6999435 4647 user
5 usuario10 C ['usuario15', 'usuario11', 'usuario4', 'usuario8'] D 10 -8301.20015144 17667 user
6 usuario3 D ['usuario11', 'usuario2', 'usuario7', 'usuario4'] D 9 -21166.5999889 3742 user
6 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] D 14 -21614.2001152 2574 user
6 usuario5 C ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 0 -18907.0999622 5141 user
6 usuario4 D ['usuario10', 'usuario3', 'usuario14', 'usuario5'] C 9 -21607.3000431 2700 user
6 usuario7 D ['usuario3', 'usuario6', 'usuario1', 'usuario14'] D 9 -8257.50017166 15581 user
6 usuario6 D ['usuario2', 'usuario13', 'usuario9', 'usuario7'] D 4 -19527.9998779 4252 user
6 usuario13 D ['usuario5', 'usuario14', 'usuario16', 'usuario6'] D 9 -5186.89990044 18656 user
6 usuario14 D ['usuario4', 'usuario7', 'usuario15', 'usuario13'] D 9 -20569.9999332 2951 user
6 usuario1 C ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 10 -14448.800087 8805 user
6 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] C 14 -33.3001613617 23933 user
6 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 9 -19549.4000912 4564 user
6 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 5 -21710.7000351 1598 user
6 usuario11 C ['usuario1', 'usuario12', 'usuario3', 'usuario10'] D 10 -19571.199894 4514 user
6 usuario12 C ['usuario9', 'usuario8', 'usuario2', 'usuario11'] C 5 -2125.40006638 22001 user
6 usuario8 D ['usuario16', 'usuario10', 'usuario5', 'usuario12'] C 14 -19522.7999687 3962 user
6 usuario10 D ['usuario15', 'usuario11', 'usuario4', 'usuario8'] D 14 -38.1999015808 24381 user
7 usuario3 D ['usuario11', 'usuario2', 'usuario7', 'usuario4'] D 9 -40.0998592377 23972 user
7 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] D 4 -21609.2000008 3064 user
7 usuario5 D ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 9 -18912.6999378 5640 user
7 usuario4 D ['usuario10', 'usuario3', 'usuario14', 'usuario5'] D 9 -22682.3000908 2225 user
7 usuario7 D ['usuario3', 'usuario6', 'usuario1', 'usuario14'] C 14 -15445.8999634 8776 user
7 usuario6 D ['usuario2', 'usuario13', 'usuario9', 'usuario7'] D 4 -11354.7999859 13714 user
7 usuario13 D ['usuario5', 'usuario14', 'usuario16', 'usuario6'] D 9 -5189.39995766 19569 user
7 usuario14 C ['usuario4', 'usuario7', 'usuario15', 'usuario13'] D 5 -19545.7999706 6309 user
7 usuario1 C ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 10 -22619.6000576 2551 user
7 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] C 9 -19627.7000904 5716 user
7 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 14 -20566.9999123 5296 user
7 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 10 -23778.4998417 1683 user
7 usuario11 C ['usuario1', 'usuario12', 'usuario3', 'usuario10'] D 5 -20585.9000683 4268 user
7 usuario12 D ['usuario9', 'usuario8', 'usuario2', 'usuario11'] C 14 -15523.2000351 8903 user
7 usuario8 C ['usuario16', 'usuario10', 'usuario5', 'usuario12'] D 0 -20141.3998604 4819 user
7 usuario10 D ['usuario15', 'usuario11', 'usuario4', 'usuario8'] C 19 -5189.70012665 19351 user
8 usuario3 D ['usuario11', 'usuario2', 'usuario7', 'usuario4'] D 4 -22245.7001209 2789 user
8 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] D 9 -21656.9998264 4058 user
8 usuario5 D ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 4 -22219.8998928 2771 user
8 usuario4 D ['usuario10', 'usuario3', 'usuario14', 'usuario5'] D 9 -22611.700058 2218 user
8 usuario7 D ['usuario3', 'usuario6', 'usuario1', 'usuario14'] D 14 -17590.8999443 7553 user
8 usuario6 C ['usuario2', 'usuario13', 'usuario9', 'usuario7'] D 0 -12365.0000095 12327 user
8 usuario13 D ['usuario5', 'usuario14', 'usuario16', 'usuario6'] C 9 -8269.19984818 16673 user
8 usuario14 D ['usuario4', 'usuario7', 'usuario15', 'usuario13'] D 9 -16480.9999466 8082 user
8 usuario1 C ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 5 25798.199892 25754 user
8 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] C 14 -12365.7999039 12447 user
8 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 9 -21610.3999615 3383 user
8 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 10 -22785.0999832 1949 user
8 usuario11 D ['usuario1', 'usuario12', 'usuario3', 'usuario10'] C 14 -20614.2001152 4781 user
8 usuario12 D ['usuario9', 'usuario8', 'usuario2', 'usuario11'] D 4 -15475.3000736 9930 user
8 usuario8 D ['usuario16', 'usuario10', 'usuario5', 'usuario12'] D 9 -21678.4999371 3534 user
8 usuario10 C ['usuario15', 'usuario11', 'usuario4', 'usuario8'] D 5 -2113.80004883 23087 user
9 usuario3 C ['usuario11', 'usuario2', 'usuario7', 'usuario4'] D 0 -17881.7999363 4415 user
9 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] C 24 -18632.6999664 2983 user
9 usuario5 C ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 5 -17883.5999966 4362 user
9 usuario4 D ['usuario10', 'usuario3', 'usuario14', 'usuario5'] C 19 -8259.20009613 13245 user
9 usuario7 D ['usuario3', 'usuario6', 'usuario1', 'usuario14'] D 19 -2111.09995842 20408 user
9 usuario6 C ['usuario2', 'usuario13', 'usuario9', 'usuario7'] D 5 -4162.90020943 17852 user
9 usuario13 C ['usuario5', 'usuario14', 'usuario16', 'usuario6'] C 10 -3149.3999958 19154 user
9 usuario14 D ['usuario4', 'usuario7', 'usuario15', 'usuario13'] C 14 -6219.40016747 15695 user
9 usuario1 C ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 5 -15434.5998764 6788 user
9 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] C 19 -17659.3999863 4239 user
9 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 14 -18522.300005 3041 user
9 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 10 -19583.6000443 2322 user
9 usuario11 D ['usuario1', 'usuario12', 'usuario3', 'usuario10'] C 24 -27.9998779297 22244 user
9 usuario12 C ['usuario9', 'usuario8', 'usuario2', 'usuario11'] D 0 -18124.699831 3496 user
9 usuario8 D ['usuario16', 'usuario10', 'usuario5', 'usuario12'] C 19 -18530.1001072 3953 user
9 usuario10 C ['usuario15', 'usuario11', 'usuario4', 'usuario8'] D 5 -31.200170517 21888 user
10 usuario3 C ['usuario11', 'usuario2', 'usuario7', 'usuario4'] D 5 -15824.3000507 3638 user
10 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] C 19 -16478.1000614 2427 user
10 usuario5 C ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 0 -12629.1999817 6492 user
10 usuario4 D ['usuario10', 'usuario3', 'usuario14', 'usuario5'] C 14 -15451.2000084 3468 user
10 usuario7 C ['usuario3', 'usuario6', 'usuario1', 'usuario14'] D 10 -7229.89988327 11143 user
10 usuario6 D ['usuario2', 'usuario13', 'usuario9', 'usuario7'] C 9 -14414.2000675 4632 user
10 usuario13 D ['usuario5', 'usuario14', 'usuario16', 'usuario6'] D 9 -7241.20020866 12081 user
10 usuario14 D ['usuario4', 'usuario7', 'usuario15', 'usuario13'] D 14 -8263.90004158 10316 user
10 usuario1 C ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 10 -36.7999076843 18988 user
10 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] C 14 -15670.3000069 2923 user
10 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 9 -13392.8999901 5333 user
10 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 5 -17699.5000839 1421 user
10 usuario11 D ['usuario1', 'usuario12', 'usuario3', 'usuario10'] D 19 -2113.70015144 16330 user
10 usuario12 C ['usuario9', 'usuario8', 'usuario2', 'usuario11'] D 0 -11359.2000008 8097 user
10 usuario8 D ['usuario16', 'usuario10', 'usuario5', 'usuario12'] C 14 -9268.39995384 9205 user
10 usuario10 D ['usuario15', 'usuario11', 'usuario4', 'usuario8'] D 9 -8310.40000916 10217 user
11 usuario3 C ['usuario11', 'usuario2', 'usuario7', 'usuario4'] C 10 -12660.0000858 2583 user
11 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] C 14 -14423.0999947 1802 user
11 usuario5 D ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 9 -12686.4001751 3656 user
11 usuario4 C ['usuario10', 'usuario3', 'usuario14', 'usuario5'] D 10 -12373.1000423 3179 user
11 usuario7 D ['usuario3', 'usuario6', 'usuario1', 'usuario14'] D 14 -5199.8000145 11723 user
11 usuario6 D ['usuario2', 'usuario13', 'usuario9', 'usuario7'] D 4 -2106.19997978 13779 user
11 usuario13 D ['usuario5', 'usuario14', 'usuario16', 'usuario6'] D 4 -38.8000011444 16084 user
11 usuario14 D ['usuario4', 'usuario7', 'usuario15', 'usuario13'] D 14 -10317.8999424 6355 user
11 usuario1 C ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 10 -11351.9999981 4678 user
11 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] C 14 -14438.3001328 2517 user
11 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 9 -13415.4999256 2557 user
11 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 10 -14422.8999615 1457 user
11 usuario11 C ['usuario1', 'usuario12', 'usuario3', 'usuario10'] C 20 -6225.90017319 9992 user
11 usuario12 C ['usuario9', 'usuario8', 'usuario2', 'usuario11'] C 5 -39.999961853 15810 user
11 usuario8 D ['usuario16', 'usuario10', 'usuario5', 'usuario12'] C 14 -6216.09997749 10293 user
11 usuario10 C ['usuario15', 'usuario11', 'usuario4', 'usuario8'] D 15 -8264.19997215 8015 user
12 usuario3 C ['usuario11', 'usuario2', 'usuario7', 'usuario4'] D 5 -25342.2000408 1430 user
12 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] C 9 -24684.499979 1823 user
12 usuario5 D ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 9 -22096.7998505 4737 user
12 usuario4 D ['usuario10', 'usuario3', 'usuario14', 'usuario5'] D 14 -20574.5000839 6101 user
12 usuario7 D ['usuario3', 'usuario6', 'usuario1', 'usuario14'] C 19 -7240.10014534 18906 user
12 usuario6 D ['usuario2', 'usuario13', 'usuario9', 'usuario7'] D 9 -11337.0001316 15886 user
12 usuario13 C ['usuario5', 'usuario14', 'usuario16', 'usuario6'] D 5 -19590.0998116 7407 user
12 usuario14 C ['usuario4', 'usuario7', 'usuario15', 'usuario13'] C 10 -20585.5000019 6443 user
12 usuario1 C ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 10 -22632.6999664 4770 user
12 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] C 9 -23665.4000282 2385 user
12 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 14 -24706.799984 2085 user
12 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 10 -25732.0001125 1543 user
12 usuario11 C ['usuario1', 'usuario12', 'usuario3', 'usuario10'] D 10 -20612.0998859 6681 user
12 usuario12 D ['usuario9', 'usuario8', 'usuario2', 'usuario11'] C 9 -18658.7998867 7847 user
12 usuario8 D ['usuario16', 'usuario10', 'usuario5', 'usuario12'] D 4 -14456.8998814 11867 user
12 usuario10 D ['usuario15', 'usuario11', 'usuario4', 'usuario8'] D 14 -30.7998657227 27282 user
13 usuario3 C ['usuario11', 'usuario2', 'usuario7', 'usuario4'] C 10 -23169.7998047 2561 user
13 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] C 9 -23657.900095 1786 user
13 usuario5 D ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 14 -18976.2001038 5390 user
13 usuario4 C ['usuario10', 'usuario3', 'usuario14', 'usuario5'] D 5 -22615.6001091 2557 user
13 usuario7 C ['usuario3', 'usuario6', 'usuario1', 'usuario14'] D 10 -18593.4000015 6964 user
13 usuario6 D ['usuario2', 'usuario13', 'usuario9', 'usuario7'] C 14 -10315.3998852 14367 user
13 usuario13 C ['usuario5', 'usuario14', 'usuario16', 'usuario6'] D 0 -3134.79995728 20957 user
13 usuario14 D ['usuario4', 'usuario7', 'usuario15', 'usuario13'] C 24 -21631.7999363 2775 user
13 usuario1 C ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 10 -17492.8998947 7605 user
13 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] C 9 -40.500164032 25274 user
13 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 14 -21623.6000061 3574 user
13 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 5 -22658.4000587 1806 user
13 usuario11 D ['usuario1', 'usuario12', 'usuario3', 'usuario10'] D 14 -17504.0001869 7248 user
13 usuario12 D ['usuario9', 'usuario8', 'usuario2', 'usuario11'] D 4 -14440.500021 11357 user
13 usuario8 D ['usuario16', 'usuario10', 'usuario5', 'usuario12'] D 4 -19530.8001041 5807 user
13 usuario10 D ['usuario15', 'usuario11', 'usuario4', 'usuario8'] D 14 -3136.10005379 21232 user
14 usuario3 C ['usuario11', 'usuario2', 'usuario7', 'usuario4'] D 0 -25307.4998856 1799 user
14 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] C 9 -23671.0000038 2986 user
14 usuario5 D ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 4 -24206.0000896 2689 user
14 usuario4 D ['usuario10', 'usuario3', 'usuario14', 'usuario5'] D 19 -23657.200098 3659 user
14 usuario7 D ['usuario3', 'usuario6', 'usuario1', 'usuario14'] C 19 -15425.4000187 11393 user
14 usuario6 D ['usuario2', 'usuario13', 'usuario9', 'usuario7'] D 4 -11329.6000957 16145 user
14 usuario13 D ['usuario5', 'usuario14', 'usuario16', 'usuario6'] D 9 -16481.099844 10502 user
14 usuario14 C ['usuario4', 'usuario7', 'usuario15', 'usuario13'] D 5 -20576.5001774 7050 user
14 usuario1 C ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 5 -24830.8999538 2070 user
14 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] C 9 -36.7000102997 27137 user
14 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 9 -20599.9000072 6484 user
14 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 15 -25737.8001213 1440 user
14 usuario11 D ['usuario1', 'usuario12', 'usuario3', 'usuario10'] C 19 -13403.3000469 13792 user
14 usuario12 D ['usuario9', 'usuario8', 'usuario2', 'usuario11'] D 4 -18570.3999996 8057 user
14 usuario8 D ['usuario16', 'usuario10', 'usuario5', 'usuario12'] D 9 -17511.0001564 9169 user
14 usuario10 C ['usuario15', 'usuario11', 'usuario4', 'usuario8'] D 5 -5178.40003967 22535 user
15 usuario3 C ['usuario11', 'usuario2', 'usuario7', 'usuario4'] C 5 -18966.0999775 5329 user
15 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] C 14 -23786.2000465 1686 user
15 usuario5 D ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 9 -12661.9999409 12692 user
15 usuario4 C ['usuario10', 'usuario3', 'usuario14', 'usuario5'] D 5 -19548.3000278 5286 user
15 usuario7 D ['usuario3', 'usuario6', 'usuario1', 'usuario14'] D 9 -13365.7999039 11401 user
15 usuario6 D ['usuario2', 'usuario13', 'usuario9', 'usuario7'] D 4 -7225.69990158 17955 user
15 usuario13 D ['usuario5', 'usuario14', 'usuario16', 'usuario6'] D 4 -3145.79987526 22257 user
15 usuario14 D ['usuario4', 'usuario7', 'usuario15', 'usuario13'] D 14 -21595.5002308 2721 user
15 usuario1 D ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 9 -18542.7999496 5622 user
15 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] D 9 -26.9999504089 24948 user
15 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 9 -21823.6000538 2925 user
15 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 0 -23682.8999519 1458 user
15 usuario11 D ['usuario1', 'usuario12', 'usuario3', 'usuario10'] D 14 -17536.1998081 6736 user
15 usuario12 C ['usuario9', 'usuario8', 'usuario2', 'usuario11'] D 0 -16630.300045 7866 user
15 usuario8 D ['usuario16', 'usuario10', 'usuario5', 'usuario12'] C 9 -14522.5000381 10778 user
15 usuario10 D ['usuario15', 'usuario11', 'usuario4', 'usuario8'] D 14 -6205.69992065 18139 user
16 usuario3 D ['usuario11', 'usuario2', 'usuario7', 'usuario4'] D 4 -25237.5998497 4919 user
16 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] D 9 -27983.9999676 1727 user
16 usuario5 C ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 5 -23078.799963 6383 user
16 usuario4 D ['usuario10', 'usuario3', 'usuario14', 'usuario5'] C 9 -24676.9998074 5288 user
16 usuario7 D ['usuario3', 'usuario6', 'usuario1', 'usuario14'] D 4 -17495.6998825 12597 user
16 usuario6 D ['usuario2', 'usuario13', 'usuario9', 'usuario7'] D 9 -15443.5999393 14600 user
16 usuario13 C ['usuario5', 'usuario14', 'usuario16', 'usuario6'] D 5 -10327.1000385 19504 user
16 usuario14 D ['usuario4', 'usuario7', 'usuario15', 'usuario13'] C 14 -28818.8998699 2079 user
16 usuario1 D ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 9 -28877.7999878 1670 user
16 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] D 4 -36.2000465393 30220 user
16 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 14 -27776.4999866 3180 user
16 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 0 -27769.7000504 2075 user
16 usuario11 D ['usuario1', 'usuario12', 'usuario3', 'usuario10'] D 4 -4160.3000164 25881 user
16 usuario12 D ['usuario9', 'usuario8', 'usuario2', 'usuario11'] D 4 -26799.0000248 3279 user
16 usuario8 D ['usuario16', 'usuario10', 'usuario5', 'usuario12'] D 9 -20572.7000237 9723 user
16 usuario10 D ['usuario15', 'usuario11', 'usuario4', 'usuario8'] D 9 -7233.5999012 22646 user
17 usuario3 D ['usuario11', 'usuario2', 'usuario7', 'usuario4'] D 9 -14800.2998829 2422 user
