round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 14 -28.5999774933 18220 user
4 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 19 -19849.2000103 5715 user
4 usuario8 C ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 10 -30.100107193 25464 user
5 usuario13 C ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 10 -19605.6001186 7938 user
5 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] C 10 -13588.4997845 12754 user
5 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 19 -44.3999767303 27293 user
5 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 5 -23659.1999531 2677 user
5 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 9 -23666.1000252 2628 user
5 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 14 -18693.0999756 8256 user
5 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 0 -19566.4999485 8229 user
5 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 19 -19627.7999878 7151 user
5 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 9 -23809.6001148 2861 user
5 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -8262.80021667 19129 user
5 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 14 -17528.5999775 9667 user
5 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 0 -19583.5001469 6587 user
5 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 14 -18528.8000107 8924 user
5 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 5 -17537.1000767 10009 user
5 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -19874.0000725 6537 user
5 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 14 -23674.200058 3472 user
6 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 19 -7242.59996414 8579 user
6 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 10 -13774.3999958 2336 user
6 usuario15 C ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 20 -1079.90002632 14096 user
6 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] C 5 -6208.69994164 9953 user
6 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 0 -14446.0999966 2167 user
6 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 19 -7242.79999733 7892 user
6 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 10 -4165.19999504 11523 user
6 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 19 -7252.40015984 9454 user
6 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 9 -13442.6999092 3451 user
6 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 14 -3139.09983635 12323 user
6 usuario7 C ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 10 -35.1002216339 16054 user
6 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] C 9 -32.7000617981 16156 user
6 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 9 -4162.60004044 11652 user
6 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 10 -11414.899826 4025 user
6 usuario1 C ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 15 -4203.59992981 11936 user
6 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] C 14 -12480.9999466 3642 user
7 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 9 -8252.89988518 11196 user
7 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 4 -29.4001102448 20087 user
7 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 9 -14467.2000408 5873 user
7 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 9 -15444.7000027 4198 user
7 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] C 14 -16482.8000069 2986 user
7 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 4 -13407.0000648 7312 user
7 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 9 -9287.30010986 10974 user
7 usuario5 C ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 0 -12389.1000748 7541 user
7 usuario11 C ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 5 -13403.4998417 5971 user
7 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] C 9 -16474.3001461 4208 user
7 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -9314.19992447 10219 user
7 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 14 -11355.8001518 9093 user
7 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 5 -30.4000377655 19201 user
7 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 14 -8263.79990578 12234 user
7 usuario1 C ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 0 -15698.10009 4667 user
7 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] C 14 -17519.0999508 2430 user
8 usuario13 C ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 5 -1076.69997215 14367 user
8 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] C 14 -8387.60018349 6369 user
8 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 4 -5185.40000916 10199 user
8 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 9 -13398.0998993 1998 user
8 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 5 -13425.3001213 1831 user
8 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 14 -7231.80007935 7181 user
8 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 4 -6221.79985046 8567 user
8 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 14 -8277.10008621 6193 user
8 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 19 -12373.8000393 2638 user
8 usuario3 C ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 5 -10323.0001926 4240 user
8 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] C 14 -3141.70002937 12080 user
8 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 0 -8276.49998665 6853 user
8 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 14 -9312.79993057 5751 user
8 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 5 -33.4000587463 14982 user
8 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -6319.29993629 8243 user
8 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -12397.600174 3188 user
9 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 14 -3126.80006027 17740 user
9 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 5 -14662.6999378 6780 user
9 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 14 -8274.00016785 11878 user
9 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 9 -18594.8998928 2313 user
9 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] C 5 -19562.0000362 1809 user
9 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 19 -18714.4999504 2265 user
9 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 5 -35.7999801636 20768 user
9 usuario5 C ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 10 -1090.50011635 19788 user
9 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 9 -18548.0000973 2878 user
9 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -17506.0999393 3603 user
9 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -12372.699976 9345 user
9 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 9 -15518.599987 5373 user
9 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 9 -5180.50003052 16375 user
9 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 5 -13426.4001846 7630 user
9 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -13723.0000496 7232 user
9 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 4 -12404.2000771 8145 user
10 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 14 -11348.9999771 14335 user
10 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 9 -20059.499979 5821 user
10 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 14 -33.9999198914 26378 user
10 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 5 -22736.9000912 3010 user
10 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 0 -24697.5998878 1169 user
10 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 14 -23680.7000637 2883 user
10 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 5 -11347.9001522 14827 user
10 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 24 -17515.1998997 8553 user
10 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 14 -20750.7998943 4602 user
10 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 14 -21625.6999969 4124 user
10 usuario7 C ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 10 -14468.4000015 11528 user
10 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] C 10 -9290.60006142 16038 user
10 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] C 14 -20726.7999649 5214 user
10 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 0 -13401.0000229 12498 user
10 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 19 -8388.29994202 18287 user
10 usuario8 C ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 10 -22749.0999699 3629 user
11 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 9 -4161.40007973 14759 user
11 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 4 -11535.0999832 6855 user
11 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 9 -33.9999198914 18768 user
11 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 4 -10318.7999725 8347 user
11 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 4 -16485.2998257 2226 user
11 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 9 -16470.2999592 2680 user
11 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 0 -15510.1001263 2996 user
11 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 14 -8265.59996605 11118 user
11 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 14 -13396.6999054 5420 user
11 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 4 -16488.9998436 2941 user
11 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 14 -4159.30008888 14563 user
11 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 0 -13426.9998074 6084 user
11 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 0 -10319.2999363 8518 user
11 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 9 -6220.29995918 11937 user
11 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -10489.39991 7735 user
11 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 14 -15457.7999115 2769 user
12 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 9 -16498.5001087 10005 user
12 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 9 -23832.7000141 2997 user
12 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 9 -27.899980545 26402 user
12 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 9 -18530.9000015 7387 user
12 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] C 9 -24692.0998096 1823 user
12 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 4 -19635.2000237 6253 user
12 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 9 -23738.0998135 2671 user
12 usuario5 C ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 0 -15450.5999088 9831 user
12 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 9 -21676.500082 5290 user
12 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -7245.69988251 18536 user
12 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -16482.5999737 8886 user
12 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 9 -21631.5999031 4084 user
12 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 5 -19676.1000156 6275 user
12 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 10 -12372.4000454 14349 user
12 usuario1 C ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 5 -23136.8000507 3302 user
12 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] C 14 -24697.7000237 1718 user
13 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 4 -4153.90014648 13240 user
13 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 9 -13697.2999573 3901 user
13 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 4 -4160.00008583 13450 user
13 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 9 -6209.59997177 12563 user
13 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] C 14 -16538.3000374 1199 user
13 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 9 -12377.8998852 4964 user
13 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 14 -15461.9998932 2687 user
13 usuario5 C ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 0 -13495.1000214 4780 user
13 usuario11 C ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 5 -5194.00000572 11807 user
13 usuario3 C ['usuario12', 'usuario7', 'usuario9', 'usuario11'] C 15 -5194.39983368 13332 user
13 usuario7 C ['usuario14', 'usuario10', 'usuario1', 'usuario3'] C 5 -4166.79978371 13810 user
13 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] C 19 -12379.5998096 5548 user
13 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 14 -15646.8999386 1842 user
13 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 5 -28.6998748779 17404 user
13 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 14 -10442.8999424 6845 user
13 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 4 -14453.099966 3327 user
14 usuario13 C ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 10 -2101.90010071 15054 user
14 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] C 5 -10489.700079 5904 user
14 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 14 -6206.20012283 10416 user
14 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 5 -8376.10006332 7899 user
14 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 14 -15453.099966 1582 user
14 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 9 -8261.80005074 8662 user
14 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 4 -14432.2001934 2525 user
14 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 14 -14449.3000507 2290 user
14 usuario11 C ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 5 -11386.6000175 5518 user
14 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] C 9 -9299.80015755 6985 user
14 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -26.7000198364 17045 user
14 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 5 -15464.6999836 1955 user
14 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 14 -9289.59989548 8200 user
14 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 9 -6211.00020409 11008 user
14 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -5267.59982109 11842 user
14 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 14 -10322.799921 6526 user
15 usuario13 C ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 10 -22661.3998413 5793 user
15 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] C 9 -7326.90000534 20744 user
15 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 14 -36.1001491547 28071 user
15 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 5 -22609.400034 5499 user
15 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 5 -26769.0000534 1476 user
15 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 14 -22690.5999184 5871 user
15 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 0 -24880.5000782 3361 user
15 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 24 -16500.0998974 11534 user
15 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 14 -26729.0999889 1481 user
15 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 4 -24825.3002167 3454 user
15 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 14 -11357.6998711 16655 user
15 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 0 -17611.000061 9824 user
15 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 9 -3135.80012321 24553 user
15 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 4 -12368.3998585 15564 user
15 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -26111.000061 2192 user
15 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 14 -25721.0998535 2260 user
16 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 9 -2109.9998951 8902 user
16 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 14 -4180.90009689 6921 user
16 usuario15 C ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 5 -33.8001251221 11142 user
16 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] C 9 -4160.50004959 7341 user
16 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 0 -8271.39997482 2094 user
16 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 19 -8333.29987526 2069 user
16 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 5 -7230.79991341 3237 user
16 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 14 -8267.69995689 3448 user
16 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 14 -9293.20001602 1717 user
16 usuario3 C ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 5 -7260.50019264 3821 user
16 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] C 14 -2109.40003395 9595 user
16 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -9487.90001869 1811 user
16 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 9 -6243.70002747 5513 user
16 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 5 -28.8999080658 11487 user
16 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 14 -4208.60004425 6873 user
16 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 4 -9289.2999649 1644 user
17 usuario13 C ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 10 -4152.69994736 9814 user
