round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario11 C ['usuario15', 'usuario13', 'usuario14', 'usuario10'] C 15 -13349.4000435 4718 user
5 usuario10 D ['usuario1', 'usuario11', 'usuario16', 'usuario5'] D 4 -10291.3999557 3929 user
5 usuario14 D ['usuario11', 'usuario7', 'usuario6', 'usuario16'] D 9 -3103.00016403 11280 user
5 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] D 15 -19.5000171661 14849 user
5 usuario12 C ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 10 -12313.1999969 2555 user
5 usuario16 D ['usuario10', 'usuario14', 'usuario2', 'usuario12'] C 14 -5171.200037 9581 user
5 usuario6 D ['usuario14', 'usuario8', 'usuario15', 'usuario2'] C 19 -4115.00000954 11276 user
5 usuario8 C ['usuario7', 'usuario9', 'usuario3', 'usuario6'] D 10 -10266.7999268 4697 user
5 usuario9 C ['usuario12', 'usuario2', 'usuario4', 'usuario8'] C 15 -12308.6998463 2244 user
5 usuario2 C ['usuario16', 'usuario6', 'usuario1', 'usuario9'] C 5 -10252.7000904 4673 user
5 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] D 0 -11402.1999836 2807 user
5 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 19 -11270.1001167 3990 user
5 usuario4 D ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 9 -11290.4999256 3750 user
5 usuario1 D ['usuario2', 'usuario15', 'usuario10', 'usuario4'] D 14 -5164.00003433 9602 user
6 usuario11 C ['usuario15', 'usuario13', 'usuario14', 'usuario10'] D 15 -4133.30006599 8753 user
6 usuario13 C ['usuario3', 'usuario5', 'usuario7', 'usuario11'] C 15 -7203.89986038 5396 user
6 usuario5 D ['usuario4', 'usuario10', 'usuario12', 'usuario13'] C 14 -9241.89996719 3383 user
6 usuario10 D ['usuario1', 'usuario11', 'usuario16', 'usuario5'] D 14 -9244.19999123 4461 user
6 usuario14 C ['usuario11', 'usuario7', 'usuario6', 'usuario16'] C 15 -10252.0000935 2975 user
6 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] C 15 -11299.4999886 2312 user
6 usuario12 C ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 15 -10262.9001141 2503 user
6 usuario16 C ['usuario10', 'usuario14', 'usuario2', 'usuario12'] C 10 -4142.60005951 9319 user
6 usuario6 D ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 14 -9222.49984741 3629 user
6 usuario8 D ['usuario7', 'usuario9', 'usuario3', 'usuario6'] D 19 -3093.40000153 9732 user
6 usuario9 C ['usuario12', 'usuario2', 'usuario4', 'usuario8'] D 5 -10243.5998917 2840 user
6 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] C 14 -9237.90001869 3993 user
6 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] D 10 -10364.8998737 2878 user
6 usuario3 C ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 10 -28.1000137329 12713 user
6 usuario4 D ['usuario9', 'usuario1', 'usuario5', 'usuario3'] C 14 -10265.4998302 3023 user
6 usuario1 D ['usuario2', 'usuario15', 'usuario10', 'usuario4'] D 9 -6247.20001221 6622 user
7 usuario11 D ['usuario15', 'usuario13', 'usuario14', 'usuario10'] D 9 -9258.10003281 3181 user
7 usuario13 D ['usuario3', 'usuario5', 'usuario7', 'usuario11'] D 14 -9266.20006561 3998 user
7 usuario5 C ['usuario4', 'usuario10', 'usuario12', 'usuario13'] D 5 -10258.9998245 2777 user
7 usuario10 D ['usuario1', 'usuario11', 'usuario16', 'usuario5'] C 14 -9272.59993553 3574 user
7 usuario14 D ['usuario11', 'usuario7', 'usuario6', 'usuario16'] D 9 -21.6000080109 13252 user
7 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] D 5 -9279.00004387 3188 user
7 usuario12 C ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 10 -10317.2998428 2480 user
7 usuario16 D ['usuario10', 'usuario14', 'usuario2', 'usuario12'] C 9 -10287.4999046 3138 user
7 usuario6 D ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 9 -5133.70013237 7711 user
7 usuario8 D ['usuario7', 'usuario9', 'usuario3', 'usuario6'] D 9 -8229.20012474 5030 user
7 usuario9 D ['usuario12', 'usuario2', 'usuario4', 'usuario8'] D 9 -8309.00001526 4544 user
7 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] D 9 -8204.40006256 4398 user
7 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] C 5 -11314.2001629 2194 user
7 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 9 -7189.30006027 5680 user
7 usuario4 D ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 14 -10282.1998596 2677 user
7 usuario1 C ['usuario2', 'usuario15', 'usuario10', 'usuario4'] D 5 -5162.40000725 7899 user
8 usuario11 D ['usuario15', 'usuario13', 'usuario14', 'usuario10'] D 14 -8231.60004616 3809 user
8 usuario13 C ['usuario3', 'usuario5', 'usuario7', 'usuario11'] D 5 -7201.59983635 5092 user
8 usuario5 D ['usuario4', 'usuario10', 'usuario12', 'usuario13'] C 14 -9250.90003014 2293 user
8 usuario10 D ['usuario1', 'usuario11', 'usuario16', 'usuario5'] D 9 -7189.30006027 4640 user
8 usuario14 D ['usuario11', 'usuario7', 'usuario6', 'usuario16'] D 14 -6161.90004349 5395 user
8 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] D 15 -23.1001377106 11597 user
8 usuario12 C ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 5 -11299.2999554 980 user
8 usuario16 D ['usuario10', 'usuario14', 'usuario2', 'usuario12'] C 9 -9243.20006371 2354 user
8 usuario6 C ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 10 -8207.00001717 4101 user
8 usuario8 C ['usuario7', 'usuario9', 'usuario3', 'usuario6'] C 10 -7186.80000305 4551 user
8 usuario9 D ['usuario12', 'usuario2', 'usuario4', 'usuario8'] C 14 -7187.40010262 4754 user
8 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] D 14 -10257.2000027 2341 user
8 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] C 10 -9243.90006065 2493 user
8 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 19 -6156.79979324 5854 user
8 usuario4 D ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 9 -9253.29995155 2494 user
8 usuario1 C ['usuario2', 'usuario15', 'usuario10', 'usuario4'] D 5 -2094.89989281 9647 user
9 usuario11 C ['usuario15', 'usuario13', 'usuario14', 'usuario10'] C 5 -16420.6998348 6415 user
9 usuario13 D ['usuario3', 'usuario5', 'usuario7', 'usuario11'] C 19 -13368.7999249 9627 user
9 usuario5 C ['usuario4', 'usuario10', 'usuario12', 'usuario13'] D 10 -12306.5998554 10759 user
9 usuario10 C ['usuario1', 'usuario11', 'usuario16', 'usuario5'] C 20 -21515.8998966 1470 user
9 usuario14 D ['usuario11', 'usuario7', 'usuario6', 'usuario16'] C 24 -8228.1999588 14487 user
9 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] D 5 -20490.7000065 3190 user
9 usuario12 D ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 24 -20498.7001419 2059 user
9 usuario16 C ['usuario10', 'usuario14', 'usuario2', 'usuario12'] D 5 -21522.0999718 1945 user
9 usuario6 C ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 5 -22.0000743866 23026 user
9 usuario8 C ['usuario7', 'usuario9', 'usuario3', 'usuario6'] C 15 -22549.6001244 689 user
9 usuario9 C ['usuario12', 'usuario2', 'usuario4', 'usuario8'] C 10 -21513.5002136 1896 user
9 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] C 24 -20481.4999104 2476 user
9 usuario15 D ['usuario6', 'usuario3', 'usuario11', 'usuario1'] C 19 -18453.2999992 3904 user
9 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] D 14 -17422.6999283 5287 user
9 usuario4 C ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 15 -21530.600071 2035 user
9 usuario1 C ['usuario2', 'usuario15', 'usuario10', 'usuario4'] C 10 -18454.7998905 4962 user
10 usuario11 D ['usuario15', 'usuario13', 'usuario14', 'usuario10'] C 24 -7198.60005379 7904 user
10 usuario13 C ['usuario3', 'usuario5', 'usuario7', 'usuario11'] D 5 -12310.9998703 2661 user
10 usuario5 D ['usuario4', 'usuario10', 'usuario12', 'usuario13'] C 24 -11277.3997784 3973 user
10 usuario10 C ['usuario1', 'usuario11', 'usuario16', 'usuario5'] D 0 -3094.19989586 12148 user
10 usuario14 C ['usuario11', 'usuario7', 'usuario6', 'usuario16'] D 5 -10261.3999844 5025 user
10 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] C 15 -6173.39992523 8500 user
10 usuario12 C ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 5 -13325.6001472 1659 user
10 usuario16 D ['usuario10', 'usuario14', 'usuario2', 'usuario12'] C 19 -7193.89986992 7789 user
10 usuario6 D ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 14 -12303.6999702 2443 user
10 usuario8 D ['usuario7', 'usuario9', 'usuario3', 'usuario6'] D 9 -21.5001106262 14263 user
10 usuario9 D ['usuario12', 'usuario2', 'usuario4', 'usuario8'] D 14 -11270.7998753 3655 user
10 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] D 4 -11284.6000195 3364 user
10 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] D 0 -13347.4001884 2055 user
10 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 19 -4111.20009422 10733 user
10 usuario4 C ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 0 -12326.6000748 2600 user
10 usuario1 D ['usuario2', 'usuario15', 'usuario10', 'usuario4'] C 19 -11285.7999802 3643 user
11 usuario11 D ['usuario15', 'usuario13', 'usuario14', 'usuario10'] C 19 -13338.2999897 6643 user
11 usuario13 C ['usuario3', 'usuario5', 'usuario7', 'usuario11'] D 5 -17432.9998493 2226 user
11 usuario5 D ['usuario4', 'usuario10', 'usuario12', 'usuario13'] C 19 -16394.0000534 3927 user
11 usuario10 C ['usuario1', 'usuario11', 'usuario16', 'usuario5'] D 0 -16387.1002197 3324 user
11 usuario14 D ['usuario11', 'usuario7', 'usuario6', 'usuario16'] D 9 -7193.19987297 12472 user
11 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] D 10 -18456.2997818 2088 user
11 usuario12 D ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 9 -18438.5001659 1849 user
11 usuario16 D ['usuario10', 'usuario14', 'usuario2', 'usuario12'] D 9 -16409.4998837 3033 user
11 usuario6 D ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 14 -18422.2998619 1866 user
11 usuario8 C ['usuario7', 'usuario9', 'usuario3', 'usuario6'] D 5 -18434.800148 1737 user
11 usuario9 D ['usuario12', 'usuario2', 'usuario4', 'usuario8'] C 14 -17415.500164 2230 user
11 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] D 4 -16383.1000328 3216 user
11 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] D 0 -17455.6000233 2197 user
11 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 24 -27.4000167847 20936 user
11 usuario4 C ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 0 -16414.0999317 3724 user
11 usuario1 D ['usuario2', 'usuario15', 'usuario10', 'usuario4'] C 19 -12301.89991 7902 user
12 usuario11 D ['usuario15', 'usuario13', 'usuario14', 'usuario10'] D 14 -7197.60012627 10054 user
12 usuario13 C ['usuario3', 'usuario5', 'usuario7', 'usuario11'] D 5 -11301.0001183 5121 user
12 usuario5 D ['usuario4', 'usuario10', 'usuario12', 'usuario13'] C 9 -9251.60002708 7745 user
12 usuario10 D ['usuario1', 'usuario11', 'usuario16', 'usuario5'] D 14 -14378.7000179 2479 user
12 usuario14 D ['usuario11', 'usuario7', 'usuario6', 'usuario16'] C 14 -21.8999385834 17296 user
12 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] D 5 -8223.09994698 7921 user
12 usuario12 D ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 14 -14361.2999916 3265 user
12 usuario16 C ['usuario10', 'usuario14', 'usuario2', 'usuario12'] D 0 -11297.0001698 5834 user
12 usuario6 D ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 9 -11281.899929 5999 user
12 usuario8 D ['usuario7', 'usuario9', 'usuario3', 'usuario6'] D 9 -16409.9998474 963 user
12 usuario9 D ['usuario12', 'usuario2', 'usuario4', 'usuario8'] D 4 -11266.9999599 6177 user
12 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] D 14 -12321.2001324 4881 user
12 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] C 5 -15398.3998299 1531 user
12 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 14 -10246.7999458 6088 user
12 usuario4 D ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 9 -14360.7001305 2643 user
12 usuario1 C ['usuario2', 'usuario15', 'usuario10', 'usuario4'] D 5 -13388.7000084 3618 user
13 usuario11 C ['usuario15', 'usuario13', 'usuario14', 'usuario10'] C 10 -13337.4998569 4070 user
13 usuario13 D ['usuario3', 'usuario5', 'usuario7', 'usuario11'] C 19 -14363.699913 3107 user
13 usuario5 C ['usuario4', 'usuario10', 'usuario12', 'usuario13'] D 10 -14426.199913 2071 user
13 usuario10 C ['usuario1', 'usuario11', 'usuario16', 'usuario5'] C 15 -13348.5999107 3809 user
13 usuario14 D ['usuario11', 'usuario7', 'usuario6', 'usuario16'] D 19 -10265.3999329 6728 user
13 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] D 5 -19.9999809265 16771 user
13 usuario12 C ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 15 -15391.4999962 1504 user
13 usuario16 D ['usuario10', 'usuario14', 'usuario2', 'usuario12'] C 14 -5152.49991417 11781 user
13 usuario6 C ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 5 -13314.8999214 2747 user
13 usuario8 D ['usuario7', 'usuario9', 'usuario3', 'usuario6'] C 19 -21.8999385834 16934 user
13 usuario9 C ['usuario12', 'usuario2', 'usuario4', 'usuario8'] D 5 -14343.5001373 2375 user
13 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] C 19 -14362.5001907 2593 user
13 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] C 15 -15404.0999413 2238 user
13 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 9 -24.5001316071 17480 user
13 usuario4 D ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 19 -13354.2001247 3737 user
13 usuario1 C ['usuario2', 'usuario15', 'usuario10', 'usuario4'] D 10 -10250.9000301 6424 user
14 usuario11 C ['usuario15', 'usuario13', 'usuario14', 'usuario10'] D 5 -14360.5999947 3519 user
14 usuario13 D ['usuario3', 'usuario5', 'usuario7', 'usuario11'] C 19 -14375.0 3353 user
14 usuario5 D ['usuario4', 'usuario10', 'usuario12', 'usuario13'] D 9 -22.500038147 17966 user
14 usuario10 D ['usuario1', 'usuario11', 'usuario16', 'usuario5'] D 14 -14357.1000099 3628 user
14 usuario14 D ['usuario11', 'usuario7', 'usuario6', 'usuario16'] C 19 -10269.4001198 7408 user
14 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] D 10 -13361.5000248 3996 user
14 usuario12 C ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 15 -16410.7000828 1323 user
14 usuario16 C ['usuario10', 'usuario14', 'usuario2', 'usuario12'] C 5 -7223.29998016 10625 user
14 usuario6 D ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 14 -14453.2999992 4213 user
14 usuario8 C ['usuario7', 'usuario9', 'usuario3', 'usuario6'] D 15 -15384.8998547 2943 user
14 usuario9 C ['usuario12', 'usuario2', 'usuario4', 'usuario8'] C 10 -14336.0998631 3172 user
14 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] C 14 -15360.1999283 3045 user
14 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] D 10 -15407.2999954 2680 user
14 usuario3 C ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 10 -11275.7000923 6550 user
14 usuario4 D ['usuario9', 'usuario1', 'usuario5', 'usuario3'] C 14 -14363.9998436 3290 user
14 usuario1 D ['usuario2', 'usuario15', 'usuario10', 'usuario4'] D 9 -15365.4000759 2907 user
15 usuario11 D ['usuario15', 'usuario13', 'usuario14', 'usuario10'] D 9 -14385.1997852 3362 user
15 usuario13 D ['usuario3', 'usuario5', 'usuario7', 'usuario11'] D 14 -15393.2001591 3048 user
15 usuario5 C ['usuario4', 'usuario10', 'usuario12', 'usuario13'] D 5 -15358.2000732 2773 user
15 usuario10 D ['usuario1', 'usuario11', 'usuario16', 'usuario5'] C 9 -16401.5002251 2035 user
15 usuario14 D ['usuario11', 'usuario7', 'usuario6', 'usuario16'] D 9 -7196.79999352 11456 user
15 usuario7 C ['usuario13', 'usuario12', 'usuario8', 'usuario14'] D 5 -15355.3001881 2305 user
15 usuario12 C ['usuario5', 'usuario16', 'usuario9', 'usuario7'] C 15 -16390.7999992 1098 user
15 usuario16 D ['usuario10', 'usuario14', 'usuario2', 'usuario12'] C 9 -17.6999568939 18144 user
15 usuario6 D ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 9 -6153.10001373 11891 user
15 usuario8 D ['usuario7', 'usuario9', 'usuario3', 'usuario6'] D 14 -15363.2998466 1853 user
15 usuario9 C ['usuario12', 'usuario2', 'usuario4', 'usuario8'] D 5 -15339.6000862 2083 user
15 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] C 9 -12361.5000248 5336 user
15 usuario15 C ['usuario6', 'usuario3', 'usuario11', 'usuario1'] D 0 -16434.2000484 1801 user
15 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] C 9 -10253.8001537 7414 user
15 usuario4 D ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 14 -15387.9001141 2010 user
15 usuario1 D ['usuario2', 'usuario15', 'usuario10', 'usuario4'] D 9 -11307.1000576 6944 user
16 usuario11 D ['usuario15', 'usuario13', 'usuario14', 'usuario10'] D 14 -8221.30012512 2917 user
16 usuario13 C ['usuario3', 'usuario5', 'usuario7', 'usuario11'] D 0 -7204.20002937 3545 user
16 usuario5 D ['usuario4', 'usuario10', 'usuario12', 'usuario13'] C 14 -3101.20010376 8130 user
16 usuario10 D ['usuario1', 'usuario11', 'usuario16', 'usuario5'] D 9 -7199.30005074 3239 user
16 usuario14 C ['usuario11', 'usuario7', 'usuario6', 'usuario16'] C 10 -21.1999416351 10726 user
16 usuario7 D ['usuario13', 'usuario12', 'usuario8', 'usuario14'] C 24 -8255.10001183 3341 user
16 usuario12 C ['usuario5', 'usuario16', 'usuario9', 'usuario7'] D 10 -10281.4998627 1435 user
16 usuario16 C ['usuario10', 'usuario14', 'usuario2', 'usuario12'] C 10 -1077.10003853 10404 user
16 usuario6 C ['usuario14', 'usuario8', 'usuario15', 'usuario2'] D 10 -5192.80004501 5601 user
16 usuario8 C ['usuario7', 'usuario9', 'usuario3', 'usuario6'] C 10 -6166.69988632 5162 user
16 usuario9 C ['usuario12', 'usuario2', 'usuario4', 'usuario8'] C 10 -8201.40004158 2478 user
16 usuario2 D ['usuario16', 'usuario6', 'usuario1', 'usuario9'] C 19 -9232.50007629 2224 user
16 usuario15 D ['usuario6', 'usuario3', 'usuario11', 'usuario1'] D 9 -8303.69997025 2076 user
16 usuario3 D ['usuario8', 'usuario4', 'usuario13', 'usuario15'] D 14 -8217.40007401 2714 user
16 usuario4 D ['usuario9', 'usuario1', 'usuario5', 'usuario3'] D 9 -9254.50015068 2246 user
16 usuario1 D ['usuario2', 'usuario15', 'usuario10', 'usuario4'] D 4 -8211.69996262 2769 user
17 usuario11 D ['usuario15', 'usuario13', 'usuario14', 'usuario10'] C 19 -13343.3001041 2805 user
