,round,player,action_player,opponent,action_opponent,payoff,time_php,time_js,who_played,session,treatment,actions
3239,3,s5m20_usuario4,C,['s5m20_usuario14'],D,0,1999.09996986,1976,user,s5m20,changing,CCC
3240,3,s5m20_usuario5,C,['s5m20_usuario2'],C,3,6613.10005188,6580,user,s5m20,changing,CCC
3241,3,s5m20_usuario6,C,['s5m20_usuario7'],D,0,10580.2001953,10550,user,s5m20,changing,CCC
3242,3,s5m20_usuario7,D,['s5m20_usuario6'],C,4,4772.59993553,4749,user,s5m20,changing,CDD
3243,3,s5m20_usuario8,D,['s5m20_usuario15'],C,4,4618.99995804,4597,user,s5m20,changing,DCD
3244,3,s5m20_usuario9,C,['s5m20_usuario16'],C,3,6285.3000164,6255,user,s5m20,changing,CCC
3245,3,s5m20_usuario10,C,['s5m20_usuario1'],C,3,7057.99984932,7025,user,s5m20,changing,CCC
3246,3,s5m20_usuario11,D,['s5m20_usuario17'],D,1,7437.09993362,7415,user,s5m20,changing,CCD
3247,3,s5m20_usuario12,D,['s5m20_usuario18'],D,1,3124.79996681,3098,user,s5m20,changing,CDD
3248,3,s5m20_usuario13,C,['s5m20_usuario3'],D,0,2381.99996948,2354,user,s5m20,changing,CDC
3249,3,s5m20_usuario14,D,['s5m20_usuario4'],C,4,3750.50020218,3727,user,s5m20,changing,DCD
3250,3,s5m20_usuario15,C,['s5m20_usuario8'],D,0,14120.100021399998,14087,user,s5m20,changing,DDC
3251,3,s5m20_usuario16,C,['s5m20_usuario9'],C,3,1476.09996796,1451,user,s5m20,changing,CCC
3252,3,s5m20_usuario17,D,['s5m20_usuario11'],D,1,12599.2000103,12573,user,s5m20,changing,DCD
3253,3,s5m20_usuario18,D,['s5m20_usuario12'],D,1,3705.10005951,3680,user,s5m20,changing,CCD
3254,4,s5m20_usuario1,C,['s5m20_usuario15'],C,3,8202.10003853,8171,user,s5m20,changing,CCC
3255,4,s5m20_usuario2,D,['s5m20_usuario7'],C,4,5073.69995117,5044,user,s5m20,changing,CCD
3256,4,s5m20_usuario3,D,['s5m20_usuario12'],D,1,8268.80002022,8239,user,s5m20,changing,DCD
3257,4,s5m20_usuario4,D,['s5m20_usuario9'],C,4,2272.30000496,2244,user,s5m20,changing,CDD
3258,4,s5m20_usuario5,C,['s5m20_usuario16'],C,3,13708.4000111,13679,user,s5m20,changing,CCC
3259,4,s5m20_usuario6,D,['s5m20_usuario17'],D,1,8586.8999958,8556,user,s5m20,changing,CDD
3260,4,s5m20_usuario7,C,['s5m20_usuario2'],D,0,3417.0999526999994,3389,user,s5m20,changing,DCC
3261,4,s5m20_usuario8,C,['s5m20_usuario13'],C,3,3731.70018196,3706,user,s5m20,changing,DCC
3262,4,s5m20_usuario9,C,['s5m20_usuario4'],D,0,6963.59992027,6934,user,s5m20,changing,CCC
3263,4,s5m20_usuario10,C,['s5m20_usuario18'],C,3,6066.29991531,6035,user,s5m20,changing,CCC
3264,4,s5m20_usuario11,D,['s5m20_usuario14'],D,1,3712.80002594,3685,user,s5m20,changing,DDD
3265,4,s5m20_usuario12,D,['s5m20_usuario3'],D,1,2741.80006981,2714,user,s5m20,changing,DDD
3266,4,s5m20_usuario13,C,['s5m20_usuario8'],C,3,2481.1000824000002,2452,user,s5m20,changing,CDC
3267,4,s5m20_usuario14,D,['s5m20_usuario11'],D,1,5347.10001945,5315,user,s5m20,changing,DCD
3268,4,s5m20_usuario15,C,['s5m20_usuario1'],C,3,22417.0000553,22387,user,s5m20,changing,CDC
3269,4,s5m20_usuario16,C,['s5m20_usuario5'],C,3,1786.5998745000002,1757,user,s5m20,changing,CCC
3270,4,s5m20_usuario17,D,['s5m20_usuario6'],D,1,9817.30008125,9788,user,s5m20,changing,DDD
3271,4,s5m20_usuario18,C,['s5m20_usuario10'],C,3,4579.49995995,4562,user,s5m20,changing,DDC
3272,5,s5m20_usuario1,C,['s5m20_usuario16'],C,3,3521.8000412,3494,user,s5m20,changing,CCC
3273,5,s5m20_usuario2,C,['s5m20_usuario9'],C,3,4380.89990616,4352,user,s5m20,changing,DCC
3274,5,s5m20_usuario3,D,['s5m20_usuario10'],D,1,6488.80004883,6463,user,s5m20,changing,DDD
3275,5,s5m20_usuario4,D,['s5m20_usuario17'],D,1,2383.10003281,2354,user,s5m20,changing,DCD
3276,5,s5m20_usuario5,C,['s5m20_usuario13'],C,3,16751.399993900002,16719,user,s5m20,changing,CCC
3277,5,s5m20_usuario6,D,['s5m20_usuario8'],C,4,13395.499944700001,13367,user,s5m20,changing,DDD
3278,5,s5m20_usuario7,C,['s5m20_usuario18'],D,0,4460.40010452,4433,user,s5m20,changing,CDC
3279,5,s5m20_usuario8,C,['s5m20_usuario6'],D,0,3868.29996109,3848,user,s5m20,changing,CCC
3280,5,s5m20_usuario9,C,['s5m20_usuario2'],C,3,9542.59991646,9479,user,s5m20,changing,CDC
3281,5,s5m20_usuario10,D,['s5m20_usuario3'],D,1,9963.79995346,9941,user,s5m20,changing,CCD
3282,5,s5m20_usuario11,D,['s5m20_usuario14'],D,1,8838.99998665,8812,user,s5m20,changing,DDD
3283,5,s5m20_usuario12,D,['s5m20_usuario15'],D,1,7453.00006866,7432,user,s5m20,changing,DDD
3284,5,s5m20_usuario13,C,['s5m20_usuario5'],C,3,1676.10001564,1650,user,s5m20,changing,CCC
3285,5,s5m20_usuario14,D,['s5m20_usuario11'],D,1,4932.29985237,4902,user,s5m20,changing,DDD
3286,5,s5m20_usuario15,D,['s5m20_usuario12'],D,1,12950.4001141,12920,user,s5m20,changing,CCD
3287,5,s5m20_usuario16,C,['s5m20_usuario1'],C,3,4060.49990654,4033,user,s5m20,changing,CCC
3288,5,s5m20_usuario17,D,['s5m20_usuario4'],D,1,16125.2999306,16105,user,s5m20,changing,DDD
3289,5,s5m20_usuario18,D,['s5m20_usuario7'],C,4,5417.79994965,5396,user,s5m20,changing,CCD
3290,6,s5m20_usuario1,D,['s5m20_usuario12'],D,1,2117.70009995,2094,user,s5m20,changing,CCD
3291,6,s5m20_usuario2,D,['s5m20_usuario14'],D,1,4585.20007133,4561,user,s5m20,changing,CCD
3292,6,s5m20_usuario3,D,['s5m20_usuario7'],C,4,4143.30005646,4116,user,s5m20,changing,DDD
3293,6,s5m20_usuario4,D,['s5m20_usuario13'],C,4,1728.69992256,1711,user,s5m20,changing,DDD
3294,6,s5m20_usuario5,C,['s5m20_usuario10'],D,0,7021.8000412,6993,user,s5m20,changing,CCC
3295,6,s5m20_usuario6,D,['s5m20_usuario9'],C,4,16986.699819600002,16967,user,s5m20,changing,DCD
3296,6,s5m20_usuario7,C,['s5m20_usuario3'],D,0,4036.60011292,4009,user,s5m20,changing,CDC
3297,6,s5m20_usuario8,D,['s5m20_usuario11'],C,4,2019.89984512,1993,user,s5m20,changing,CDD
3298,6,s5m20_usuario9,C,['s5m20_usuario6'],D,0,6307.00016022,6285,user,s5m20,changing,CCC
3299,6,s5m20_usuario10,D,['s5m20_usuario5'],C,4,3229.79998589,3205,user,s5m20,changing,DDD
3300,6,s5m20_usuario11,C,['s5m20_usuario8'],D,0,1610.80002785,1586,user,s5m20,changing,DDC
3301,6,s5m20_usuario12,D,['s5m20_usuario1'],D,1,4869.40002441,4844,user,s5m20,changing,DDD
3302,6,s5m20_usuario13,C,['s5m20_usuario4'],D,0,1298.10023308,1237,user,s5m20,changing,CCC
3303,6,s5m20_usuario14,D,['s5m20_usuario2'],D,1,5941.09988213,5914,user,s5m20,changing,DDD
3304,6,s5m20_usuario15,D,['s5m20_usuario16'],C,4,12042.2000885,12011,user,s5m20,changing,DDD
3305,6,s5m20_usuario16,C,['s5m20_usuario15'],D,0,4545.20010948,4520,user,s5m20,changing,CCC
3306,6,s5m20_usuario17,D,['s5m20_usuario18'],C,4,15755.600213999998,15726,user,s5m20,changing,DDD
3307,6,s5m20_usuario18,C,['s5m20_usuario17'],D,0,4335.8001709,4316,user,s5m20,changing,DCC
3308,7,s5m20_usuario1,D,['s5m20_usuario10'],D,1,6969.59996223,6941,user,s5m20,changing,DDD
3309,7,s5m20_usuario2,C,['s5m20_usuario13'],C,3,1997.99990654,1971,user,s5m20,changing,DDC
3310,7,s5m20_usuario3,D,['s5m20_usuario5'],D,1,2094.19989586,2068,user,s5m20,changing,DCD
3311,7,s5m20_usuario4,C,['s5m20_usuario12'],D,0,1776.69978142,1756,user,s5m20,changing,DCC
3312,7,s5m20_usuario5,D,['s5m20_usuario3'],D,1,9680.79996109,9651,user,s5m20,changing,CDD
3313,7,s5m20_usuario6,C,['s5m20_usuario9'],D,0,13163.8000011,13131,user,s5m20,changing,DCC
3314,7,s5m20_usuario7,C,['s5m20_usuario16'],D,0,2850.79979897,2825,user,s5m20,changing,CDC
3315,7,s5m20_usuario8,D,['s5m20_usuario17'],C,4,2286.99994087,2257,user,s5m20,changing,DCD
3316,7,s5m20_usuario9,D,['s5m20_usuario6'],C,4,8750.40006638,8720,user,s5m20,changing,CDD
3317,7,s5m20_usuario10,D,['s5m20_usuario1'],D,1,6143.899917600001,6114,user,s5m20,changing,DCD
3318,7,s5m20_usuario11,D,['s5m20_usuario15'],D,1,2505.10001183,2479,user,s5m20,changing,CDD
3319,7,s5m20_usuario12,D,['s5m20_usuario4'],C,4,2176.90014839,2159,user,s5m20,changing,DDD
3320,7,s5m20_usuario13,C,['s5m20_usuario2'],C,3,1344.50006485,1318,user,s5m20,changing,CDC
3321,7,s5m20_usuario14,D,['s5m20_usuario18'],C,4,9642.40002632,9622,user,s5m20,changing,DDD
3322,7,s5m20_usuario15,D,['s5m20_usuario11'],D,1,24307.3000908,24270,user,s5m20,changing,DCD
3323,7,s5m20_usuario16,D,['s5m20_usuario7'],C,4,3769.99998093,3739,user,s5m20,changing,CDD
3324,7,s5m20_usuario17,C,['s5m20_usuario8'],D,0,11701.800108,11671,user,s5m20,changing,DCC
3325,7,s5m20_usuario18,C,['s5m20_usuario14'],D,0,2554.60000038,2524,user,s5m20,changing,CDC
3326,8,s5m20_usuario1,C,['s5m20_usuario13'],C,3,2013.70000839,1986,user,s5m20,changing,DDC
3327,8,s5m20_usuario2,C,['s5m20_usuario14'],D,0,4784.80005264,4759,user,s5m20,changing,CCC
3328,8,s5m20_usuario3,D,['s5m20_usuario7'],D,1,3088.39988708,3060,user,s5m20,changing,DDD
3329,8,s5m20_usuario4,D,['s5m20_usuario9'],D,1,1734.59982872,1708,user,s5m20,changing,CDD
3330,8,s5m20_usuario5,C,['s5m20_usuario11'],D,0,24165.3001308,24138,user,s5m20,changing,DDC
3331,8,s5m20_usuario6,D,['s5m20_usuario8'],D,1,6546.099901199999,6519,user,s5m20,changing,CDD
3332,8,s5m20_usuario7,D,['s5m20_usuario3'],D,1,5445.39999962,5382,user,s5m20,changing,CDD
3333,8,s5m20_usuario8,D,['s5m20_usuario6'],D,1,1966.09997749,1938,user,s5m20,changing,DCD
3334,8,s5m20_usuario9,D,['s5m20_usuario4'],D,1,5257.20000267,5226,user,s5m20,changing,DCD
3335,8,s5m20_usuario10,D,['s5m20_usuario15'],D,1,6306.90002441,6274,user,s5m20,changing,DDD
3336,8,s5m20_usuario11,D,['s5m20_usuario5'],C,4,4343.10007095,4319,user,s5m20,changing,DDD
3337,8,s5m20_usuario12,D,['s5m20_usuario18'],D,1,10923.000097299999,10891,user,s5m20,changing,DCD
3338,8,s5m20_usuario13,C,['s5m20_usuario1'],C,3,1193.59993935,1167,user,s5m20,changing,CCC
3339,8,s5m20_usuario14,D,['s5m20_usuario2'],C,4,4342.00000763,4317,user,s5m20,changing,DCD
3340,8,s5m20_usuario15,D,['s5m20_usuario10'],D,1,9372.49994278,9344,user,s5m20,changing,DDD
3341,8,s5m20_usuario16,C,['s5m20_usuario17'],C,3,2339.49995041,2313,user,s5m20,changing,DCC
3342,8,s5m20_usuario17,C,['s5m20_usuario16'],C,3,4856.19997978,4826,user,s5m20,changing,CDC
3343,8,s5m20_usuario18,D,['s5m20_usuario12'],D,1,4449.39994812,4424,user,s5m20,changing,CDD
3344,9,s5m20_usuario1,C,['s5m20_usuario15'],C,3,1992.50006676,1965,user,s5m20,changing,CCC
3345,9,s5m20_usuario2,D,['s5m20_usuario3'],D,1,4617.70009995,4592,user,s5m20,changing,CDD
3346,9,s5m20_usuario3,D,['s5m20_usuario2'],D,1,8174.49998856,8144,user,s5m20,changing,DDD
3347,9,s5m20_usuario4,C,['s5m20_usuario12'],D,0,1559.89980698,1533,user,s5m20,changing,DDC
3348,9,s5m20_usuario5,D,['s5m20_usuario6'],D,1,24982.199907299997,24951,user,s5m20,changing,CDD
3349,9,s5m20_usuario6,D,['s5m20_usuario5'],D,1,8153.80001068,8120,user,s5m20,changing,DDD
3350,9,s5m20_usuario7,C,['s5m20_usuario17'],C,3,10495.4001904,10466,user,s5m20,changing,DDC
3351,9,s5m20_usuario8,C,['s5m20_usuario13'],C,3,2501.99985504,2484,user,s5m20,changing,DDC
3352,9,s5m20_usuario9,C,['s5m20_usuario18'],D,0,7213.79995346,7185,user,s5m20,changing,DDC
3353,9,s5m20_usuario10,D,['s5m20_usuario11'],C,4,7327.10003853,7293,user,s5m20,changing,DDD
3354,9,s5m20_usuario11,C,['s5m20_usuario10'],D,0,10707.3998451,10646,user,s5m20,changing,DCC
3355,9,s5m20_usuario12,D,['s5m20_usuario4'],C,4,12785.200119,12758,user,s5m20,changing,DDD
3356,9,s5m20_usuario13,C,['s5m20_usuario8'],C,3,1241.89996719,1214,user,s5m20,changing,CCC
3357,9,s5m20_usuario14,D,['s5m20_usuario16'],C,4,5210.8001709,5187,user,s5m20,changing,DCD
3358,9,s5m20_usuario15,C,['s5m20_usuario1'],C,3,18992.3000336,18970,user,s5m20,changing,DDC
3359,9,s5m20_usuario16,C,['s5m20_usuario14'],D,0,1358.5999012,1333,user,s5m20,changing,CCC
3360,9,s5m20_usuario17,C,['s5m20_usuario7'],C,3,2569.10014153,2539,user,s5m20,changing,CCC
3361,9,s5m20_usuario18,D,['s5m20_usuario9'],C,4,1985.50009727,1954,user,s5m20,changing,DDD
3362,10,s5m20_usuario1,C,['s5m20_usuario15'],C,3,1748.39997292,1722,user,s5m20,changing,CCC
3363,10,s5m20_usuario2,C,['s5m20_usuario11'],D,0,4653.80001068,4628,user,s5m20,changing,DDC
3364,10,s5m20_usuario3,C,['s5m20_usuario9'],D,0,5433.09998512,5402,user,s5m20,changing,DDC
3365,10,s5m20_usuario4,D,['s5m20_usuario13'],C,4,1257.09986687,1230,user,s5m20,changing,CDD
3366,10,s5m20_usuario5,C,['s5m20_usuario17'],C,3,5990.00000954,5959,user,s5m20,changing,DDC
3367,10,s5m20_usuario6,D,['s5m20_usuario8'],C,4,5750.59986115,5687,user,s5m20,changing,DDD
3368,10,s5m20_usuario7,C,['s5m20_usuario10'],D,0,2463.59992027,2433,user,s5m20,changing,CCC
3369,10,s5m20_usuario8,C,['s5m20_usuario6'],D,0,2762.4001503000004,2744,user,s5m20,changing,CCC
3370,10,s5m20_usuario9,D,['s5m20_usuario3'],C,4,3076.90000534,3058,user,s5m20,changing,CDD
3371,10,s5m20_usuario10,D,['s5m20_usuario7'],C,4,4204.49995995,4176,user,s5m20,changing,DCD
3372,10,s5m20_usuario11,D,['s5m20_usuario2'],C,4,2005.90014458,1988,user,s5m20,changing,CDD
3373,10,s5m20_usuario12,D,['s5m20_usuario18'],D,1,2565.00005722,2538,user,s5m20,changing,DCD
3374,10,s5m20_usuario13,C,['s5m20_usuario4'],D,0,972.900152206,944,user,s5m20,changing,CCC
3375,10,s5m20_usuario14,D,['s5m20_usuario16'],D,1,3437.59989738,3409,user,s5m20,changing,DCD
3376,10,s5m20_usuario15,C,['s5m20_usuario1'],C,3,8720.49999237,8695,user,s5m20,changing,CCC
3377,10,s5m20_usuario16,D,['s5m20_usuario14'],D,1,2370.99981308,2344,user,s5m20,changing,CDD
3378,10,s5m20_usuario17,C,['s5m20_usuario5'],C,3,1914.70003128,1890,user,s5m20,changing,CCC
3379,10,s5m20_usuario18,D,['s5m20_usuario12'],D,1,3986.20009422,3961,user,s5m20,changing,DCD
3380,11,s5m20_usuario1,C,['s5m20_usuario3'],D,0,11711.299896200002,11682,user,s5m20,changing,CCC
3381,11,s5m20_usuario2,C,['s5m20_usuario11'],D,0,4174.90005493,4148,user,s5m20,changing,CDC
3382,11,s5m20_usuario3,D,['s5m20_usuario1'],C,4,2383.80002975,2365,user,s5m20,changing,CDD
3383,11,s5m20_usuario4,D,['s5m20_usuario14'],D,1,1315.70005417,1289,user,s5m20,changing,DCD
3384,11,s5m20_usuario5,C,['s5m20_usuario18'],D,0,3403.19991112,3374,user,s5m20,changing,CCC
3385,11,s5m20_usuario6,D,['s5m20_usuario7'],C,4,6333.60004425,6302,user,s5m20,changing,DCD
3386,11,s5m20_usuario7,C,['s5m20_usuario6'],D,0,2045.70007324,2021,user,s5m20,changing,CDC
3387,11,s5m20_usuario8,D,['s5m20_usuario10'],D,1,1826.40004158,1807,user,s5m20,changing,CDD
3388,11,s5m20_usuario9,D,['s5m20_usuario16'],D,1,4935.40000916,4906,user,s5m20,changing,DCD
3389,11,s5m20_usuario10,D,['s5m20_usuario8'],D,1,5880.5000782,5839,user,s5m20,changing,DCD
3390,11,s5m20_usuario11,D,['s5m20_usuario2'],C,4,2347.59998322,2320,user,s5m20,changing,DCD
3391,11,s5m20_usuario12,D,['s5m20_usuario15'],C,4,13753.200054199999,13690,user,s5m20,changing,DDD
3392,11,s5m20_usuario13,C,['s5m20_usuario17'],C,3,1203.29999924,1178,user,s5m20,changing,CDC
3393,11,s5m20_usuario14,D,['s5m20_usuario4'],D,1,2131.50000572,2106,user,s5m20,changing,DDD
3394,11,s5m20_usuario15,C,['s5m20_usuario12'],D,0,6569.19980049,6537,user,s5m20,changing,CCC
3395,11,s5m20_usuario16,D,['s5m20_usuario9'],D,1,3520.60008049,3494,user,s5m20,changing,DDD
3396,11,s5m20_usuario17,C,['s5m20_usuario13'],C,3,3563.30013275,3537,user,s5m20,changing,CCC
3397,11,s5m20_usuario18,D,['s5m20_usuario5'],C,4,6339.49995041,6311,user,s5m20,changing,DDD
3398,12,s5m20_usuario1,D,['s5m20_usuario4'],C,4,9665.40002823,9610,user,s5m20,changing,CDD
3399,12,s5m20_usuario2,C,['s5m20_usuario15'],C,3,1445.00017166,1416,user,s5m20,changing,CDC
3400,12,s5m20_usuario3,D,['s5m20_usuario7'],C,4,3761.80005074,3735,user,s5m20,changing,DCD
3401,12,s5m20_usuario4,C,['s5m20_usuario1'],D,0,1984.30013657,1958,user,s5m20,changing,DDC
3402,12,s5m20_usuario5,D,['s5m20_usuario11'],D,1,9153.19991112,9100,user,s5m20,changing,CDD
3403,12,s5m20_usuario6,D,['s5m20_usuario9'],D,1,6000.49996376,5972,user,s5m20,changing,DCD
3404,12,s5m20_usuario7,C,['s5m20_usuario3'],D,0,2340.20018578,2312,user,s5m20,changing,CDC
3405,12,s5m20_usuario8,D,['s5m20_usuario14'],D,1,2396.29983902,2365,user,s5m20,changing,DDD
3406,12,s5m20_usuario9,D,['s5m20_usuario6'],D,1,5673.09999466,5643,user,s5m20,changing,DDD
3407,12,s5m20_usuario10,C,['s5m20_usuario17'],C,3,6499.09996986,6469,user,s5m20,changing,DDC
3408,12,s5m20_usuario11,D,['s5m20_usuario5'],D,1,2154.00004387,2129,user,s5m20,changing,DCD
3409,12,s5m20_usuario12,D,['s5m20_usuario13'],C,4,15551.400184600001,15517,user,s5m20,changing,DCD
3410,12,s5m20_usuario13,C,['s5m20_usuario12'],D,0,941.200017929,915,user,s5m20,changing,CCC
3411,12,s5m20_usuario14,D,['s5m20_usuario8'],D,1,1667.70005226,1639,user,s5m20,changing,DDD
3412,12,s5m20_usuario15,C,['s5m20_usuario2'],C,3,27789.4999981,27757,user,s5m20,changing,CDC
3413,12,s5m20_usuario16,D,['s5m20_usuario18'],C,4,1920.69983482,1891,user,s5m20,changing,DDD
3414,12,s5m20_usuario17,C,['s5m20_usuario10'],C,3,1933.90011787,1903,user,s5m20,changing,CCC
3415,12,s5m20_usuario18,C,['s5m20_usuario16'],D,0,4032.50002861,4006,user,s5m20,changing,DCC
3416,13,s5m20_usuario1,D,['s5m20_usuario9'],C,4,2463.79995346,2436,user,s5m20,changing,DCD
3417,13,s5m20_usuario2,D,['s5m20_usuario15'],C,4,8380.00011444,8349,user,s5m20,changing,CCD
3418,13,s5m20_usuario3,C,['s5m20_usuario6'],D,0,2730.90004921,2706,user,s5m20,changing,DCC
3419,13,s5m20_usuario4,C,['s5m20_usuario13'],C,3,1085.3998660999998,1059,user,s5m20,changing,CDC
3420,13,s5m20_usuario5,C,['s5m20_usuario18'],D,0,11483.000040100002,11455,user,s5m20,changing,DDC
3421,13,s5m20_usuario6,D,['s5m20_usuario3'],C,4,3018.49985123,2993,user,s5m20,changing,DDD
3422,13,s5m20_usuario7,C,['s5m20_usuario17'],C,3,1874.69983101,1848,user,s5m20,changing,CDC
3423,13,s5m20_usuario8,C,['s5m20_usuario10'],D,0,2111.59992218,2087,user,s5m20,changing,DDC
3424,13,s5m20_usuario9,C,['s5m20_usuario1'],D,0,3801.80001259,3776,user,s5m20,changing,DDC
3425,13,s5m20_usuario10,D,['s5m20_usuario8'],C,4,5043.90001297,5022,user,s5m20,changing,CCD
3426,13,s5m20_usuario11,D,['s5m20_usuario14'],D,1,1866.19997025,1840,user,s5m20,changing,DDD
3427,13,s5m20_usuario12,D,['s5m20_usuario16'],D,1,16525.3000259,16494,user,s5m20,changing,DCD
3428,13,s5m20_usuario13,C,['s5m20_usuario4'],C,3,2964.8001194000003,2937,user,s5m20,changing,CDC
3429,13,s5m20_usuario14,D,['s5m20_usuario11'],D,1,12891.2000656,12869,user,s5m20,changing,DDD
3430,13,s5m20_usuario15,C,['s5m20_usuario2'],D,0,4035.69984436,4007,user,s5m20,changing,CCC
3431,13,s5m20_usuario16,D,['s5m20_usuario12'],D,1,2461.69996262,2434,user,s5m20,changing,DCD
3432,13,s5m20_usuario17,C,['s5m20_usuario7'],C,3,2530.40003777,2505,user,s5m20,changing,CCC
3433,13,s5m20_usuario18,D,['s5m20_usuario5'],C,4,2559.60011482,2541,user,s5m20,changing,CDD
3434,14,s5m20_usuario1,D,['s5m20_usuario16'],C,4,7890.60020447,7869,user,s5m20,changing,DCD
3435,14,s5m20_usuario2,D,['s5m20_usuario13'],C,4,6511.39998436,6477,user,s5m20,changing,DCD
3436,14,s5m20_usuario3,C,['s5m20_usuario18'],D,0,1973.50001335,1944,user,s5m20,changing,CDC
3437,14,s5m20_usuario4,C,['s5m20_usuario10'],D,0,1167.00005531,1142,user,s5m20,changing,CCC
3438,14,s5m20_usuario5,D,['s5m20_usuario8'],D,1,4692.899942399999,4668,user,s5m20,changing,CDD
3439,14,s5m20_usuario6,D,['s5m20_usuario12'],D,1,3821.59996033,3797,user,s5m20,changing,DCD
3440,14,s5m20_usuario7,C,['s5m20_usuario15'],D,0,3683.6001873000005,3659,user,s5m20,changing,CCC
3441,14,s5m20_usuario8,D,['s5m20_usuario5'],D,1,2474.80010986,2459,user,s5m20,changing,CDD
3442,14,s5m20_usuario9,D,['s5m20_usuario17'],C,4,3785.70008278,3755,user,s5m20,changing,CDD
