,round,player,action_player,opponent,action_opponent,payoff,time_php,rt,who_played,session,treatment,actions,response,abs_time,prev
1836,3,s4m8_usuario11,C,['s4m8_usuario4'],C,3,10258.2001686,10.229,user,s4m8,fix,CCC,1,10.229,CC
1837,3,s4m8_usuario4,C,['s4m8_usuario11'],C,3,8456.69984818,8.431,user,s4m8,fix,CCC,1,8.431,CC
1838,3,s4m8_usuario5,D,['s4m8_usuario3'],D,1,3684.70001221,-3.661,user,s4m8,fix,DCD,0,3.661,DC
1839,3,s4m8_usuario3,D,['s4m8_usuario5'],D,1,10185.199976,-10.128,user,s4m8,fix,CDD,0,10.128,CD
1840,3,s4m8_usuario12,C,['s4m8_usuario6'],C,3,9443.70007515,9.414,user,s4m8,fix,CCC,1,9.414,CC
1841,3,s4m8_usuario6,C,['s4m8_usuario12'],C,3,2476.6998290999995,2.452,user,s4m8,fix,CCC,1,2.452,CC
1842,4,s4m8_usuario2,D,['s4m8_usuario7'],D,1,5780.90000153,-5.75,user,s4m8,fix,CDD,0,5.75,CD
1843,4,s4m8_usuario7,D,['s4m8_usuario2'],D,1,2404.40011024,-2.379,user,s4m8,fix,DCD,0,2.379,DC
1844,4,s4m8_usuario14,C,['s4m8_usuario13'],C,3,7230.40008545,7.202,user,s4m8,fix,CCC,1,7.202,CC
1845,4,s4m8_usuario13,C,['s4m8_usuario14'],C,3,990.000009537,0.966,user,s4m8,fix,CCC,1,0.966,CC
1846,4,s4m8_usuario9,C,['s4m8_usuario10'],C,3,13472.200155300001,13.444,user,s4m8,fix,CDC,1,13.444,CD
1847,4,s4m8_usuario10,C,['s4m8_usuario9'],C,3,17450.199842500002,17.387,user,s4m8,fix,DCC,1,17.387,DC
1848,4,s4m8_usuario8,D,['s4m8_usuario1'],C,4,11244.2998886,-11.22,user,s4m8,fix,CCD,0,11.22,CC
1849,4,s4m8_usuario1,C,['s4m8_usuario8'],D,0,4123.89993668,4.097,user,s4m8,fix,CCC,1,4.097,CC
1850,4,s4m8_usuario11,C,['s4m8_usuario4'],C,3,8155.60007095,8.094,user,s4m8,fix,CCC,1,8.094,CC
1851,4,s4m8_usuario4,C,['s4m8_usuario11'],C,3,2568.90010834,2.554,user,s4m8,fix,CCC,1,2.554,CC
1852,4,s4m8_usuario5,D,['s4m8_usuario3'],D,1,5044.00014877,-5.014,user,s4m8,fix,DDD,0,5.014,DD
1853,4,s4m8_usuario3,D,['s4m8_usuario5'],D,1,4634.99999046,-4.61,user,s4m8,fix,DDD,0,4.61,DD
1854,4,s4m8_usuario12,C,['s4m8_usuario6'],C,3,6250.20003319,6.221,user,s4m8,fix,CCC,1,6.221,CC
1855,4,s4m8_usuario6,C,['s4m8_usuario12'],C,3,1826.20000839,1.801,user,s4m8,fix,CCC,1,1.801,CC
1856,5,s4m8_usuario2,C,['s4m8_usuario7'],C,3,10844.500064799999,10.82,user,s4m8,fix,DDC,1,10.82,DD
1857,5,s4m8_usuario7,C,['s4m8_usuario2'],C,3,6019.50001717,5.972,user,s4m8,fix,DDC,1,5.972,DD
1858,5,s4m8_usuario14,C,['s4m8_usuario13'],C,3,6514.80007172,6.484,user,s4m8,fix,CCC,1,6.484,CC
1859,5,s4m8_usuario13,C,['s4m8_usuario14'],C,3,856.6999435419999,0.829,user,s4m8,fix,CCC,1,0.829,CC
1860,5,s4m8_usuario9,C,['s4m8_usuario10'],C,3,6233.50000381,6.213,user,s4m8,fix,CCC,1,6.213,CC
1861,5,s4m8_usuario10,C,['s4m8_usuario9'],C,3,12380.5000782,12.351,user,s4m8,fix,CCC,1,12.351,CC
1862,5,s4m8_usuario8,D,['s4m8_usuario1'],D,1,7419.00014877,-7.384,user,s4m8,fix,DCD,0,7.384,DC
1863,5,s4m8_usuario1,D,['s4m8_usuario8'],D,1,3408.49995613,-3.391,user,s4m8,fix,CDD,0,3.391,CD
1864,5,s4m8_usuario11,D,['s4m8_usuario4'],C,4,5514.29986954,-5.486,user,s4m8,fix,CCD,0,5.486,CC
1865,5,s4m8_usuario4,C,['s4m8_usuario11'],D,0,2605.49998283,2.592,user,s4m8,fix,CCC,1,2.592,CC
1866,5,s4m8_usuario5,D,['s4m8_usuario3'],D,1,2556.39982224,-2.533,user,s4m8,fix,DDD,0,2.533,DD
1867,5,s4m8_usuario3,D,['s4m8_usuario5'],D,1,2797.09982872,-2.769,user,s4m8,fix,DDD,0,2.769,DD
1868,5,s4m8_usuario12,C,['s4m8_usuario6'],C,3,5950.39987564,5.926,user,s4m8,fix,CCC,1,5.926,CC
1869,5,s4m8_usuario6,C,['s4m8_usuario12'],C,3,1180.00006676,1.165,user,s4m8,fix,CCC,1,1.165,CC
1870,6,s4m8_usuario2,C,['s4m8_usuario7'],C,3,6166.80002213,6.138,user,s4m8,fix,CCC,1,6.138,CC
1871,6,s4m8_usuario7,C,['s4m8_usuario2'],C,3,2100.89993477,2.077,user,s4m8,fix,CCC,1,2.077,CC
1872,6,s4m8_usuario14,C,['s4m8_usuario13'],C,3,10715.2998447,10.686,user,s4m8,fix,CCC,1,10.686,CC
1873,6,s4m8_usuario13,C,['s4m8_usuario14'],C,3,950.700044632,0.927,user,s4m8,fix,CCC,1,0.927,CC
1874,6,s4m8_usuario9,C,['s4m8_usuario10'],C,3,6454.69999313,6.428,user,s4m8,fix,CCC,1,6.428,CC
1875,6,s4m8_usuario10,C,['s4m8_usuario9'],C,3,7924.59988594,7.895,user,s4m8,fix,CCC,1,7.895,CC
1876,6,s4m8_usuario8,C,['s4m8_usuario1'],C,3,2708.19997787,2.685,user,s4m8,fix,DDC,1,2.685,DD
1877,6,s4m8_usuario1,C,['s4m8_usuario8'],C,3,6419.60000992,6.399,user,s4m8,fix,DDC,1,6.399,DD
1878,6,s4m8_usuario11,D,['s4m8_usuario4'],C,4,8070.09983063,-8.03,user,s4m8,fix,DCD,0,8.03,DC
1879,6,s4m8_usuario4,C,['s4m8_usuario11'],D,0,2910.3000164,2.886,user,s4m8,fix,CDC,1,2.886,CD
1880,6,s4m8_usuario5,D,['s4m8_usuario3'],D,1,2495.80001831,-2.47,user,s4m8,fix,DDD,0,2.47,DD
1881,6,s4m8_usuario3,D,['s4m8_usuario5'],D,1,1280.80010414,-1.261,user,s4m8,fix,DDD,0,1.261,DD
1882,6,s4m8_usuario12,C,['s4m8_usuario6'],C,3,6235.49985886,6.207,user,s4m8,fix,CCC,1,6.207,CC
1883,6,s4m8_usuario6,C,['s4m8_usuario12'],C,3,807.100057602,0.782,user,s4m8,fix,CCC,1,0.782,CC
1884,7,s4m8_usuario2,C,['s4m8_usuario7'],C,3,3581.3999175999998,3.556,user,s4m8,fix,CCC,1,3.556,CC
1885,7,s4m8_usuario7,C,['s4m8_usuario2'],C,3,1584.50007439,1.562,user,s4m8,fix,CCC,1,1.562,CC
1886,7,s4m8_usuario14,C,['s4m8_usuario13'],C,3,10395.3001499,10.366,user,s4m8,fix,CCC,1,10.366,CC
1887,7,s4m8_usuario13,C,['s4m8_usuario14'],C,3,838.100194931,0.813,user,s4m8,fix,CCC,1,0.813,CC
1888,7,s4m8_usuario9,C,['s4m8_usuario10'],C,3,2929.80003357,2.913,user,s4m8,fix,CCC,1,2.913,CC
1889,7,s4m8_usuario10,C,['s4m8_usuario9'],C,3,9878.90005112,9.849,user,s4m8,fix,CCC,1,9.849,CC
1890,7,s4m8_usuario8,C,['s4m8_usuario1'],C,3,4137.09998131,4.113,user,s4m8,fix,CCC,1,4.113,CC
1891,7,s4m8_usuario1,C,['s4m8_usuario8'],C,3,6586.49992943,6.559,user,s4m8,fix,CCC,1,6.559,CC
1892,7,s4m8_usuario11,D,['s4m8_usuario4'],D,1,10763.7999058,-10.731,user,s4m8,fix,DCD,0,10.731,DC
1893,7,s4m8_usuario4,D,['s4m8_usuario11'],D,1,1690.00005722,-1.665,user,s4m8,fix,CDD,0,1.665,CD
1894,7,s4m8_usuario5,D,['s4m8_usuario3'],D,1,1718.10007095,-1.693,user,s4m8,fix,DDD,0,1.693,DD
1895,7,s4m8_usuario3,D,['s4m8_usuario5'],D,1,1367.90013313,-1.342,user,s4m8,fix,DDD,0,1.342,DD
1896,7,s4m8_usuario12,C,['s4m8_usuario6'],C,3,5470.79992294,5.41,user,s4m8,fix,CCC,1,5.41,CC
1897,7,s4m8_usuario6,C,['s4m8_usuario12'],C,3,951.999902725,0.936,user,s4m8,fix,CCC,1,0.936,CC
1898,8,s4m8_usuario2,C,['s4m8_usuario7'],C,3,1624.79996681,1.599,user,s4m8,fix,CCC,1,1.599,CC
1899,8,s4m8_usuario7,C,['s4m8_usuario2'],C,3,1249.50003624,1.226,user,s4m8,fix,CCC,1,1.226,CC
1900,8,s4m8_usuario14,C,['s4m8_usuario13'],C,3,10320.3999996,10.293,user,s4m8,fix,CCC,1,10.293,CC
1901,8,s4m8_usuario13,C,['s4m8_usuario14'],C,3,951.799869537,0.926,user,s4m8,fix,CCC,1,0.926,CC
1902,8,s4m8_usuario9,C,['s4m8_usuario10'],C,3,3420.09997368,3.392,user,s4m8,fix,CCC,1,3.392,CC
1903,8,s4m8_usuario10,C,['s4m8_usuario9'],C,3,8422.99985886,8.395,user,s4m8,fix,CCC,1,8.395,CC
1904,8,s4m8_usuario8,C,['s4m8_usuario1'],C,3,6038.70010376,6.009,user,s4m8,fix,CCC,1,6.009,CC
1905,8,s4m8_usuario1,C,['s4m8_usuario8'],C,3,4716.89987183,4.701,user,s4m8,fix,CCC,1,4.701,CC
1906,8,s4m8_usuario11,D,['s4m8_usuario4'],D,1,9069.89979744,-9.04,user,s4m8,fix,DDD,0,9.04,DD
1907,8,s4m8_usuario4,D,['s4m8_usuario11'],D,1,1938.99989128,-1.914,user,s4m8,fix,DDD,0,1.914,DD
1908,8,s4m8_usuario5,D,['s4m8_usuario3'],D,1,1194.20003891,-1.174,user,s4m8,fix,DDD,0,1.174,DD
1909,8,s4m8_usuario3,D,['s4m8_usuario5'],D,1,704.400062561,-0.681,user,s4m8,fix,DDD,0,0.681,DD
1910,8,s4m8_usuario12,C,['s4m8_usuario6'],C,3,3904.20007706,3.879,user,s4m8,fix,CCC,1,3.879,CC
1911,8,s4m8_usuario6,C,['s4m8_usuario12'],C,3,687.5,0.666,user,s4m8,fix,CCC,1,0.666,CC
1912,9,s4m8_usuario2,C,['s4m8_usuario7'],C,3,1443.50004196,1.419,user,s4m8,fix,CCC,1,1.419,CC
1913,9,s4m8_usuario7,C,['s4m8_usuario2'],C,3,1054.89993095,1.026,user,s4m8,fix,CCC,1,1.026,CC
1914,9,s4m8_usuario14,C,['s4m8_usuario13'],C,3,12909.1000557,12.879,user,s4m8,fix,CCC,1,12.879,CC
1915,9,s4m8_usuario13,C,['s4m8_usuario14'],C,3,881.099939346,0.854,user,s4m8,fix,CCC,1,0.854,CC
1916,9,s4m8_usuario9,C,['s4m8_usuario10'],C,3,2615.29994011,2.586,user,s4m8,fix,CCC,1,2.586,CC
1917,9,s4m8_usuario10,C,['s4m8_usuario9'],C,3,2084.90014076,2.068,user,s4m8,fix,CCC,1,2.068,CC
1918,9,s4m8_usuario8,D,['s4m8_usuario1'],C,4,5063.29989433,-5.039,user,s4m8,fix,CCD,0,5.039,CC
1919,9,s4m8_usuario1,C,['s4m8_usuario8'],D,0,6138.8001442,6.111,user,s4m8,fix,CCC,1,6.111,CC
1920,9,s4m8_usuario11,D,['s4m8_usuario4'],D,1,7919.30007935,-7.891,user,s4m8,fix,DDD,0,7.891,DD
1921,9,s4m8_usuario4,D,['s4m8_usuario11'],D,1,1819.10014153,-1.794,user,s4m8,fix,DDD,0,1.794,DD
1922,9,s4m8_usuario5,D,['s4m8_usuario3'],D,1,920.7000732419999,-0.896,user,s4m8,fix,DDD,0,0.896,DD
1923,9,s4m8_usuario3,D,['s4m8_usuario5'],D,1,472.700119019,-0.456,user,s4m8,fix,DDD,0,0.456,DD
1924,9,s4m8_usuario12,C,['s4m8_usuario6'],C,3,5849.50017929,5.824,user,s4m8,fix,CCC,1,5.824,CC
1925,9,s4m8_usuario6,C,['s4m8_usuario12'],C,3,788.8000011439999,0.762,user,s4m8,fix,CCC,1,0.762,CC
1926,10,s4m8_usuario2,C,['s4m8_usuario7'],C,3,1660.00008583,1.636,user,s4m8,fix,CCC,1,1.636,CC
1927,10,s4m8_usuario7,C,['s4m8_usuario2'],C,3,2299.09992218,2.281,user,s4m8,fix,CCC,1,2.281,CC
1928,10,s4m8_usuario14,C,['s4m8_usuario13'],C,3,11485.0001335,11.457,user,s4m8,fix,CCC,1,11.457,CC
1929,10,s4m8_usuario13,C,['s4m8_usuario14'],C,3,697.4000930789999,0.667,user,s4m8,fix,CCC,1,0.667,CC
1930,10,s4m8_usuario9,C,['s4m8_usuario10'],C,3,2073.5001564,2.057,user,s4m8,fix,CCC,1,2.057,CC
1931,10,s4m8_usuario10,C,['s4m8_usuario9'],C,3,14818.8998699,14.798,user,s4m8,fix,CCC,1,14.798,CC
1932,10,s4m8_usuario8,C,['s4m8_usuario1'],D,0,2388.40007782,2.361,user,s4m8,fix,DCC,1,2.361,DC
1933,10,s4m8_usuario1,D,['s4m8_usuario8'],C,4,3402.3001194,-3.38,user,s4m8,fix,CDD,0,3.38,CD
1934,10,s4m8_usuario11,C,['s4m8_usuario4'],D,0,7344.39992905,7.316,user,s4m8,fix,DDC,1,7.316,DD
1935,10,s4m8_usuario4,D,['s4m8_usuario11'],C,4,1828.60016823,-1.802,user,s4m8,fix,DDD,0,1.802,DD
1936,10,s4m8_usuario5,D,['s4m8_usuario3'],D,1,7298.09999466,-7.239,user,s4m8,fix,DDD,0,7.239,DD
1937,10,s4m8_usuario3,D,['s4m8_usuario5'],D,1,852.6000976560001,-0.835,user,s4m8,fix,DDD,0,0.835,DD
1938,10,s4m8_usuario12,C,['s4m8_usuario6'],C,3,4508.50009918,4.483,user,s4m8,fix,CCC,1,4.483,CC
1939,10,s4m8_usuario6,C,['s4m8_usuario12'],C,3,1021.900177,0.994,user,s4m8,fix,CCC,1,0.994,CC
1940,11,s4m8_usuario2,C,['s4m8_usuario7'],C,3,1724.40004349,1.697,user,s4m8,fix,CCC,1,1.697,CC
1941,11,s4m8_usuario7,C,['s4m8_usuario2'],C,3,1564.39995766,1.541,user,s4m8,fix,CCC,1,1.541,CC
1942,11,s4m8_usuario14,C,['s4m8_usuario13'],C,3,8904.20007706,8.874,user,s4m8,fix,CCC,1,8.874,CC
1943,11,s4m8_usuario13,C,['s4m8_usuario14'],C,3,634.500026703,0.619,user,s4m8,fix,CCC,1,0.619,CC
1944,11,s4m8_usuario9,C,['s4m8_usuario10'],C,3,5123.30007553,5.065,user,s4m8,fix,CCC,1,5.065,CC
1945,11,s4m8_usuario10,C,['s4m8_usuario9'],C,3,4355.99994659,4.338,user,s4m8,fix,CCC,1,4.338,CC
1946,11,s4m8_usuario8,C,['s4m8_usuario1'],D,0,2849.90000725,2.825,user,s4m8,fix,CDC,1,2.825,CD
1947,11,s4m8_usuario1,D,['s4m8_usuario8'],C,4,4355.70001602,-4.338,user,s4m8,fix,DCD,0,4.338,DC
1948,11,s4m8_usuario11,C,['s4m8_usuario4'],D,0,10620.599985100002,10.593,user,s4m8,fix,CDC,1,10.593,CD
1949,11,s4m8_usuario4,D,['s4m8_usuario11'],C,4,2873.89993668,-2.846,user,s4m8,fix,DCD,0,2.846,DC
1950,11,s4m8_usuario5,D,['s4m8_usuario3'],D,1,3003.20005417,-2.987,user,s4m8,fix,DDD,0,2.987,DD
1951,11,s4m8_usuario3,D,['s4m8_usuario5'],D,1,547.100067139,-0.53,user,s4m8,fix,DDD,0,0.53,DD
1952,11,s4m8_usuario12,C,['s4m8_usuario6'],C,3,6648.00000191,6.627,user,s4m8,fix,CCC,1,6.627,CC
1953,11,s4m8_usuario6,C,['s4m8_usuario12'],C,3,1403.80001068,1.372,user,s4m8,fix,CCC,1,1.372,CC
1954,12,s4m8_usuario2,C,['s4m8_usuario7'],C,3,2203.50003242,2.179,user,s4m8,fix,CCC,1,2.179,CC
1955,12,s4m8_usuario7,C,['s4m8_usuario2'],C,3,997.299909592,0.972,user,s4m8,fix,CCC,1,0.972,CC
1956,12,s4m8_usuario14,C,['s4m8_usuario13'],C,3,7132.10010529,7.106,user,s4m8,fix,CCC,1,7.106,CC
1957,12,s4m8_usuario13,C,['s4m8_usuario14'],C,3,790.6999588010001,0.769,user,s4m8,fix,CCC,1,0.769,CC
1958,12,s4m8_usuario9,C,['s4m8_usuario10'],C,3,2921.70000076,2.905,user,s4m8,fix,CCC,1,2.905,CC
1959,12,s4m8_usuario10,C,['s4m8_usuario9'],C,3,5716.09997749,5.687,user,s4m8,fix,CCC,1,5.687,CC
1960,12,s4m8_usuario8,C,['s4m8_usuario1'],C,3,2908.90002251,2.881,user,s4m8,fix,CDC,1,2.881,CD
1961,12,s4m8_usuario1,C,['s4m8_usuario8'],C,3,3448.19998741,3.431,user,s4m8,fix,DCC,1,3.431,DC
1962,12,s4m8_usuario11,D,['s4m8_usuario4'],D,1,5433.40015411,-5.404,user,s4m8,fix,CDD,0,5.404,CD
1963,12,s4m8_usuario4,D,['s4m8_usuario11'],D,1,5546.29993439,-5.487,user,s4m8,fix,DCD,0,5.487,DC
1964,12,s4m8_usuario5,D,['s4m8_usuario3'],D,1,1234.69996452,-1.209,user,s4m8,fix,DDD,0,1.209,DD
1965,12,s4m8_usuario3,D,['s4m8_usuario5'],D,1,562.00003624,-0.536,user,s4m8,fix,DDD,0,0.536,DD
1966,12,s4m8_usuario12,C,['s4m8_usuario6'],C,3,5051.700115199999,5.03,user,s4m8,fix,CCC,1,5.03,CC
1967,12,s4m8_usuario6,C,['s4m8_usuario12'],C,3,2137.90011406,2.123,user,s4m8,fix,CCC,1,2.123,CC
1968,13,s4m8_usuario2,C,['s4m8_usuario7'],C,3,2237.49995232,2.213,user,s4m8,fix,CCC,1,2.213,CC
1969,13,s4m8_usuario7,C,['s4m8_usuario2'],C,3,1193.40014458,1.164,user,s4m8,fix,CCC,1,1.164,CC
1970,13,s4m8_usuario14,C,['s4m8_usuario13'],C,3,11199.6998787,11.172,user,s4m8,fix,CCC,1,11.172,CC
1971,13,s4m8_usuario13,C,['s4m8_usuario14'],C,3,673.099994659,0.658,user,s4m8,fix,CCC,1,0.658,CC
1972,13,s4m8_usuario9,C,['s4m8_usuario10'],C,3,1974.29990768,1.95,user,s4m8,fix,CCC,1,1.95,CC
1973,13,s4m8_usuario10,C,['s4m8_usuario9'],C,3,5402.3001194,5.384,user,s4m8,fix,CCC,1,5.384,CC
1974,13,s4m8_usuario8,C,['s4m8_usuario1'],C,3,1465.10004997,1.44,user,s4m8,fix,CCC,1,1.44,CC
1975,13,s4m8_usuario1,C,['s4m8_usuario8'],C,3,2147.30000496,2.122,user,s4m8,fix,CCC,1,2.122,CC
1976,13,s4m8_usuario11,D,['s4m8_usuario4'],D,1,6538.89989853,-6.519,user,s4m8,fix,DDD,0,6.519,DD
1977,13,s4m8_usuario4,D,['s4m8_usuario11'],D,1,1779.20007706,-1.756,user,s4m8,fix,DDD,0,1.756,DD
1978,13,s4m8_usuario5,C,['s4m8_usuario3'],D,0,2089.10012245,2.071,user,s4m8,fix,DDC,1,2.071,DD
1979,13,s4m8_usuario3,D,['s4m8_usuario5'],C,4,1247.69997597,-1.221,user,s4m8,fix,DDD,0,1.221,DD
1980,13,s4m8_usuario12,C,['s4m8_usuario6'],C,3,4418.69997978,4.391,user,s4m8,fix,CCC,1,4.391,CC
1981,13,s4m8_usuario6,C,['s4m8_usuario12'],C,3,835.099935532,0.811,user,s4m8,fix,CCC,1,0.811,CC
1982,14,s4m8_usuario2,C,['s4m8_usuario7'],C,3,2845.3001976,2.821,user,s4m8,fix,CCC,1,2.821,CC
1983,14,s4m8_usuario7,C,['s4m8_usuario2'],C,3,908.9999198910001,0.883,user,s4m8,fix,CCC,1,0.883,CC
1984,14,s4m8_usuario14,C,['s4m8_usuario13'],C,3,11453.8998604,11.429,user,s4m8,fix,CCC,1,11.429,CC
1985,14,s4m8_usuario13,C,['s4m8_usuario14'],C,3,972.8000164030001,0.943,user,s4m8,fix,CCC,1,0.943,CC
1986,14,s4m8_usuario9,C,['s4m8_usuario10'],C,3,5357.600212100001,5.337,user,s4m8,fix,CCC,1,5.337,CC
1987,14,s4m8_usuario10,C,['s4m8_usuario9'],C,3,5364.70007896,5.332,user,s4m8,fix,CCC,1,5.332,CC
1988,14,s4m8_usuario8,C,['s4m8_usuario1'],C,3,8904.10017967,8.884,user,s4m8,fix,CCC,1,8.884,CC
1989,14,s4m8_usuario1,C,['s4m8_usuario8'],C,3,3501.3999939000005,3.471,user,s4m8,fix,CCC,1,3.471,CC
1990,14,s4m8_usuario11,D,['s4m8_usuario4'],D,1,7627.30002403,-7.599,user,s4m8,fix,DDD,0,7.599,DD
1991,14,s4m8_usuario4,D,['s4m8_usuario11'],D,1,2222.19991684,-2.206,user,s4m8,fix,DDD,0,2.206,DD
1992,14,s4m8_usuario5,C,['s4m8_usuario3'],D,0,1903.09977531,1.879,user,s4m8,fix,CDC,1,1.879,CD
1993,14,s4m8_usuario3,D,['s4m8_usuario5'],C,4,1690.69981575,-1.668,user,s4m8,fix,DCD,0,1.668,DC
1994,14,s4m8_usuario12,C,['s4m8_usuario6'],C,3,3780.60007095,3.754,user,s4m8,fix,CCC,1,3.754,CC
1995,14,s4m8_usuario6,C,['s4m8_usuario12'],C,3,911.299943924,0.888,user,s4m8,fix,CCC,1,0.888,CC
1996,15,s4m8_usuario2,C,['s4m8_usuario7'],C,3,1990.99993706,1.974,user,s4m8,fix,CCC,1,1.974,CC
1997,15,s4m8_usuario7,C,['s4m8_usuario2'],C,3,848.999977112,0.824,user,s4m8,fix,CCC,1,0.824,CC
1998,15,s4m8_usuario14,C,['s4m8_usuario13'],C,3,6036.20004654,6.009,user,s4m8,fix,CCC,1,6.009,CC
1999,15,s4m8_usuario13,C,['s4m8_usuario14'],C,3,607.500076294,0.582,user,s4m8,fix,CCC,1,0.582,CC
2000,15,s4m8_usuario9,C,['s4m8_usuario10'],C,3,2377.89988518,2.348,user,s4m8,fix,CCC,1,2.348,CC
2001,15,s4m8_usuario10,C,['s4m8_usuario9'],C,3,5114.00008202,5.085,user,s4m8,fix,CCC,1,5.085,CC
2002,15,s4m8_usuario8,D,['s4m8_usuario1'],C,4,3891.49999619,-3.865,user,s4m8,fix,CCD,0,3.865,CC
2003,15,s4m8_usuario1,C,['s4m8_usuario8'],D,0,4508.30006599,4.482,user,s4m8,fix,CCC,1,4.482,CC
2004,15,s4m8_usuario11,C,['s4m8_usuario4'],D,0,5581.40015602,5.561,user,s4m8,fix,DDC,1,5.561,DD
2005,15,s4m8_usuario4,D,['s4m8_usuario11'],C,4,1501.80006027,-1.471,user,s4m8,fix,DDD,0,1.471,DD
