,round,player,action_player,opponent,action_opponent,payoff,time_php,rt,who_played,session,treatment,actions,prev,response,abs_time
3277,5,s5m20_usuario6,D,['s5m20_usuario8'],C,4,13395.499944700001,-0.013,user,s5m20,changing,DDD,DD,0,0.013
3278,5,s5m20_usuario7,C,['s5m20_usuario18'],D,0,4460.40010452,0.004,user,s5m20,changing,CDC,CD,1,0.004
3279,5,s5m20_usuario8,C,['s5m20_usuario6'],D,0,3868.29996109,0.003,user,s5m20,changing,CCC,CC,1,0.003
3280,5,s5m20_usuario9,C,['s5m20_usuario2'],C,3,9542.59991646,0.009,user,s5m20,changing,CDC,CD,1,0.009
3281,5,s5m20_usuario10,D,['s5m20_usuario3'],D,1,9963.79995346,-0.009,user,s5m20,changing,CCD,CC,0,0.009
3282,5,s5m20_usuario11,D,['s5m20_usuario14'],D,1,8838.99998665,-0.008,user,s5m20,changing,DDD,DD,0,0.008
3283,5,s5m20_usuario12,D,['s5m20_usuario15'],D,1,7453.00006866,-0.007,user,s5m20,changing,DDD,DD,0,0.007
3284,5,s5m20_usuario13,C,['s5m20_usuario5'],C,3,1676.10001564,0.001,user,s5m20,changing,CCC,CC,1,0.001
3285,5,s5m20_usuario14,D,['s5m20_usuario11'],D,1,4932.29985237,-0.004,user,s5m20,changing,DDD,DD,0,0.004
3286,5,s5m20_usuario15,D,['s5m20_usuario12'],D,1,12950.4001141,-0.012,user,s5m20,changing,CCD,CC,0,0.012
3287,5,s5m20_usuario16,C,['s5m20_usuario1'],C,3,4060.49990654,0.004,user,s5m20,changing,CCC,CC,1,0.004
3288,5,s5m20_usuario17,D,['s5m20_usuario4'],D,1,16125.2999306,-0.016,user,s5m20,changing,DDD,DD,0,0.016
3289,5,s5m20_usuario18,D,['s5m20_usuario7'],C,4,5417.79994965,-0.005,user,s5m20,changing,CCD,CC,0,0.005
3290,6,s5m20_usuario1,D,['s5m20_usuario12'],D,1,2117.70009995,-0.002,user,s5m20,changing,CCD,CC,0,0.002
3291,6,s5m20_usuario2,D,['s5m20_usuario14'],D,1,4585.20007133,-0.004,user,s5m20,changing,CCD,CC,0,0.004
3292,6,s5m20_usuario3,D,['s5m20_usuario7'],C,4,4143.30005646,-0.004,user,s5m20,changing,DDD,DD,0,0.004
3293,6,s5m20_usuario4,D,['s5m20_usuario13'],C,4,1728.69992256,-0.001,user,s5m20,changing,DDD,DD,0,0.001
3294,6,s5m20_usuario5,C,['s5m20_usuario10'],D,0,7021.8000412,0.006,user,s5m20,changing,CCC,CC,1,0.006
3295,6,s5m20_usuario6,D,['s5m20_usuario9'],C,4,16986.699819600002,-0.016,user,s5m20,changing,DCD,DC,0,0.016
3296,6,s5m20_usuario7,C,['s5m20_usuario3'],D,0,4036.60011292,0.004,user,s5m20,changing,CDC,CD,1,0.004
3297,6,s5m20_usuario8,D,['s5m20_usuario11'],C,4,2019.89984512,-0.001,user,s5m20,changing,CDD,CD,0,0.001
3298,6,s5m20_usuario9,C,['s5m20_usuario6'],D,0,6307.00016022,0.006,user,s5m20,changing,CCC,CC,1,0.006
3299,6,s5m20_usuario10,D,['s5m20_usuario5'],C,4,3229.79998589,-0.003,user,s5m20,changing,DDD,DD,0,0.003
3300,6,s5m20_usuario11,C,['s5m20_usuario8'],D,0,1610.80002785,0.001,user,s5m20,changing,DDC,DD,1,0.001
3301,6,s5m20_usuario12,D,['s5m20_usuario1'],D,1,4869.40002441,-0.004,user,s5m20,changing,DDD,DD,0,0.004
3302,6,s5m20_usuario13,C,['s5m20_usuario4'],D,0,1298.10023308,0.001,user,s5m20,changing,CCC,CC,1,0.001
3303,6,s5m20_usuario14,D,['s5m20_usuario2'],D,1,5941.09988213,-0.005,user,s5m20,changing,DDD,DD,0,0.005
3304,6,s5m20_usuario15,D,['s5m20_usuario16'],C,4,12042.2000885,-0.012,user,s5m20,changing,DDD,DD,0,0.012
3305,6,s5m20_usuario16,C,['s5m20_usuario15'],D,0,4545.20010948,0.004,user,s5m20,changing,CCC,CC,1,0.004
3306,6,s5m20_usuario17,D,['s5m20_usuario18'],C,4,15755.600213999998,-0.015,user,s5m20,changing,DDD,DD,0,0.015
3307,6,s5m20_usuario18,C,['s5m20_usuario17'],D,0,4335.8001709,0.004,user,s5m20,changing,DCC,DC,1,0.004
3308,7,s5m20_usuario1,D,['s5m20_usuario10'],D,1,6969.59996223,-0.006,user,s5m20,changing,DDD,DD,0,0.006
3309,7,s5m20_usuario2,C,['s5m20_usuario13'],C,3,1997.99990654,0.001,user,s5m20,changing,DDC,DD,1,0.001
3310,7,s5m20_usuario3,D,['s5m20_usuario5'],D,1,2094.19989586,-0.002,user,s5m20,changing,DCD,DC,0,0.002
3311,7,s5m20_usuario4,C,['s5m20_usuario12'],D,0,1776.69978142,0.001,user,s5m20,changing,DCC,DC,1,0.001
3312,7,s5m20_usuario5,D,['s5m20_usuario3'],D,1,9680.79996109,-0.009,user,s5m20,changing,CDD,CD,0,0.009
3313,7,s5m20_usuario6,C,['s5m20_usuario9'],D,0,13163.8000011,0.013,user,s5m20,changing,DCC,DC,1,0.013
3314,7,s5m20_usuario7,C,['s5m20_usuario16'],D,0,2850.79979897,0.002,user,s5m20,changing,CDC,CD,1,0.002
3315,7,s5m20_usuario8,D,['s5m20_usuario17'],C,4,2286.99994087,-0.002,user,s5m20,changing,DCD,DC,0,0.002
3316,7,s5m20_usuario9,D,['s5m20_usuario6'],C,4,8750.40006638,-0.008,user,s5m20,changing,CDD,CD,0,0.008
3317,7,s5m20_usuario10,D,['s5m20_usuario1'],D,1,6143.899917600001,-0.006,user,s5m20,changing,DCD,DC,0,0.006
3318,7,s5m20_usuario11,D,['s5m20_usuario15'],D,1,2505.10001183,-0.002,user,s5m20,changing,CDD,CD,0,0.002
3319,7,s5m20_usuario12,D,['s5m20_usuario4'],C,4,2176.90014839,-0.002,user,s5m20,changing,DDD,DD,0,0.002
3320,7,s5m20_usuario13,C,['s5m20_usuario2'],C,3,1344.50006485,0.001,user,s5m20,changing,CDC,CD,1,0.001
3321,7,s5m20_usuario14,D,['s5m20_usuario18'],C,4,9642.40002632,-0.009,user,s5m20,changing,DDD,DD,0,0.009
3322,7,s5m20_usuario15,D,['s5m20_usuario11'],D,1,24307.3000908,-0.024,user,s5m20,changing,DCD,DC,0,0.024
3323,7,s5m20_usuario16,D,['s5m20_usuario7'],C,4,3769.99998093,-0.003,user,s5m20,changing,CDD,CD,0,0.003
3324,7,s5m20_usuario17,C,['s5m20_usuario8'],D,0,11701.800108,0.011,user,s5m20,changing,DCC,DC,1,0.011
3325,7,s5m20_usuario18,C,['s5m20_usuario14'],D,0,2554.60000038,0.002,user,s5m20,changing,CDC,CD,1,0.002
3326,8,s5m20_usuario1,C,['s5m20_usuario13'],C,3,2013.70000839,0.001,user,s5m20,changing,DDC,DD,1,0.001
3327,8,s5m20_usuario2,C,['s5m20_usuario14'],D,0,4784.80005264,0.004,user,s5m20,changing,CCC,CC,1,0.004
3328,8,s5m20_usuario3,D,['s5m20_usuario7'],D,1,3088.39988708,-0.003,user,s5m20,changing,DDD,DD,0,0.003
3329,8,s5m20_usuario4,D,['s5m20_usuario9'],D,1,1734.59982872,-0.001,user,s5m20,changing,CDD,CD,0,0.001
3330,8,s5m20_usuario5,C,['s5m20_usuario11'],D,0,24165.3001308,0.024,user,s5m20,changing,DDC,DD,1,0.024
3331,8,s5m20_usuario6,D,['s5m20_usuario8'],D,1,6546.099901199999,-0.006,user,s5m20,changing,CDD,CD,0,0.006
3332,8,s5m20_usuario7,D,['s5m20_usuario3'],D,1,5445.39999962,-0.005,user,s5m20,changing,CDD,CD,0,0.005
3333,8,s5m20_usuario8,D,['s5m20_usuario6'],D,1,1966.09997749,-0.001,user,s5m20,changing,DCD,DC,0,0.001
3334,8,s5m20_usuario9,D,['s5m20_usuario4'],D,1,5257.20000267,-0.005,user,s5m20,changing,DCD,DC,0,0.005
3335,8,s5m20_usuario10,D,['s5m20_usuario15'],D,1,6306.90002441,-0.006,user,s5m20,changing,DDD,DD,0,0.006
3336,8,s5m20_usuario11,D,['s5m20_usuario5'],C,4,4343.10007095,-0.004,user,s5m20,changing,DDD,DD,0,0.004
3337,8,s5m20_usuario12,D,['s5m20_usuario18'],D,1,10923.000097299999,-0.01,user,s5m20,changing,DCD,DC,0,0.01
3338,8,s5m20_usuario13,C,['s5m20_usuario1'],C,3,1193.59993935,0.001,user,s5m20,changing,CCC,CC,1,0.001
3339,8,s5m20_usuario14,D,['s5m20_usuario2'],C,4,4342.00000763,-0.004,user,s5m20,changing,DCD,DC,0,0.004
3340,8,s5m20_usuario15,D,['s5m20_usuario10'],D,1,9372.49994278,-0.009,user,s5m20,changing,DDD,DD,0,0.009
3341,8,s5m20_usuario16,C,['s5m20_usuario17'],C,3,2339.49995041,0.002,user,s5m20,changing,DCC,DC,1,0.002
3342,8,s5m20_usuario17,C,['s5m20_usuario16'],C,3,4856.19997978,0.004,user,s5m20,changing,CDC,CD,1,0.004
3343,8,s5m20_usuario18,D,['s5m20_usuario12'],D,1,4449.39994812,-0.004,user,s5m20,changing,CDD,CD,0,0.004
3344,9,s5m20_usuario1,C,['s5m20_usuario15'],C,3,1992.50006676,0.001,user,s5m20,changing,CCC,CC,1,0.001
3345,9,s5m20_usuario2,D,['s5m20_usuario3'],D,1,4617.70009995,-0.004,user,s5m20,changing,CDD,CD,0,0.004
3346,9,s5m20_usuario3,D,['s5m20_usuario2'],D,1,8174.49998856,-0.008,user,s5m20,changing,DDD,DD,0,0.008
3347,9,s5m20_usuario4,C,['s5m20_usuario12'],D,0,1559.89980698,0.001,user,s5m20,changing,DDC,DD,1,0.001
3348,9,s5m20_usuario5,D,['s5m20_usuario6'],D,1,24982.199907299997,-0.024,user,s5m20,changing,CDD,CD,0,0.024
3349,9,s5m20_usuario6,D,['s5m20_usuario5'],D,1,8153.80001068,-0.008,user,s5m20,changing,DDD,DD,0,0.008
3350,9,s5m20_usuario7,C,['s5m20_usuario17'],C,3,10495.4001904,0.01,user,s5m20,changing,DDC,DD,1,0.01
3351,9,s5m20_usuario8,C,['s5m20_usuario13'],C,3,2501.99985504,0.002,user,s5m20,changing,DDC,DD,1,0.002
3352,9,s5m20_usuario9,C,['s5m20_usuario18'],D,0,7213.79995346,0.007,user,s5m20,changing,DDC,DD,1,0.007
3353,9,s5m20_usuario10,D,['s5m20_usuario11'],C,4,7327.10003853,-0.007,user,s5m20,changing,DDD,DD,0,0.007
3354,9,s5m20_usuario11,C,['s5m20_usuario10'],D,0,10707.3998451,0.01,user,s5m20,changing,DCC,DC,1,0.01
3355,9,s5m20_usuario12,D,['s5m20_usuario4'],C,4,12785.200119,-0.012,user,s5m20,changing,DDD,DD,0,0.012
3356,9,s5m20_usuario13,C,['s5m20_usuario8'],C,3,1241.89996719,0.001,user,s5m20,changing,CCC,CC,1,0.001
3357,9,s5m20_usuario14,D,['s5m20_usuario16'],C,4,5210.8001709,-0.005,user,s5m20,changing,DCD,DC,0,0.005
3358,9,s5m20_usuario15,C,['s5m20_usuario1'],C,3,18992.3000336,0.018,user,s5m20,changing,DDC,DD,1,0.018
3359,9,s5m20_usuario16,C,['s5m20_usuario14'],D,0,1358.5999012,0.001,user,s5m20,changing,CCC,CC,1,0.001
3360,9,s5m20_usuario17,C,['s5m20_usuario7'],C,3,2569.10014153,0.002,user,s5m20,changing,CCC,CC,1,0.002
3361,9,s5m20_usuario18,D,['s5m20_usuario9'],C,4,1985.50009727,-0.001,user,s5m20,changing,DDD,DD,0,0.001
3362,10,s5m20_usuario1,C,['s5m20_usuario15'],C,3,1748.39997292,0.001,user,s5m20,changing,CCC,CC,1,0.001
3363,10,s5m20_usuario2,C,['s5m20_usuario11'],D,0,4653.80001068,0.004,user,s5m20,changing,DDC,DD,1,0.004
3364,10,s5m20_usuario3,C,['s5m20_usuario9'],D,0,5433.09998512,0.005,user,s5m20,changing,DDC,DD,1,0.005
3365,10,s5m20_usuario4,D,['s5m20_usuario13'],C,4,1257.09986687,-0.001,user,s5m20,changing,CDD,CD,0,0.001
3366,10,s5m20_usuario5,C,['s5m20_usuario17'],C,3,5990.00000954,0.005,user,s5m20,changing,DDC,DD,1,0.005
3367,10,s5m20_usuario6,D,['s5m20_usuario8'],C,4,5750.59986115,-0.005,user,s5m20,changing,DDD,DD,0,0.005
3368,10,s5m20_usuario7,C,['s5m20_usuario10'],D,0,2463.59992027,0.002,user,s5m20,changing,CCC,CC,1,0.002
3369,10,s5m20_usuario8,C,['s5m20_usuario6'],D,0,2762.4001503000004,0.002,user,s5m20,changing,CCC,CC,1,0.002
3370,10,s5m20_usuario9,D,['s5m20_usuario3'],C,4,3076.90000534,-0.003,user,s5m20,changing,CDD,CD,0,0.003
3371,10,s5m20_usuario10,D,['s5m20_usuario7'],C,4,4204.49995995,-0.004,user,s5m20,changing,DCD,DC,0,0.004
3372,10,s5m20_usuario11,D,['s5m20_usuario2'],C,4,2005.90014458,-0.001,user,s5m20,changing,CDD,CD,0,0.001
3373,10,s5m20_usuario12,D,['s5m20_usuario18'],D,1,2565.00005722,-0.002,user,s5m20,changing,DCD,DC,0,0.002
3374,10,s5m20_usuario13,C,['s5m20_usuario4'],D,0,972.900152206,0.0,user,s5m20,changing,CCC,CC,1,0.0
3375,10,s5m20_usuario14,D,['s5m20_usuario16'],D,1,3437.59989738,-0.003,user,s5m20,changing,DCD,DC,0,0.003
3376,10,s5m20_usuario15,C,['s5m20_usuario1'],C,3,8720.49999237,0.008,user,s5m20,changing,CCC,CC,1,0.008
3377,10,s5m20_usuario16,D,['s5m20_usuario14'],D,1,2370.99981308,-0.002,user,s5m20,changing,CDD,CD,0,0.002
3378,10,s5m20_usuario17,C,['s5m20_usuario5'],C,3,1914.70003128,0.001,user,s5m20,changing,CCC,CC,1,0.001
3379,10,s5m20_usuario18,D,['s5m20_usuario12'],D,1,3986.20009422,-0.003,user,s5m20,changing,DCD,DC,0,0.003
3380,11,s5m20_usuario1,C,['s5m20_usuario3'],D,0,11711.299896200002,0.011,user,s5m20,changing,CCC,CC,1,0.011
3381,11,s5m20_usuario2,C,['s5m20_usuario11'],D,0,4174.90005493,0.004,user,s5m20,changing,CDC,CD,1,0.004
3382,11,s5m20_usuario3,D,['s5m20_usuario1'],C,4,2383.80002975,-0.002,user,s5m20,changing,CDD,CD,0,0.002
3383,11,s5m20_usuario4,D,['s5m20_usuario14'],D,1,1315.70005417,-0.001,user,s5m20,changing,DCD,DC,0,0.001
3384,11,s5m20_usuario5,C,['s5m20_usuario18'],D,0,3403.19991112,0.003,user,s5m20,changing,CCC,CC,1,0.003
3385,11,s5m20_usuario6,D,['s5m20_usuario7'],C,4,6333.60004425,-0.006,user,s5m20,changing,DCD,DC,0,0.006
3386,11,s5m20_usuario7,C,['s5m20_usuario6'],D,0,2045.70007324,0.002,user,s5m20,changing,CDC,CD,1,0.002
3387,11,s5m20_usuario8,D,['s5m20_usuario10'],D,1,1826.40004158,-0.001,user,s5m20,changing,CDD,CD,0,0.001
3388,11,s5m20_usuario9,D,['s5m20_usuario16'],D,1,4935.40000916,-0.004,user,s5m20,changing,DCD,DC,0,0.004
3389,11,s5m20_usuario10,D,['s5m20_usuario8'],D,1,5880.5000782,-0.005,user,s5m20,changing,DCD,DC,0,0.005
3390,11,s5m20_usuario11,D,['s5m20_usuario2'],C,4,2347.59998322,-0.002,user,s5m20,changing,DCD,DC,0,0.002
3391,11,s5m20_usuario12,D,['s5m20_usuario15'],C,4,13753.200054199999,-0.013,user,s5m20,changing,DDD,DD,0,0.013
3392,11,s5m20_usuario13,C,['s5m20_usuario17'],C,3,1203.29999924,0.001,user,s5m20,changing,CDC,CD,1,0.001
3393,11,s5m20_usuario14,D,['s5m20_usuario4'],D,1,2131.50000572,-0.002,user,s5m20,changing,DDD,DD,0,0.002
3394,11,s5m20_usuario15,C,['s5m20_usuario12'],D,0,6569.19980049,0.006,user,s5m20,changing,CCC,CC,1,0.006
3395,11,s5m20_usuario16,D,['s5m20_usuario9'],D,1,3520.60008049,-0.003,user,s5m20,changing,DDD,DD,0,0.003
3396,11,s5m20_usuario17,C,['s5m20_usuario13'],C,3,3563.30013275,0.003,user,s5m20,changing,CCC,CC,1,0.003
3397,11,s5m20_usuario18,D,['s5m20_usuario5'],C,4,6339.49995041,-0.006,user,s5m20,changing,DDD,DD,0,0.006
3398,12,s5m20_usuario1,D,['s5m20_usuario4'],C,4,9665.40002823,-0.009,user,s5m20,changing,CDD,CD,0,0.009
3399,12,s5m20_usuario2,C,['s5m20_usuario15'],C,3,1445.00017166,0.001,user,s5m20,changing,CDC,CD,1,0.001
3400,12,s5m20_usuario3,D,['s5m20_usuario7'],C,4,3761.80005074,-0.003,user,s5m20,changing,DCD,DC,0,0.003
3401,12,s5m20_usuario4,C,['s5m20_usuario1'],D,0,1984.30013657,0.001,user,s5m20,changing,DDC,DD,1,0.001
3402,12,s5m20_usuario5,D,['s5m20_usuario11'],D,1,9153.19991112,-0.009,user,s5m20,changing,CDD,CD,0,0.009
3403,12,s5m20_usuario6,D,['s5m20_usuario9'],D,1,6000.49996376,-0.005,user,s5m20,changing,DCD,DC,0,0.005
3404,12,s5m20_usuario7,C,['s5m20_usuario3'],D,0,2340.20018578,0.002,user,s5m20,changing,CDC,CD,1,0.002
3405,12,s5m20_usuario8,D,['s5m20_usuario14'],D,1,2396.29983902,-0.002,user,s5m20,changing,DDD,DD,0,0.002
