10019.9999809, D, 145, 1, first, 2, MCC, first, 0.141414141414, 2
2289.99996185, D, 145, 49, D, 2, MCC, user, 0.112903225806, 2
1789.99996185, D, 145, 50, D, 2, MCC, user, 0.0419161676647, 2
4109.9998951, D, 145, 51, D, 2, MCC, user, 0.0374331550802, 2
2450.00004768, D, 145, 52, D, 1, MCC, user, 0.0760869565217, 1
4099.99990463, D, 145, 53, D, 1, MCC, user, 0.0374331550802, 1
2180.00006676, D, 145, 54, D, 1, MCC, user, 0.0510948905109, 1
3120.00012398, D, 145, 55, D, 1, MCC, user, 0.10447761194, 1
830.000162125, D, 145, 56, D, 1, MCC, user, 0.0, 1
1640.0001049, D, 145, 57, D, 2, MCC, user, 0.0853658536585, 2
2009.99999046, D, 145, 58, D, 0, MCC, user, 0.0, 0
8259.99999046, D, 130, 1, first, 3, PD, first, 0.225806451613, 3
5940.00005722, D, 130, 2, D, 5, PD, user, 0.310344827586, 5
4400.00009537, D, 130, 3, D, 3, PD, user, 0.139072847682, 3
13460.0000381, D, 130, 4, D, 4, PD, user, 0.223744292237, 4
12049.9999523, D, 130, 5, D, 2, PD, user, 0.10447761194, 2
8279.99997139, D, 130, 6, D, 2, PD, user, 0.160305343511, 2
17250.0, D, 130, 7, D, 1, PD, user, 0.230769230769, 1
11029.9999714, D, 130, 8, D, 1, PD, user, 0.134615384615, 1
9099.99990463, D, 130, 9, D, 3, PD, user, 0.241379310345, 3
5940.00005722, D, 130, 10, D, 2, PD, user, 0.259259259259, 2
19970.0000286, D, 130, 11, D, 2, PD, user, 0.10447761194, 2
12039.9999619, D, 130, 12, D, 0, PD, user, 0.0, 0
16279.9999714, D, 130, 13, D, 3, PD, user, 0.122807017544, 3
10870.000124, D, 130, 15, D, 2, PD, auto, 0.225806451613, 2
11360.0001335, D, 130, 16, D, 2, PD, user, 0.0, 2
6310.0001812, D, 130, 17, D, 0, PD, user, 0.0, 0
17069.9999332, D, 130, 18, D, 2, PD, user, 0.0909090909091, 2
7539.99996185, D, 130, 19, D, 2, PD, user, 0.139072847682, 2
4779.99997139, D, 130, 20, D, 3, PD, user, 0.157303370787, 3
11039.9999619, D, 130, 21, D, 0, PD, user, 0.0, 0
16750.0, D, 130, 22, D, 0, PD, user, 0.0, 0
14319.9999332, D, 130, 23, D, 2, PD, user, 0.0510948905109, 2
3220.00002861, D, 130, 24, D, 1, PD, user, 0.0, 1
6079.99992371, D, 130, 25, D, 3, PD, user, 0.148936170213, 3
12079.9999237, D, 130, 26, D, 3, PD, user, 0.0972222222222, 3
10750.0, D, 130, 27, D, 1, PD, user, 0.0721649484536, 1
13869.9998856, D, 130, 28, D, 2, PD, user, 0.0551181102362, 2
15370.000124, D, 130, 29, D, 0, PD, user, 0.0, 0
17899.9998569, D, 130, 30, D, 1, PD, user, 0.0, 1
17349.9999046, D, 130, 31, D, 0, PD, user, 0.0, 0
16259.9999905, D, 130, 32, D, 2, PD, user, 0.166666666667, 2
6700.00004768, D, 130, 33, D, 2, PD, user, 0.134615384615, 2
5059.99994278, D, 130, 34, D, 3, PD, user, 0.225806451613, 3
10390.0001049, D, 130, 35, D, 2, PD, user, 0.189189189189, 2
9009.99999046, D, 130, 36, D, 1, PD, user, 0.10447761194, 1
5890.0001049, D, 130, 37, D, 2, PD, user, 0.0551181102362, 2
13759.9999905, D, 130, 38, D, 2, PD, user, 0.166666666667, 2
11100.0001431, D, 130, 39, D, 2, PD, user, 0.0, 2
9750.0, D, 130, 40, D, 2, PD, user, 0.112903225806, 2
11109.9998951, D, 130, 41, D, 3, PD, user, 0.375, 3
11200.0000477, D, 130, 42, D, 2, PD, user, 0.0, 2
22240.0000095, D, 130, 43, D, 2, PD, user, 0.160305343511, 2
7200.00004768, D, 130, 44, D, 1, PD, user, 0.0, 1
13400.0000954, D, 130, 45, D, 1, PD, user, 0.0, 1
7509.99999046, D, 130, 46, D, 2, PD, user, 0.0, 2
4700.00004768, D, 130, 47, D, 1, PD, user, 0.0, 1
9279.99997139, D, 130, 48, D, 2, PD, user, 0.189189189189, 2
14379.999876, D, 130, 49, D, 2, PD, user, 0.134615384615, 2
3569.99993324, D, 130, 50, D, 2, PD, user, 0.0598290598291, 2
4659.99984741, D, 130, 51, D, 2, PD, user, 0.0721649484536, 2
5149.99985695, D, 130, 52, D, 2, PD, user, 0.122807017544, 2
6980.00001907, D, 130, 53, D, 3, PD, user, 0.189189189189, 3
4129.99987602, D, 130, 55, D, 1, PD, auto, 0.21875, 1
5269.99998093, D, 130, 57, D, 3, PD, auto, 0.21875, 3
12230.0000191, D, 130, 58, D, 1, PD, user, 0.0, 1
3580.00016212, D, 86, 1, first, 2, MCC, first, 0.116022099448, 2
6960.00003815, D, 86, 2, D, 3, MCC, user, 0.166666666667, 3
4159.99984741, D, 86, 3, D, 2, MCC, user, 0.0419161676647, 2
2060.0001812, D, 86, 4, D, 3, MCC, user, 0.170731707317, 3
9359.9998951, D, 86, 7, D, 0, MCC, auto, 0.0, 0
3699.99980927, D, 86, 8, D, 1, MCC, user, 0.0, 1
29009.9999905, D, 86, 11, D, 1, MCC, auto, 0.0804597701149, 1
8960.00003815, D, 86, 12, D, 0, MCC, user, 0.0804597701149, 0
8279.99997139, D, 86, 14, C, 3, MCC, auto, 0.0972222222222, 3
5880.00011444, D, 86, 15, D, 2, MCC, user, 0.241379310345, 2
5720.00002861, D, 86, 16, D, 2, MCC, user, 0.0, 2
1579.99992371, D, 86, 17, D, 0, MCC, user, 0.0, 0
2019.99998093, D, 86, 18, D, 1, MCC, user, 0.0551181102362, 1
1420.00007629, D, 86, 19, D, 1, MCC, user, 0.0419161676647, 1
3169.99983788, D, 86, 20, D, 3, MCC, user, 0.2, 3
2279.99997139, D, 86, 21, D, 1, MCC, user, 0.0654205607477, 1
1709.99979973, D, 86, 22, D, 0, MCC, user, 0.0, 0
3600.00014305, D, 86, 23, D, 0, MCC, user, 0.0, 0
3819.99993324, C, 86, 24, D, 0, MCC, user, 0.0, 1
3960.00003815, D, 86, 25, C, 2, MCC, user, 0.0598290598291, 2
1650.00009537, D, 86, 26, D, 3, MCC, user, 0.0909090909091, 3
3580.00016212, D, 86, 27, D, 1, MCC, user, 0.0721649484536, 1
2420.00007629, D, 86, 28, D, 2, MCC, user, 0.047619047619, 2
3080.00016212, D, 86, 29, D, 0, MCC, user, 0.0, 0
3910.00008583, D, 86, 30, D, 0, MCC, user, 0.0, 0
2259.99999046, D, 86, 31, D, 0, MCC, user, 0.0, 0
5580.00016212, D, 86, 32, D, 1, MCC, user, 0.0804597701149, 1
2579.99992371, D, 86, 33, D, 1, MCC, user, 0.0, 1
4769.99998093, D, 86, 34, D, 2, MCC, user, 0.122807017544, 2
3130.00011444, D, 86, 35, D, 0, MCC, user, 0.0, 0
4299.99995232, D, 86, 36, D, 0, MCC, user, 0.0, 0
23650.0000954, D, 86, 39, D, 2, MCC, auto, 0.0598290598291, 2
3740.00000954, D, 86, 42, C, 2, MCC, auto, 0.0, 2
3140.0001049, D, 86, 43, D, 1, MCC, user, 0.10447761194, 1
2440.00005722, D, 86, 44, D, 0, MCC, user, 0.0, 0
2019.99998093, D, 86, 47, D, 1, MCC, auto, 0.0, 1
2079.99992371, D, 86, 48, D, 1, MCC, user, 0.148936170213, 1
4529.99997139, D, 86, 49, D, 2, MCC, user, 0.173553719008, 2
1909.99984741, D, 86, 50, D, 1, MCC, user, 0.10447761194, 1
1720.00002861, D, 86, 51, D, 1, MCC, user, 0.122807017544, 1
6750.0, C, 86, 52, D, 0, MCC, user, 0.0, 1
3529.99997139, D, 86, 54, C, 0, MCC, auto, 0.0, 0
1870.00012398, D, 86, 55, D, 0, MCC, user, 0.0, 0
3200.00004768, D, 86, 56, D, 0, MCC, user, 0.0, 0
2719.99979019, D, 86, 57, D, 2, MCC, user, 0.259259259259, 2
4190.00005722, D, 86, 58, D, 1, MCC, user, 0.0, 1
16549.9999523, D, 22, 1, first, 2, PD, first, 0.047619047619, 2
4940.00005722, D, 22, 2, D, 4, PD, user, 0.282511210762, 4
7029.99997139, D, 22, 3, D, 2, PD, user, 0.116022099448, 2
7909.99984741, D, 22, 4, D, 3, PD, user, 0.189189189189, 3
7659.99984741, D, 22, 5, D, 1, PD, user, 0.0, 1
4339.99991417, D, 22, 6, D, 2, PD, user, 0.276315789474, 2
8920.00007629, D, 22, 7, D, 1, PD, user, 0.112903225806, 1
4930.00006676, D, 22, 8, D, 1, PD, user, 0.0, 1
6170.00007629, D, 22, 9, D, 1, PD, user, 0.0, 1
4769.99998093, D, 22, 10, D, 0, PD, user, 0.0, 0
4809.99994278, D, 22, 11, D, 1, PD, user, 0.122807017544, 1
5519.99998093, D, 22, 12, D, 0, PD, user, 0.122807017544, 0
6259.99999046, D, 22, 13, D, 2, PD, user, 0.173553719008, 2
5840.00015259, D, 22, 14, D, 2, PD, user, 0.0909090909091, 2
2880.00011444, D, 22, 15, D, 2, PD, user, 0.2, 2
8340.00015259, D, 22, 16, D, 0, PD, user, 0.0, 0
4650.00009537, D, 22, 17, D, 0, PD, user, 0.0, 0
5320.00017166, D, 22, 18, D, 1, PD, user, 0.0, 1
5730.00001907, D, 22, 19, D, 3, PD, user, 0.189189189189, 3
5949.99980927, D, 22, 20, D, 3, PD, user, 0.21875, 3
6460.00003815, D, 22, 21, D, 2, PD, user, 0.122807017544, 2
8250.0, D, 22, 22, D, 0, PD, user, 0.0, 0
3000.0, D, 22, 23, D, 1, PD, user, 0.0853658536585, 1
5170.00007629, D, 22, 24, D, 2, PD, user, 0.0, 2
8710.00003815, D, 22, 25, D, 2, PD, user, 0.0, 2
4259.99999046, D, 22, 26, D, 3, PD, user, 0.130434782609, 3
5509.99999046, D, 22, 27, D, 2, PD, user, 0.173553719008, 2
5190.00005722, D, 22, 28, D, 3, PD, user, 0.139072847682, 3
1059.99994278, D, 22, 29, D, 1, PD, user, 0.0721649484536, 1
5250.0, D, 22, 30, D, 0, PD, user, 0.0, 0
6659.99984741, D, 22, 31, D, 0, PD, user, 0.0, 0
6340.00015259, D, 22, 32, D, 1, PD, user, 0.0909090909091, 1
6169.99983788, D, 22, 33, D, 1, PD, user, 0.0, 1
3470.00002861, D, 22, 34, D, 1, PD, user, 0.0, 1
4519.99998093, D, 22, 35, D, 0, PD, user, 0.0, 0
4569.99993324, D, 22, 36, D, 0, PD, user, 0.0, 0
3970.00002861, D, 22, 37, D, 1, PD, user, 0.0721649484536, 1
5579.99992371, D, 22, 38, D, 1, PD, user, 0.10447761194, 1
9049.99995232, D, 22, 39, D, 3, PD, user, 0.112903225806, 3
9909.99984741, D, 22, 40, D, 3, PD, user, 0.21875, 3
3980.00001907, D, 22, 41, D, 3, PD, user, 0.202898550725, 3
5079.99992371, D, 22, 42, D, 1, PD, user, 0.0, 1
3410.00008583, D, 22, 43, D, 0, PD, user, 0.0, 0
4720.00002861, D, 22, 44, D, 0, PD, user, 0.0, 0
3579.99992371, D, 22, 45, D, 0, PD, user, 0.0, 0
2569.99993324, D, 22, 46, D, 0, PD, user, 0.0, 0
4259.99999046, D, 22, 47, D, 0, PD, user, 0.0, 0
3289.99996185, D, 22, 48, D, 0, PD, user, 0.0, 0
3690.00005722, D, 22, 49, D, 2, PD, user, 0.148936170213, 2
5220.00002861, D, 22, 50, D, 2, PD, user, 0.212121212121, 2
4299.99995232, D, 22, 51, D, 2, PD, user, 0.160305343511, 2
2490.00000954, D, 22, 52, D, 1, PD, user, 0.0, 1
3069.99993324, D, 22, 53, D, 3, PD, user, 0.148936170213, 3
5049.99995232, D, 22, 54, D, 1, PD, user, 0.122807017544, 1
4660.00008583, D, 22, 55, D, 0, PD, user, 0.0, 0
4170.00007629, D, 22, 56, D, 0, PD, user, 0.0, 0
3540.00020027, D, 22, 57, D, 1, PD, user, 0.189189189189, 1
3980.00001907, D, 22, 58, D, 3, PD, user, 0.259259259259, 3
6620.00012398, C, 37, 1, first, 0, MCC, first, 0.0, 1
6289.99996185, C, 37, 2, C, 3, MCC, user, 0.306569343066, 4
4199.99980927, C, 37, 3, C, 2, MCC, user, 0.247787610619, 3
6140.0001049, D, 37, 4, C, 2, MCC, user, 0.173553719008, 2
10000.0, D, 37, 5, D, 2, MCC, user, 0.0804597701149, 2
3609.9998951, C, 37, 6, D, 3, MCC, user, 0.358974358974, 4
6440.00005722, C, 37, 7, C, 2, MCC, user, 0.189189189189, 3
10140.0001049, D, 37, 8, C, 2, MCC, user, 0.0804597701149, 2
4329.99992371, D, 37, 9, D, 3, MCC, user, 0.112903225806, 3
8420.00007629, D, 37, 10, D, 2, MCC, user, 0.0, 2
6309.99994278, D, 37, 11, D, 0, MCC, user, 0.0, 0
6190.00005722, D, 37, 12, D, 0, MCC, user, 0.0, 0
8429.99982834, D, 37, 13, D, 1, MCC, user, 0.0, 1
10529.9999714, D, 37, 14, D, 2, MCC, user, 0.0721649484536, 2
2560.0001812, C, 37, 15, D, 3, MCC, user, 0.308176100629, 4
12440.0000572, D, 37, 16, C, 0, MCC, user, 0.0, 0
8189.9998188, D, 37, 17, D, 1, MCC, user, 0.0654205607477, 1
2130.00011444, C, 37, 18, D, 0, MCC, user, 0.0, 1
7250.0, C, 37, 19, C, 2, MCC, user, 0.141414141414, 3
5039.99996185, C, 37, 20, C, 3, MCC, user, 0.308176100629, 4
5019.99998093, C, 37, 21, C, 2, MCC, user, 0.179487179487, 3
4019.99998093, D, 37, 22, C, 1, MCC, user, 0.0909090909091, 1
5840.00015259, C, 37, 23, D, 2, MCC, user, 0.166666666667, 3
4009.99999046, C, 37, 24, C, 0, MCC, user, 0.0, 1
11000.0, D, 37, 25, C, 1, MCC, user, 0.0, 1
3730.00001907, C, 37, 26, D, 2, MCC, user, 0.166666666667, 3
4470.00002861, C, 37, 27, C, 2, MCC, user, 0.244186046512, 3
7430.00006676, C, 37, 28, C, 2, MCC, user, 0.166666666667, 3
7809.99994278, C, 37, 29, C, 1, MCC, user, 0.148936170213, 2
7859.9998951, D, 37, 30, C, 0, MCC, user, 0.0, 0
4119.99988556, D, 37, 31, D, 2, MCC, user, 0.0, 2
8220.00002861, D, 37, 32, D, 2, MCC, user, 0.0, 2
6859.9998951, D, 37, 33, D, 1, MCC, user, 0.0, 1
9030.00020981, D, 37, 34, D, 1, MCC, user, 0.0, 1
4759.99999046, D, 37, 35, D, 0, MCC, user, 0.0, 0
6250.0, D, 37, 36, D, 1, MCC, user, 0.0, 1
5349.99990463, D, 37, 37, D, 1, MCC, user, 0.0909090909091, 1
6669.99983788, D, 37, 38, D, 1, MCC, user, 0.148936170213, 1
7279.99997139, D, 37, 39, D, 3, MCC, user, 0.139072847682, 3
6549.99995232, D, 37, 40, D, 3, MCC, user, 0.237288135593, 3
7019.99998093, C, 37, 41, D, 0, MCC, user, 0.0, 1
9940.00005722, D, 37, 42, C, 1, MCC, user, 0.0598290598291, 1
5269.99998093, D, 37, 43, D, 2, MCC, user, 0.0, 2
3329.99992371, D, 37, 44, D, 0, MCC, user, 0.0, 0
9970.00002861, D, 37, 45, D, 0, MCC, user, 0.0, 0
16269.9999809, D, 37, 46, D, 2, MCC, user, 0.237288135593, 2
5329.99992371, D, 37, 47, D, 1, MCC, user, 0.122807017544, 1
9880.00011444, D, 37, 48, D, 1, MCC, user, 0.189189189189, 1
9320.00017166, C, 37, 49, D, 1, MCC, user, 0.173553719008, 2
8110.00013351, C, 37, 50, C, 3, MCC, user, 0.301075268817, 4
6099.99990463, C, 37, 51, C, 1, MCC, user, 0.122807017544, 2
4200.00004768, D, 37, 52, C, 1, MCC, user, 0.0, 1
11419.9998379, C, 37, 53, D, 1, MCC, user, 0.0804597701149, 2
7440.00005722, D, 37, 54, C, 1, MCC, user, 0.0551181102362, 1
5689.9998188, D, 37, 55, D, 2, MCC, user, 0.207920792079, 2
8960.00003815, D, 37, 56, D, 1, MCC, user, 0.122807017544, 1
4639.99986649, D, 37, 57, D, 1, MCC, user, 0.10447761194, 1
5439.9998188, C, 37, 58, D, 3, MCC, user, 0.344262295082, 4
4549.99995232, D, 61, 1, first, 2, PD, first, 0.148936170213, 2
4980.00001907, D, 61, 2, D, 6, PD, user, 0.583333333333, 6
3520.00021935, D, 61, 3, D, 5, PD, user, 0.473684210526, 5
6519.99998093, D, 61, 4, D, 2, PD, user, 0.173553719008, 2
5289.99996185, D, 61, 5, D, 2, PD, user, 0.166666666667, 2
2019.99998093, D, 61, 6, D, 6, PD, user, 0.550561797753, 6
6350.00014305, D, 61, 7, D, 3, PD, user, 0.166666666667, 3
2369.99988556, D, 61, 8, D, 2, PD, user, 0.112903225806, 2
1940.00005722, D, 61, 9, D, 3, PD, user, 0.166666666667, 3
2009.99999046, D, 61, 10, D, 2, PD, user, 0.0, 2
4209.99979973, D, 61, 11, D, 2, PD, user, 0.259259259259, 2
2199.99980927, D, 61, 12, D, 1, PD, user, 0.0, 1
1960.00003815, D, 61, 13, D, 1, PD, user, 0.0, 1
2380.00011444, D, 61, 14, D, 1, PD, user, 0.0, 1
6759.99999046, D, 61, 15, D, 3, PD, user, 0.2, 3
1769.99998093, D, 61, 16, D, 1, PD, user, 0.134615384615, 1
5430.00006676, D, 61, 17, D, 3, PD, user, 0.276315789474, 3
2410.00008583, D, 61, 18, D, 1, PD, user, 0.0, 1
1609.9998951, D, 61, 19, D, 3, PD, user, 0.162790697674, 3
1740.00000954, D, 61, 20, D, 2, PD, user, 0.21875, 2
2359.9998951, D, 61, 21, D, 3, PD, user, 0.189189189189, 3
1460.00003815, D, 61, 22, D, 2, PD, user, 0.173553719008, 2
1569.99993324, D, 61, 23, D, 3, PD, user, 0.166666666667, 3
1329.99992371, D, 61, 24, D, 2, PD, user, 0.0, 2
1279.99997139, D, 61, 25, D, 2, PD, user, 0.0909090909091, 2
1500.0, D, 61, 26, D, 3, PD, user, 0.148936170213, 3
2039.99996185, D, 61, 27, D, 4, PD, user, 0.326424870466, 4
3410.00008583, D, 61, 28, D, 3, PD, user, 0.237288135593, 3
3310.0001812, D, 61, 29, D, 3, PD, user, 0.241379310345, 3
3490.00000954, D, 61, 30, D, 1, PD, user, 0.0, 1
4250.0, D, 61, 31, D, 2, PD, user, 0.0, 2
1460.00003815, D, 61, 32, D, 2, PD, user, 0.0, 2
1589.99991417, D, 61, 33, D, 0, PD, user, 0.0, 0
2559.99994278, D, 61, 34, D, 0, PD, user, 0.0, 0
2720.00002861, D, 61, 35, D, 0, PD, user, 0.0, 0
1509.99999046, D, 61, 36, D, 1, PD, user, 0.0, 1
4669.99983788, D, 61, 37, D, 1, PD, user, 0.0, 1
8090.00015259, D, 61, 38, D, 3, PD, user, 0.37984496124, 3
3710.00003815, D, 61, 39, D, 3, PD, user, 0.177215189873, 3
1940.00005722, D, 61, 40, D, 2, PD, user, 0.173553719008, 2
1960.00003815, D, 61, 41, D, 2, PD, user, 0.0598290598291, 2
2319.99993324, D, 61, 42, D, 3, PD, user, 0.276315789474, 3
1600.00014305, D, 61, 43, D, 2, PD, user, 0.0, 2
950.000047684, D, 61, 44, D, 0, PD, user, 0.0, 0
1439.9998188, D, 61, 45, D, 1, PD, user, 0.122807017544, 1
1180.00006676, D, 61, 46, D, 4, PD, user, 0.411764705882, 4
2269.99998093, D, 61, 47, D, 2, PD, user, 0.230769230769, 2
2080.00016212, D, 61, 48, D, 3, PD, user, 0.375, 3
1709.99979973, D, 61, 49, D, 1, PD, user, 0.0721649484536, 1
1310.0001812, D, 61, 50, D, 4, PD, user, 0.259259259259, 4
1410.00008583, D, 61, 51, D, 2, PD, user, 0.0804597701149, 2
1490.00000954, D, 61, 52, D, 1, PD, user, 0.0, 1
1380.00011444, D, 61, 53, D, 3, PD, user, 0.112903225806, 3
2150.00009537, D, 61, 54, D, 3, PD, user, 0.259259259259, 3
1359.9998951, D, 61, 55, D, 4, PD, user, 0.411764705882, 4
1890.0001049, D, 61, 56, D, 2, PD, user, 0.189189189189, 2
2069.99993324, D, 61, 57, D, 2, PD, user, 0.207920792079, 2
6680.00006676, D, 61, 58, D, 7, PD, user, 0.608695652174, 7
3569.99993324, D, 98, 1, first, 3, MCC, first, 0.388888888889, 3
2000.0, C, 98, 2, D, 5, MCC, user, 0.583333333333, 6
3690.00005722, C, 98, 3, C, 5, MCC, user, 0.623287671233, 6
1410.00008583, D, 98, 4, C, 3, MCC, user, 0.435028248588, 3
1950.00004768, C, 98, 5, D, 3, MCC, user, 0.429824561404, 4
2800.00019073, C, 98, 6, C, 5, MCC, user, 0.557522123894, 6
2549.99995232, D, 98, 7, C, 3, MCC, user, 0.177215189873, 3
1909.99984741, C, 98, 8, D, 1, MCC, user, 0.0804597701149, 2
3259.99999046, C, 98, 9, C, 2, MCC, user, 0.141414141414, 3
1720.00002861, D, 98, 10, C, 3, MCC, user, 0.112903225806, 3
3049.99995232, C, 98, 11, D, 2, MCC, user, 0.244186046512, 3
4029.99997139, C, 98, 12, C, 0, MCC, user, 0.0, 1
3129.99987602, D, 98, 13, C, 2, MCC, user, 0.0, 2
2809.99994278, D, 98, 14, D, 1, MCC, user, 0.0, 1
2890.0001049, D, 98, 15, D, 3, MCC, user, 0.173553719008, 3
4500.0, C, 98, 16, D, 2, MCC, user, 0.259259259259, 3
4420.00007629, C, 98, 17, C, 3, MCC, user, 0.301075268817, 4
2940.00005722, D, 98, 18, C, 2, MCC, user, 0.134615384615, 2
2690.00005722, C, 98, 19, D, 2, MCC, user, 0.198113207547, 3
3990.00000954, D, 98, 20, C, 1, MCC, user, 0.122807017544, 1
3409.99984741, D, 98, 21, D, 3, MCC, user, 0.202898550725, 3
3970.00002861, C, 98, 22, D, 2, MCC, user, 0.21875, 3
4600.00014305, D, 98, 23, C, 3, MCC, user, 0.10447761194, 3
5700.00004768, C, 98, 24, D, 0, MCC, user, 0.0, 1
4960.00003815, D, 98, 25, C, 2, MCC, user, 0.148936170213, 2
5340.00015259, D, 98, 26, D, 2, MCC, user, 0.0654205607477, 2
5139.99986649, C, 98, 27, D, 3, MCC, user, 0.310344827586, 4
4009.99999046, D, 98, 28, C, 1, MCC, user, 0.0909090909091, 1
3450.00004768, D, 98, 29, D, 3, MCC, user, 0.318181818182, 3
4440.00005722, D, 98, 30, D, 1, MCC, user, 0.0, 1
3720.00002861, D, 98, 31, D, 2, MCC, user, 0.0, 2
4289.99996185, D, 98, 32, D, 2, MCC, user, 0.0, 2
3480.00001907, D, 98, 33, D, 2, MCC, user, 0.189189189189, 2
4900.00009537, D, 98, 34, D, 0, MCC, user, 0.189189189189, 0
3190.00005722, D, 98, 35, D, 1, MCC, user, 0.0, 1
3919.99983788, D, 98, 36, D, 1, MCC, user, 0.0, 1
3710.00003815, D, 98, 37, D, 2, MCC, user, 0.0, 2
4089.99991417, C, 98, 38, D, 3, MCC, user, 0.33734939759, 4
5150.00009537, C, 98, 39, C, 2, MCC, user, 0.189189189189, 3
3119.99988556, D, 98, 40, C, 2, MCC, user, 0.0721649484536, 2
5610.00013351, C, 98, 41, D, 1, MCC, user, 0.148936170213, 2
7120.00012398, C, 98, 42, C, 3, MCC, user, 0.259259259259, 4
3079.99992371, D, 98, 43, C, 3, MCC, user, 0.112903225806, 3
4319.99993324, D, 98, 44, D, 0, MCC, user, 0.0, 0
3230.00001907, D, 98, 45, D, 2, MCC, user, 0.112903225806, 2
4279.99997139, C, 98, 46, D, 4, MCC, user, 0.431279620853, 5
3769.99998093, D, 98, 47, C, 3, MCC, user, 0.28, 3
4049.99995232, C, 98, 48, D, 2, MCC, user, 0.295774647887, 3
4730.00001907, D, 98, 49, C, 1, MCC, user, 0.0, 1
8210.00003815, D, 98, 50, D, 3, MCC, user, 0.21875, 3
2619.99988556, C, 98, 51, D, 1, MCC, user, 0.0804597701149, 2
6220.00002861, D, 98, 52, C, 2, MCC, user, 0.0, 2
4130.00011444, D, 98, 53, D, 2, MCC, user, 0.0654205607477, 2
3579.99992371, C, 98, 54, D, 3, MCC, user, 0.354838709677, 4
4759.99999046, C, 98, 55, C, 4, MCC, user, 0.45652173913, 5
3659.99984741, C, 98, 56, C, 2, MCC, user, 0.21875, 3
5029.99997139, D, 98, 57, C, 3, MCC, user, 0.237288135593, 3
4049.99995232, C, 98, 58, D, 4, MCC, user, 0.411764705882, 5
6380.00011444, C, 55, 1, first, 3, MCC, first, 0.393939393939, 4
