round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario2 C ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 5 -22513.9000416 6602 user
4 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 4 -18415.6999588 8031 user
4 usuario7 D ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 9 -19.4997787476 27634 user
4 usuario1 D ['usuario16', 'usuario10', 'usuario4', 'usuario7'] D 9 -22530.2000046 4942 user
4 usuario3 C ['usuario10', 'usuario12', 'usuario2', 'usuario4'] C 10 -4133.20016861 22644 user
4 usuario12 D ['usuario9', 'usuario13', 'usuario6', 'usuario3'] C 19 -24582.0999146 2403 user
4 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] D 5 -25604.3000221 910 user
4 usuario4 C ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 10 -22610.3000641 4360 user
5 usuario2 D ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 14 -23530.299902 6231 user
5 usuario6 C ['usuario12', 'usuario5', 'usuario11', 'usuario2'] D 5 -20.4999446869 29886 user
5 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] C 14 -27657.8998566 1556 user
5 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 9 -23559.7000122 6661 user
5 usuario14 C ['usuario2', 'usuario11', 'usuario10', 'usuario16'] C 10 -23604.3999195 6226 user
5 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] C 10 -8224.99990463 21075 user
5 usuario8 D ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 14 -25618.9000607 4526 user
5 usuario16 C ['usuario15', 'usuario14', 'usuario1', 'usuario8'] D 5 -25611.8998528 4318 user
5 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] D 9 -21522.7000713 8525 user
5 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 9 -23571.3999271 6534 user
5 usuario7 D ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 9 -13330.4998875 16654 user
5 usuario1 D ['usuario16', 'usuario10', 'usuario4', 'usuario7'] D 9 -4121.50001526 25446 user
5 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] D 4 -22574.2998123 7952 user
5 usuario12 D ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 14 -26669.3000793 3126 user
5 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] D 0 -26653.1000137 3919 user
5 usuario4 D ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 9 -24682.6000214 5033 user
6 usuario2 D ['usuario3', 'usuario6', 'usuario14', 'usuario15'] C 19 -22520.2999115 4857 user
6 usuario6 C ['usuario12', 'usuario5', 'usuario11', 'usuario2'] D 5 -12314.2001629 14557 user
6 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] C 19 -25717.4999714 1582 user
6 usuario15 C ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 0 -21508.8000298 4790 user
6 usuario14 C ['usuario2', 'usuario11', 'usuario10', 'usuario16'] D 5 -4135.40005684 22500 user
6 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] C 10 -23567.800045 3842 user
6 usuario8 D ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 9 -24574.0001202 2238 user
6 usuario16 D ['usuario15', 'usuario14', 'usuario1', 'usuario8'] D 19 -11286.7000103 15893 user
6 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] C 14 -25636.6999149 2022 user
6 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 9 -16374.5999336 10265 user
6 usuario7 D ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 14 -17463.4001255 9335 user
6 usuario1 C ['usuario16', 'usuario10', 'usuario4', 'usuario7'] D 0 -13338.2000923 13927 user
6 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] D 4 -27.3001194 26531 user
6 usuario12 D ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 14 -23543.7998772 4005 user
6 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] D 0 -22511.6999149 4479 user
6 usuario4 D ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 19 -21508.3999634 5583 user
7 usuario2 D ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 9 -19455.6000233 8943 user
7 usuario6 C ['usuario12', 'usuario5', 'usuario11', 'usuario2'] D 5 29990.4999733 29964 user
7 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] C 14 -24668.4999466 4307 user
7 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 4 -25646.1000443 3461 user
7 usuario14 D ['usuario2', 'usuario11', 'usuario10', 'usuario16'] D 9 -22563.8999939 7030 user
7 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] D 5 -27696.0000992 1744 user
7 usuario8 D ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 9 -15380.7001114 14530 user
7 usuario16 D ['usuario15', 'usuario14', 'usuario1', 'usuario8'] D 9 -13352.4000645 15485 user
7 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] C 9 -26661.7000103 2069 user
7 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 9 -27646.999836 2214 user
7 usuario7 D ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 14 -13346.4999199 15916 user
7 usuario1 C ['usuario16', 'usuario10', 'usuario4', 'usuario7'] D 0 -27633.0001354 1189 user
7 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] D 4 -15430.0000668 13700 user
7 usuario12 D ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 14 -25616.8000698 2953 user
7 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] D 0 -27743.7000275 1049 user
7 usuario4 D ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 14 -21551.2998104 7512 user
8 usuario2 C ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 0 -19431.7998886 8847 user
8 usuario6 D ['usuario12', 'usuario5', 'usuario11', 'usuario2'] C 14 -7188.80009651 21235 user
8 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] D 9 -26625.9000301 1686 user
8 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 9 -24584.3000412 3497 user
8 usuario14 D ['usuario2', 'usuario11', 'usuario10', 'usuario16'] D 14 -8228.00016403 20054 user
8 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] D 0 -25623.8000393 2144 user
8 usuario8 D ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 9 -16400.2997875 10879 user
8 usuario16 D ['usuario15', 'usuario14', 'usuario1', 'usuario8'] D 4 -18475.2001762 9090 user
8 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] D 4 -25663.6998653 1795 user
8 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 9 -26594.2001343 1459 user
8 usuario7 D ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 9 -27.3001194 28093 user
8 usuario1 D ['usuario16', 'usuario10', 'usuario4', 'usuario7'] D 4 -20470.2999592 7751 user
8 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] D 9 -1073.30012321 26819 user
8 usuario12 D ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 9 -26624.3000031 1841 user
8 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] D 0 -26630.699873 1701 user
8 usuario4 D ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 9 -22581.5000534 6043 user
9 usuario2 D ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 14 -7193.40014458 3826 user
9 usuario6 D ['usuario12', 'usuario5', 'usuario11', 'usuario2'] D 9 -19.2999839783 11263 user
9 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] D 9 -9242.19989777 1693 user
9 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 9 -5155.40003777 5810 user
9 usuario14 C ['usuario2', 'usuario11', 'usuario10', 'usuario16'] C 10 -5150.09999275 4950 user
9 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] C 5 -8234.20000076 2824 user
9 usuario8 D ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 14 -9254.60004807 1942 user
9 usuario16 C ['usuario15', 'usuario14', 'usuario1', 'usuario8'] D 5 -27.6000499725 11501 user
9 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] D 14 -10293.9999104 1142 user
9 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 9 -6170.1002121 4087 user
9 usuario7 D ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 9 -5155.69996834 5266 user
9 usuario1 D ['usuario16', 'usuario10', 'usuario4', 'usuario7'] D 9 -1048.19989204 9981 user
9 usuario3 C ['usuario10', 'usuario12', 'usuario2', 'usuario4'] D 0 -7203.799963 4187 user
9 usuario12 D ['usuario9', 'usuario13', 'usuario6', 'usuario3'] C 14 -6181.20002747 4305 user
9 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] D 0 -9239.0999794 1265 user
9 usuario4 D ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 14 -6194.29993629 4088 user
10 usuario2 D ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 14 -22495.000124 2756 user
10 usuario6 C ['usuario12', 'usuario5', 'usuario11', 'usuario2'] D 5 -19470.3998566 5404 user
10 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] C 14 -22560.8999729 2614 user
10 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 9 -22529.6001434 2349 user
10 usuario14 C ['usuario2', 'usuario11', 'usuario10', 'usuario16'] D 5 -15384.2999935 10345 user
10 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] C 10 -22550.6000519 2058 user
10 usuario8 D ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 14 -20485.2001667 4493 user
10 usuario16 D ['usuario15', 'usuario14', 'usuario1', 'usuario8'] D 14 -19458.2002163 5183 user
10 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] C 14 -23580.4998875 1676 user
10 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 14 -23545.4001427 1399 user
10 usuario7 C ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 10 -20.9000110626 25089 user
10 usuario1 C ['usuario16', 'usuario10', 'usuario4', 'usuario7'] C 10 -8190.39988518 16362 user
10 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] C 9 -15368.4999943 9540 user
10 usuario12 D ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 14 -23559.6001148 2005 user
10 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] D 10 -23569.7000027 1308 user
10 usuario4 C ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 10 -22543.3998108 2717 user
11 usuario2 C ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 10 -42975.2998352 2858 user
11 usuario6 C ['usuario12', 'usuario5', 'usuario11', 'usuario2'] C 10 -25.3999233246 46101 user
11 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] C 14 -45040.899992 760 user
11 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 14 -44045.5999374 1815 user
11 usuario14 C ['usuario2', 'usuario11', 'usuario10', 'usuario16'] D 10 -42992.5000668 2689 user
11 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] C 10 -45044.3000793 1512 user
11 usuario8 D ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 14 -43031.9001675 3346 user
11 usuario16 D ['usuario15', 'usuario14', 'usuario1', 'usuario8'] D 9 -37878.9999485 8028 user
11 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] D 9 -45078.1998634 1041 user
11 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 14 -40894.3998814 5493 user
11 usuario7 C ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 5 -23587.5000954 22313 user
11 usuario1 D ['usuario16', 'usuario10', 'usuario4', 'usuario7'] C 14 -39907.3998928 6773 user
11 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] C 14 -35827.7997971 9730 user
11 usuario12 D ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 14 -44031.6998959 1571 user
11 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] D 10 -45049.5998859 1548 user
11 usuario4 C ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 5 -44022.0999718 1727 user
12 usuario2 D ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 14 -21500.4999638 2323 user
12 usuario6 C ['usuario12', 'usuario5', 'usuario11', 'usuario2'] D 5 -6234.60006714 18016 user
12 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] C 14 -20517.7998543 3089 user
12 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 9 -21529.1998386 2672 user
12 usuario14 C ['usuario2', 'usuario11', 'usuario10', 'usuario16'] C 15 -21500.5998611 2739 user
12 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] C 10 -21518.599987 1588 user
12 usuario8 D ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 19 -20506.2000751 3666 user
12 usuario16 C ['usuario15', 'usuario14', 'usuario1', 'usuario8'] D 5 -20483.700037 3329 user
12 usuario10 C ['usuario14', 'usuario9', 'usuario3', 'usuario1'] D 5 -18467.1998024 5487 user
12 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] C 19 -22503.9000511 1495 user
12 usuario7 C ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 5 -22.9001045227 24256 user
12 usuario1 D ['usuario16', 'usuario10', 'usuario4', 'usuario7'] C 19 -9228.59978676 14657 user
12 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] D 9 -7203.799963 17710 user
12 usuario12 D ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 14 -22591.0000801 1777 user
12 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] D 5 -22527.1999836 1611 user
12 usuario4 D ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 9 -19477.699995 4981 user
13 usuario2 D ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 14 -28679.3000698 3416 user
13 usuario6 C ['usuario12', 'usuario5', 'usuario11', 'usuario2'] D 5 -23.1001377106 31642 user
13 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] C 19 -29714.400053 2495 user
13 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 4 -29700.9000778 2101 user
13 usuario14 C ['usuario2', 'usuario11', 'usuario10', 'usuario16'] D 5 -29711.5998268 2031 user
13 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] C 20 -29692.6999092 2299 user
13 usuario8 C ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 10 -21526.4999866 9842 user
13 usuario16 D ['usuario15', 'usuario14', 'usuario1', 'usuario8'] C 14 -29693.4998035 2773 user
13 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] D 14 -29722.3000526 2107 user
13 usuario9 C ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 10 -27632.6999664 3957 user
13 usuario7 C ['usuario8', 'usuario1', 'usuario13', 'usuario9'] C 15 -22586.1999989 9220 user
13 usuario1 D ['usuario16', 'usuario10', 'usuario4', 'usuario7'] C 9 -21567.1000481 10534 user
13 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] D 4 -28672.8999615 3196 user
13 usuario12 D ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 19 -29702.4998665 1938 user
13 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] D 5 -28676.3000488 3493 user
13 usuario4 D ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 9 -28730.4999828 2748 user
14 usuario2 D ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 14 -28683.0000877 1839 user
14 usuario6 C ['usuario12', 'usuario5', 'usuario11', 'usuario2'] D 10 -21524.1999626 8795 user
14 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] C 14 -29720.8001614 753 user
14 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 9 -28683.3999157 1709 user
14 usuario14 C ['usuario2', 'usuario11', 'usuario10', 'usuario16'] C 10 -26617.4001694 3839 user
14 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] C 10 -28685.2998734 2199 user
14 usuario8 D ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 14 -27653.8999081 2449 user
14 usuario16 C ['usuario15', 'usuario14', 'usuario1', 'usuario8'] D 10 -27645.6000805 2249 user
14 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] C 14 -27787.0001793 1686 user
14 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 14 -29691.2000179 1049 user
14 usuario7 D ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 14 -19.9000835419 30143 user
14 usuario1 C ['usuario16', 'usuario10', 'usuario4', 'usuario7'] D 5 -23561.3000393 6232 user
14 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] D 9 -25609.2000008 4139 user
14 usuario12 C ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 10 -22551.199913 7337 user
14 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] C 5 -27653.9001465 1737 user
14 usuario4 D ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 14 -28757.1001053 2156 user
15 usuario2 D ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 9 -13313.8999939 1530 user
15 usuario6 D ['usuario12', 'usuario5', 'usuario11', 'usuario2'] D 14 -10251.8999577 4505 user
15 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] D 14 -12322.9000568 1874 user
15 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 9 -12326.4000416 3286 user
15 usuario14 C ['usuario2', 'usuario11', 'usuario10', 'usuario16'] D 5 -12299.200058 2438 user
15 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] C 10 -13345.7000256 1441 user
15 usuario8 C ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 5 -4138.09990883 10825 user
15 usuario16 D ['usuario15', 'usuario14', 'usuario1', 'usuario8'] C 19 -12382.600069 2390 user
15 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] C 14 -13341.7999744 2409 user
15 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 14 -13307.6000214 1263 user
15 usuario7 D ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 19 -20.4999446869 14615 user
15 usuario1 C ['usuario16', 'usuario10', 'usuario4', 'usuario7'] D 5 -5138.89980316 10107 user
15 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] C 14 -13332.4000835 1117 user
15 usuario12 C ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 5 -11289.2999649 3917 user
15 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] C 10 -13325.9999752 1798 user
15 usuario4 C ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 10 -11301.500082 3293 user
16 usuario2 C ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 5 -12304.1000366 2465 user
16 usuario6 D ['usuario12', 'usuario5', 'usuario11', 'usuario2'] C 19 -19.700050354 15095 user
16 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] D 9 -14436.7001057 800 user
16 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 19 -12423.899889 1813 user
16 usuario14 C ['usuario2', 'usuario11', 'usuario10', 'usuario16'] C 15 -12308.3000183 2393 user
16 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] C 5 -12336.8999958 2070 user
16 usuario8 D ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 14 -11290.6999588 3998 user
16 usuario16 C ['usuario15', 'usuario14', 'usuario1', 'usuario8'] D 5 -13400.7999897 1915 user
16 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] D 9 -12313.1000996 1893 user
16 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 14 -14342.099905 958 user
16 usuario7 D ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 9 -7275.00009537 7979 user
16 usuario1 D ['usuario16', 'usuario10', 'usuario4', 'usuario7'] D 14 -12304.8000336 2528 user
16 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] C 19 -4125.80013275 11139 user
16 usuario12 C ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 5 -10270.7998753 4939 user
16 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] C 10 -13311.3000393 1445 user
16 usuario4 C ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 5 -13354.7999859 1869 user
17 usuario2 D ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 14 -19450.5999088 1755 user
