,userid,a,v,t,z,a_st0,v_st0,t_st0,z_st0,a0,v0,t0,z0,a_st10,v_st10,t_st10,z_st10,a10,v10,t10,z10,a_st20,v_st20,t_st20,z_st20,a20,v20,t20,z20,a_st30,v_st30,t_st30,z_st30,a30,v30,t30,z30,a_st40,v_st40,t_st40,z_st40,a40,v40,t40,z40,a_st50,v_st50,t_st50,z_st50,a50,v50,t50,z50,s2,s1
563,45,5.588622198416918,-0.40118050639824177,0.7404783924079786,0.5633392012231813,0.7212181102536344,0.12975281134397446,0.24931287482209638,0.08541170684973975,5.504316464451586,-0.2109745018823217,0.49178972599580295,0.5493038076727348,0.6234698738937928,0.15877428762090287,0.26506573277479684,0.08588588446648178,4.7273415437469755,-0.24824632024706147,0.5168781780078695,0.5369945012415052,0.8436653460190733,0.1980216194049699,0.25933516554093483,0.08675096429117703,5.17150022748179,-0.5825515498316516,0.5226236771020729,0.5794680139516034,0.7067081582197885,0.13841374893250014,0.24346889653687642,0.08612627648381473,5.506148711343585,-0.23848808983541234,0.48743005678960194,0.5791269467826293,0.6899769627679867,0.19027291230478466,0.3001219079542822,0.08797792321249864,4.656069873690212,-0.45451709448518196,0.5649103048231076,0.5742635409345819,0.7209718774413829,0.1775182089190637,0.2213283119399958,0.08722640793759172,4.818216109014317,-0.45037530487195454,0.4701776263920939,0.5172043439669584,-760.0,-42
621,40,6.532411373074875,0.9563384007110654,0.8594944370527844,0.3403246382282935,0.9941943161065813,0.2297486389265938,0.2870341068770536,0.08454764049430345,5.581283855530408,0.7342108868830786,0.5657598095599811,0.3712658792349684,0.935657307526346,0.2322243510658456,0.2835972858401028,0.08596147115778391,5.237897965360755,0.7287954553692954,0.5591078426733369,0.39078231777860567,1.0028477543146221,0.23498821480421547,0.2964583255991458,0.08566708627713887,5.522337043117464,0.7321746569114629,0.5669487352976642,0.37764974235388604,0.8107805774471543,0.2089571802279641,0.28408518379962255,0.08573275551541892,5.029844770164708,0.665415671559157,0.5504487595863037,0.4124542844627005,0.8269304819622104,0.2055358836918734,0.27575749494085633,0.08711770306595402,5.050954906001083,0.6392845541640481,0.543961446926877,0.41618638945127673,0.9483911428827999,0.2061499637752959,0.26468784081065616,0.08754113299925585,5.523232801631499,0.5909535777588795,0.5179610221613757,0.3960876871245123,991.0,56
679,161,5.239668197089034,-0.7736816101411701,0.444657877134955,0.4723708182737593,0.7711488751145017,0.20698723538374067,0.2705569421419961,0.08757932365322979,4.6784606245266,-0.6002379645179869,0.5399387349602918,0.5472215202036886,0.7181096965693142,0.21883870091806978,0.22502568159414074,0.08921712013491323,4.402747931457603,-0.6098328814305416,0.4941260889581943,0.5334320175284717,0.8125463068692381,0.2718883791813974,0.2756071047904419,0.08998238749859919,4.4402844745911185,-0.8288301440581436,0.5914234468130344,0.5838803313911034,0.6219808196455356,0.23000505547258193,0.15860513172154597,0.08983604881746043,3.8143031885292746,-0.6158690281154434,0.40850396531093747,0.4651879594791706,0.9540904430458287,0.579190747875324,0.28896866433678503,0.10865177843154991,2.9875989839535584,-1.7855641988719557,1.0059350781372394,0.5523973022984018,0.7842380518317941,0.2604672122717024,0.25653902100525566,0.09017076799168784,4.261845392060112,-0.7586442946421434,0.549459511092788,0.5665488865086388,-920.0,-58
737,52,4.167750687068189,-0.07124710590474304,1.2280539501553982,0.5394497276303806,0.5331333774211284,0.16567666259133912,0.2725674848752068,0.0858082787782041,4.273611397750539,-0.038521565989317136,0.5438070551289776,0.4998473668217324,0.6192666543092004,0.13761827132655802,0.24434604814653477,0.08517404445235358,4.998371145876052,-0.12429910162684181,0.4869742956062997,0.5228670630509927,0.563061614233914,0.16001445695507024,0.2592671440860693,0.08885077836564251,4.428050371435,-0.12809750450604104,0.515274306675596,0.49355572848749507,0.5079190499262272,0.19949487445612893,0.3074212584849831,0.09002512960570501,3.764188995488098,0.19479227168683422,0.61187675009019,0.4853018509892433,0.496363194674391,0.19093804335658696,0.3038345631458891,0.08640299699054543,3.7479885258720476,0.05147737521043147,0.5959978910629639,0.5083006173447422,0.5509536318235411,0.16391859483710677,0.23948993329663815,0.08546263883287648,4.428463810075735,-0.19157833348139292,0.48210511515165533,0.5055377068348376,664.0,-4
795,66,6.861201605866545,-0.17360923667235537,0.870756220205474,0.5487599547953557,0.6329276842311524,0.12251492921248335,0.24182025463227957,0.08740153686024717,5.484329145458573,-0.024573863315121416,0.478521786952858,0.4947329595537764,0.6582466292665315,0.11343105585921504,0.23306796832770627,0.0849682278328492,5.652062115737531,-0.023200597731763372,0.4693368343739305,0.4917886366789347,0.6427557234957014,0.13996763831074172,0.23245930226021938,0.09219986675648045,5.075446215068099,-0.04730290530365029,0.4684099533944463,0.5140287392157278,0.9092077892378357,0.1279051973086089,0.22553492962821753,0.08463048292179891,6.555601538900565,-0.3691077022482322,0.46153507832685514,0.5825993398928265,0.6991620166996559,0.09828122328288502,0.22177587664739007,0.08622534426084544,6.295832522188146,-0.025609757634330804,0.44199994054041014,0.5076901894628867,0.9099993225414358,0.11831923567997098,0.23083507891891394,0.0872586772284128,6.7491177194408385,-0.3094816669716616,0.4488939734516087,0.5682633452782698,276.0,-24
851,14,5.0184615336539995,-0.5187191538613096,0.8958875039762052,0.4770029931620808,0.6484285739504951,0.13938757329986604,0.23743355257248525,0.08557938531728551,5.144695923468411,-0.2879725046005743,0.4755646270843849,0.5148809680450658,0.659819704311798,0.1835143191752587,0.2712302305518204,0.0838741501046872,4.5996235776003065,-0.43642188690209155,0.5367662259558266,0.5715241740904385,0.7361213896905533,0.15869829026718063,0.23289489366055624,0.08569059390137743,5.09736106590283,-0.44473777867390996,0.4755054716656235,0.5212874473912918,0.6135735929591196,0.21528003067187984,0.30847916577956797,0.08656187962850463,3.9690664407546765,-0.5176826634871112,0.6193003849489211,0.5475953343475023,0.778423404904248,0.27214451129291356,0.2978117547999421,0.09021102177880239,4.24304542654678,-0.8407519877333907,0.6280760623050526,0.5700407492789523,0.7614172722602269,0.2973344813551573,0.2742412263658503,0.09221000698821993,3.9439904262542584,-0.8531324538766027,0.5981785396552304,0.5553108383483001,-208.0,-52
909,68,3.80888976580403,-0.33871129156226015,1.671320441847973,0.5227458181970399,0.5827828172115883,0.1587575089667383,0.2630834952625622,0.08629906091838595,4.603099392934541,-0.16582881942152278,0.5262698416787711,0.5453992885490335,0.5899291637921285,0.1977033955645453,0.3247266663633379,0.08731624638971876,4.098668334110565,-0.3239008052794101,0.5965668200391049,0.5434665001685912,0.6348870498756387,0.1680780788037312,0.24906263059477052,0.08703162109383539,4.660131889766523,-0.375084093097939,0.5100028201461748,0.5429248733933966,0.5457307670411881,0.21807837610218703,0.36483440196852374,0.08829394723034666,3.7362862511344064,-0.24421379028290716,0.6606573211888336,0.553512637851873,0.6262072116691364,0.22014204068869858,0.29888377355490975,0.08472030327485648,4.120824150249193,-0.5231711581994684,0.5952868038219723,0.5712409945585367,0.6388541168367761,0.24596086379222784,0.31457494369214273,0.0891015036137274,3.8805468520010473,-0.5410112567549202,0.6221653099377281,0.564717554320124,152.0,-30
967,56,3.864227089691681,-0.42351444654174564,1.4286153553902465,0.5055949409346422,0.5729999645939735,0.15608722818269208,0.262161335230617,0.08500570180801793,4.542596542699844,-0.14872272402157477,0.5195608682719282,0.5270630900125878,0.6478472439732917,0.18792384466370118,0.286893053780985,0.08703329067555068,4.456709821793407,-0.4293559584137197,0.5530700685273324,0.5507142850577361,0.5494670768634057,0.195016226263081,0.300899217611476,0.08723239137525854,3.9352558375904696,-0.3160471526141107,0.5900011135052498,0.534117850595185,0.6429248197218503,0.2344733174466566,0.2940797577112762,0.08903929310476999,4.043127032517263,-0.553208495524218,0.6078403713187055,0.5667172414691075,0.9341295078027264,0.31040131734127974,0.3395366348099612,0.08863549747552808,4.777075241669349,-0.9564745659235583,0.6688253884035472,0.6201805696009849,0.5217992792886343,0.22230682902554652,0.3052160969753518,0.0916186299971068,3.6171349358673646,-0.26242735013734175,0.6007242108354491,0.4952981769898853,-8.0,-38
1025,59,3.872647972715473,-0.031853864231036436,2.0955733749258205,0.42723742857385444,0.5436665230763378,0.17251820560505257,0.28905203591919726,0.08655271980034869,4.195948142342312,0.06864055623583575,0.5593795502464981,0.486583124294185,0.5403089065204036,0.16878067434496918,0.2846460709297714,0.08736137168865568,4.231021653839042,-0.1404323052395481,0.5519012804336147,0.4961788546374633,0.6084766093996546,0.1453631516708549,0.25298545910676323,0.08852004710323826,4.813638137100421,-0.045912846203791616,0.5113304430508419,0.5148524779382063,0.5332646299543524,0.1852115668320492,0.2919562206478758,0.08781809116008192,3.98280244573882,-0.16938878500342458,0.5803264066566374,0.5179873138460016,0.5658019552832817,0.17197922717675082,0.28329459299410514,0.08769126100647877,4.229597729922624,-0.1526112350630643,0.5460464754713773,0.5099611635221747,0.5923639695326838,0.1970864032631393,0.29675219606268943,0.09025829058978169,4.075782064867278,-0.26455433468486084,0.5612091491880555,0.5307565614600859,472.0,-12
1083,165,2.9109182977604617,-0.5203064581065393,1.0644541388701403,0.45108441636811086,0.6660556653775014,0.272467331080835,0.2242573672194388,0.0925729149411932,3.7362063523671534,-0.811296205117192,0.5394098967744555,0.5254821877329637,0.9102512010986372,0.46011473751103227,0.31742647709087923,0.09512209566281793,3.6728491487308075,-1.4355734252686345,0.8526331874273179,0.5900145551047005,0.8192569574718799,0.43439163303923967,0.2479872031814229,0.09810792301785999,3.3823873206273185,-1.3970385628408326,0.7230811403748179,0.5689504705535209,0.48367924805654616,0.30919328823326797,0.33095519168790827,0.09350951087757763,2.8090490556808128,-0.46031677705241314,0.812679500173759,0.5170593438565582,0.46960547820609433,0.24343882084768736,0.2932126233436217,0.08831450180683371,3.1151143513526183,-0.18621985249150602,0.6712549078108313,0.48397607121346037,0.4866245501290316,0.2328895402373806,0.3121706592722991,0.09007061257720905,3.3967518351615427,-0.16192384391140646,0.6204542818253901,0.525169746847955,4.0,-40
1141,137,5.589619082064758,-0.9200668415560717,0.6085919042911706,0.5535854453200981,0.7198248645304646,0.17463207131395925,0.23815815359992334,0.0877759276907879,4.956124393146554,-0.48090064631618684,0.48404593961819303,0.5308490717558537,0.8534040457070972,0.3011213488121793,0.34920795593603504,0.08918161453522255,4.329034821059039,-0.9651341386148597,0.6989951114545309,0.5922896655774158,0.7483662635294595,0.27950589607772514,0.2506590905260294,0.0916283297431758,3.995567198468795,-0.8541731824133173,0.5625123431811542,0.5567113435146045,0.784827609779986,0.24109272767916182,0.24235049849789278,0.08939154032518036,4.416153231896306,-0.720586042196922,0.5203119386912803,0.5643761949279625,0.8525357104636011,0.22339877390181986,0.29012610442976233,0.0872021384373188,4.926698287399992,-0.6871006456883493,0.5720042381033191,0.5875000022582584,0.8130669901471569,0.3176077063652009,0.2766900878246636,0.09040959257632682,4.067730014983627,-0.9395413740856042,0.6061278623065176,0.5805451774812128,-340.0,-58
1199,9,2.649596542185928,-0.5141296036020945,0.69669614698665,0.48894247147848924,0.508200675092258,0.2767889148134499,0.32453446924503787,0.08945113177964682,3.0840124977443537,-0.47405341529570666,0.7512362051923357,0.5456287296573455,0.46458189696763946,0.2713568846122378,0.2672271828282646,0.09323590335533752,2.9782195232048783,-0.34350466480259373,0.6646627400181467,0.46561910737870005,0.4587359333349632,0.45849442279382113,0.25024633696410503,0.09491808332198653,1.9825817589369636,-0.6930630196547992,1.080002133957048,0.514656331412076,0.4761790341204479,0.4482313538741934,0.18783484536530382,0.09797939231852834,2.2516268228102776,-1.0110143382618815,0.7867221181728645,0.5133446728978468,0.4896494622190561,0.3721952148192027,0.3581491944641085,0.0844023205970343,2.2483928877445254,-0.3990994830664797,1.102118734642097,0.5433850305158567,0.34006651739597743,0.5075538849077288,0.13377149266874688,0.0958595200467512,1.7694723248562299,-0.5087125234321235,0.6739494519538916,0.4588898379993426,60.0,-34
1257,142,4.463095767893437,-0.12266818334325626,0.5141378891612107,0.4796902876756739,0.5723567324191242,0.18026044882764705,0.17045021349969672,0.08596707615872205,4.191675411731888,0.3555882874891692,0.4052500594824022,0.5093229634832869,0.6069366017576273,0.1733783632441021,0.25094627056109625,0.08850181460805161,4.308633205833026,-0.34675587453070883,0.5203041345155719,0.48687276626307335,0.5870344085375268,0.14793018057633803,0.21057514701235228,0.08641238244194147,4.626414490380845,-0.18740631218165746,0.457335007267284,0.47877485659404423,0.5051988552763099,0.2005236368033841,0.29050753584736894,0.08739197631097555,3.7641972383831566,0.12551111528752254,0.6004728257790962,0.4453251147350204,0.5730753210272173,0.1644816863139633,0.2051360407062924,0.0855955291493746,4.462522218546875,-0.2976295404168272,0.4369048748989625,0.4712046627703476,0.6893413000737243,0.1930865191562004,0.24787801597652903,0.08921850104372193,4.481728288998294,-0.4802327219993124,0.507320539203432,0.4907751164100108,180.0,-18
1315,91,8.01444707645763,0.7689543597501995,0.504638638496551,0.3573497091003169,0.8001762912614105,0.1704718043565099,0.2265588710377023,0.08838955951827701,5.306827817919788,0.4826161038984136,0.4718776976587817,0.4451945295644375,0.89033638500458,0.17980142103051208,0.2607556117890159,0.08639837084666689,5.614687977979553,0.5630133407847219,0.5129958078403293,0.40332571191776184,0.9813319379299582,0.1432181756727823,0.24797965836112837,0.08576800314635195,6.496224963796539,0.4208282224994274,0.48929497876392036,0.40008922322638485,0.9634726382873299,0.17225428535664944,0.25783038950058135,0.08366156082208348,5.98906127779951,0.5438572390117549,0.5172794032944449,0.38925792006494464,0.8696236760233595,0.17062928576729816,0.24199882313257143,0.0868432208484223,5.716014929874743,0.5207418844257058,0.49383547740928746,0.4093434532004352,0.91899162980933,0.20389824122950692,0.26088702735421204,0.09028446965238263,5.42623651861962,0.5807972855368894,0.5199759158502222,0.4057211559652869,1155.0,58
1373,158,6.627494407637562,0.8941295280162408,0.5034460886283282,0.3886192922066635,0.8209809084544933,0.25332431054446897,0.2655211403799131,0.08975472783841902,4.623639036915004,0.8015887505664281,0.5638232018625062,0.4126319805556467,0.8785550874369995,0.19686416757966452,0.26994956102356527,0.08723656087845433,5.362509917528904,0.607466002182799,0.5343467439027911,0.40452010090933077,0.8305260847992568,0.21163409641794226,0.25862409642682627,0.08750277704048927,5.025454390433995,0.6515911319629418,0.5338526723433666,0.4157210911483902,0.8463508401048918,0.1872398109563936,0.2541280583856293,0.0863449555054242,5.264911285769154,0.5737935184126903,0.5108384260231538,0.42073146946888024,0.8795500635581344,0.19832716596408567,0.2763139375559321,0.08608764231134214,5.320015407487137,0.6187465161964785,0.5315548727309667,0.4042318337011374,0.794978850697882,0.2653075993128205,0.26326572347287097,0.09107633910285128,4.333291664745624,0.7725422204965721,0.5478902328831119,0.4338727261742511,1235.0,58
1431,151,3.8275921841491884,-0.15578102487707166,1.9186125598151795,0.5045795632689437,0.566329914202332,0.1583698656483878,0.26902836212558007,0.08779316996580794,4.5173225617004205,-0.061299162032751583,0.5225384963794717,0.5221720261125883,0.5758934350124244,0.15870646520837348,0.26875409392485616,0.08981214495627955,4.514496831673226,-0.039329688302624705,0.5259626738053087,0.498623848980979,0.5198734013980864,0.18058087986489993,0.29935384425192463,0.08691604221977786,3.9999231984191312,0.06478445759269177,0.5751903390064271,0.49037219207078314,0.5239718312355608,0.1758792943722778,0.2859057678018248,0.08770516078307146,4.057904432915406,-0.051085591799582414,0.56769761889284,0.5070979700842393,0.6949233845637133,0.16437181304074358,0.24878076428026133,0.08360237229446316,5.033735564827907,-0.39358629560775316,0.504446620866362,0.5863985660843777,0.9973834887143836,0.3699270363539575,0.3962351668471518,0.09251404434500334,4.48179165383995,-1.0527289334628642,0.7433378340438699,0.6135423741827292,64.0,-16
1489,77,5.590823610216854,-0.5079929406777971,0.7343516467558007,0.45932486534955835,0.8029095800172315,0.14673713332021246,0.23498182225590955,0.08672343054288191,5.569004286427709,-0.3852470640435636,0.4660190115110047,0.540075589062773,0.6016272570321052,0.15887413957830096,0.24423719565459612,0.08479883024429698,4.548054022049938,-0.18583830828656986,0.5055343921190435,0.4586179990012855,0.7670865205205469,0.22187368232389648,0.2627357630174739,0.08893754327535029,4.546138997487492,-0.6713044591067008,0.5440488316881925,0.5623889442272455,0.6797969158208749,0.23271477425649417,0.2609465208954888,0.08814861682602922,4.108536505021285,-0.6917994710346418,0.5590643389055558,0.5260817821601133,0.8976297731726307,0.2392540291205081,0.30144517576525576,0.08785229897662589,4.961555087321472,-0.7336357093516568,0.583760392715581,0.5987410193622971,0.796562415626095,0.17820743908933295,0.24361039312766378,0.0874542010741587,5.12042206911066,-0.4966399936213054,0.4956909562331836,0.5585164891848925,-416.0,-53
1546,79,5.022207431127422,-0.44230314233541046,0.8582380354452014,0.5347825852963031,0.9233703554279582,0.16350307998579797,0.2547390635669905,0.0855379402554235,5.959857794965042,-0.498253263234685,0.499086158212588,0.6005333262143236,0.623483229555037,0.14743122006852571,0.2610943607368018,0.08621935799220956,4.988769214903216,-0.23657390275355908,0.5129172354364946,0.5439315574122584,0.5801132290052222,0.15643001388808275,0.2528708291068238,0.0861415762902528,4.5579463456010645,-0.24501754924483266,0.5042205251845926,0.5269240106756307,0.6213432927168164,0.18819399663959227,0.2942881631968933,0.08785468323766203,4.360541620121627,-0.31347267365766307,0.5641786708234633,0.5560510685556573,0.8709207362028425,0.24503652348442231,0.2930328755485739,0.08751056708559247,4.8805082180814825,-0.7692678810566971,0.5883864864355182,0.5972413713801479,0.5979020359229447,0.23878352490269927,0.2993461290354198,0.08944683798243556,3.7742388600994916,-0.49036107393651823,0.5995381186923106,0.5361364912336678,-124.0,-44
