,userid,rt,response,round,context,strategy,actions,prev
86,64,-3.33,0,41,1.0,MCC,1-1-0,1-1
87,64,-2.79,0,42,0.0,MCC,0-0-0,0-0
88,64,-4.88,0,43,2.0,MCC,0-2-0,0-2
89,64,-4.52,0,44,3.0,MCC,0-3-0,0-3
90,64,-4.24,0,45,3.0,MCC,0-3-0,0-3
91,64,-2.74,0,46,4.0,MCC,0-4-0,0-4
92,64,-4.42,0,47,1.0,MCC,,
93,143,4.06,1,1,,MCC,---1,--
94,143,-14.42,0,2,4.0,MCC,1-4-0,1-4
95,143,7.04,1,3,2.0,MCC,0-2-1,0-2
96,143,2.03,1,4,3.0,MCC,1-3-1,1-3
97,143,-5.37,0,5,2.0,MCC,1-2-0,1-2
98,143,-4.62,0,6,2.0,MCC,0-2-0,0-2
99,143,-4.31,0,7,3.0,MCC,0-3-0,0-3
100,143,15.33,1,8,1.0,MCC,0-1-1,0-1
101,143,-19.03,0,9,4.0,MCC,1-4-0,1-4
102,143,-10.86,0,10,4.0,MCC,0-4-0,0-4
103,143,8.76,1,11,1.0,MCC,0-1-1,0-1
104,143,5.02,1,12,2.0,MCC,1-2-1,1-2
105,143,-4.08,0,13,2.0,MCC,1-2-0,1-2
106,143,-6.2,0,14,1.0,MCC,0-1-0,0-1
107,143,-6.57,0,15,2.0,MCC,0-2-0,0-2
108,143,-4.17,0,16,3.0,MCC,0-3-0,0-3
109,143,5.88,1,17,1.0,MCC,0-1-1,0-1
110,143,-11.05,0,18,1.0,MCC,1-1-0,1-1
111,143,6.13,1,19,3.0,MCC,0-3-1,0-3
112,143,-4.52,0,20,3.0,MCC,1-3-0,1-3
113,143,-4.57,0,21,1.0,MCC,0-1-0,0-1
114,143,-4.52,0,22,2.0,MCC,0-2-0,0-2
115,143,-3.25,0,23,3.0,MCC,0-3-0,0-3
116,143,11.66,1,24,2.0,MCC,0-2-1,0-2
117,143,5.76,1,25,1.0,MCC,1-1-1,1-1
118,143,-3.15,0,26,1.0,MCC,1-1-0,1-1
119,143,-11.7,0,27,2.0,MCC,0-2-0,0-2
120,143,-5.96,0,28,1.0,MCC,0-1-0,0-1
121,143,-11.94,0,29,2.0,MCC,0-2-0,0-2
122,143,-4.28,0,30,2.0,MCC,0-2-0,0-2
123,143,-3.8,0,31,4.0,MCC,0-4-0,0-4
124,143,7.88,1,32,0.0,MCC,0-0-1,0-0
125,143,-7.12,0,33,3.0,MCC,1-3-0,1-3
126,143,4.45,1,34,2.0,MCC,0-2-1,0-2
127,143,-4.14,0,35,0.0,MCC,1-0-0,1-0
128,143,-5.54,0,36,2.0,MCC,0-2-0,0-2
129,143,-8.64,0,37,1.0,MCC,0-1-0,0-1
130,143,-12.12,0,38,2.0,MCC,0-2-0,0-2
131,143,-4.02,0,39,0.0,MCC,0-0-0,0-0
132,143,-7.32,0,40,1.0,MCC,0-1-0,0-1
133,143,-6.8,0,41,2.0,MCC,0-2-0,0-2
134,143,-4.73,0,42,0.0,MCC,0-0-0,0-0
135,143,-10.35,0,43,2.0,MCC,0-2-0,0-2
136,143,-3.83,0,44,2.0,MCC,0-2-0,0-2
137,143,2.84,1,45,1.0,MCC,0-1-1,0-1
138,143,-15.97,0,46,1.0,MCC,1-1-0,1-1
139,143,8.77,1,47,1.0,MCC,,
186,122,5.45,1,1,,MCC,---1,--
187,122,8.56,1,2,4.0,MCC,1-4-1,1-4
188,122,-3.66,0,3,2.0,MCC,1-2-0,1-2
189,122,6.09,1,4,4.0,MCC,0-4-1,0-4
190,122,-20.9,0,5,1.0,MCC,1-1-0,1-1
191,122,7.32,1,6,3.0,MCC,0-3-1,0-3
192,122,6.84,1,7,3.0,MCC,1-3-1,1-3
193,122,-2.74,0,8,0.0,MCC,1-0-0,1-0
194,122,-6.67,0,9,3.0,MCC,0-3-0,0-3
195,122,2.55,1,10,2.0,MCC,0-2-1,0-2
196,122,-2.71,0,11,2.0,MCC,1-2-0,1-2
197,122,-3.35,0,12,3.0,MCC,0-3-0,0-3
198,122,5.99,1,13,3.0,MCC,0-3-1,0-3
199,122,-13.62,0,14,3.0,MCC,1-3-0,1-3
200,122,-6.28,0,15,1.0,MCC,0-1-0,0-1
201,122,7.99,1,16,2.0,MCC,0-2-1,0-2
202,122,-7.16,0,17,3.0,MCC,1-3-0,1-3
203,122,-3.76,0,18,3.0,MCC,0-3-0,0-3
204,122,-8.1,0,19,1.0,MCC,0-1-0,0-1
205,122,13.27,1,20,2.0,MCC,0-2-1,0-2
206,122,-8.48,0,21,2.0,MCC,1-2-0,1-2
207,122,-4.23,0,22,2.0,MCC,0-2-0,0-2
208,122,9.1,1,23,3.0,MCC,0-3-1,0-3
209,122,-2.5,0,24,2.0,MCC,1-2-0,1-2
210,122,-5.96,0,25,1.0,MCC,0-1-0,0-1
211,122,-4.71,0,26,1.0,MCC,0-1-0,0-1
212,122,5.52,1,27,2.0,MCC,0-2-1,0-2
213,122,-4.23,0,28,0.0,MCC,1-0-0,1-0
214,122,7.64,1,29,2.0,MCC,0-2-1,0-2
215,122,3.86,1,30,3.0,MCC,1-3-1,1-3
216,122,5.66,1,31,3.0,MCC,1-3-1,1-3
217,122,-10.26,0,32,1.0,MCC,1-1-0,1-1
218,122,4.71,1,33,3.0,MCC,0-3-1,0-3
219,122,11.55,1,34,2.0,MCC,1-2-1,1-2
220,122,-4.32,0,35,0.0,MCC,1-0-0,1-0
221,122,-4.94,0,36,1.0,MCC,0-1-0,0-1
222,122,4.81,1,37,2.0,MCC,0-2-1,0-2
223,122,5.12,1,38,2.0,MCC,1-2-1,1-2
224,122,-4.27,0,39,1.0,MCC,1-1-0,1-1
225,122,-5.34,0,40,0.0,MCC,0-0-0,0-0
226,122,6.9,1,41,2.0,MCC,0-2-1,0-2
227,122,4.84,1,42,1.0,MCC,1-1-1,1-1
228,122,-2.85,0,43,1.0,MCC,1-1-0,1-1
229,122,6.72,1,44,2.0,MCC,0-2-1,0-2
230,122,2.64,1,45,5.0,MCC,1-5-1,1-5
231,122,-2.29,0,46,1.0,MCC,1-1-0,1-1
232,122,-3.75,0,47,0.0,MCC,,
233,97,11.55,1,1,,PD,---1,--
234,97,-11.25,0,2,5.0,PD,1-5-0,1-5
235,97,10.81,1,3,5.0,PD,0-5-1,0-5
236,97,-8.28,0,4,3.0,PD,1-3-0,1-3
237,97,-6.43,0,5,3.0,PD,0-3-0,0-3
238,97,-7.49,0,6,4.0,PD,0-4-0,0-4
239,97,-7.08,0,7,4.0,PD,0-4-0,0-4
240,97,11.45,1,8,2.0,PD,0-2-1,0-2
241,97,-7.82,0,9,3.0,PD,1-3-0,1-3
242,97,14.72,1,10,2.0,PD,0-2-1,0-2
243,97,-7.83,0,11,4.0,PD,1-4-0,1-4
244,97,-16.62,0,12,3.0,PD,0-3-0,0-3
245,97,-7.33,0,13,3.0,PD,0-3-0,0-3
246,97,-7.01,0,14,3.0,PD,0-3-0,0-3
247,97,-8.29,0,15,2.0,PD,0-2-0,0-2
248,97,-6.3,0,16,1.0,PD,0-1-0,0-1
249,97,9.17,1,17,3.0,PD,0-3-1,0-3
250,97,-7.38,0,18,1.0,PD,1-1-0,1-1
251,97,-6.47,0,19,1.0,PD,0-1-0,0-1
252,97,-12.1,0,20,4.0,PD,0-4-0,0-4
253,97,9.58,1,21,4.0,PD,0-4-1,0-4
254,97,9.21,1,22,0.0,PD,1-0-1,1-0
255,97,-9.84,0,23,1.0,PD,1-1-0,1-1
256,97,-7.05,0,24,2.0,PD,0-2-0,0-2
257,97,-6.71,0,25,1.0,PD,0-1-0,0-1
258,97,-10.82,0,26,1.0,PD,0-1-0,0-1
259,97,-5.6,0,27,1.0,PD,0-1-0,0-1
260,97,8.04,1,28,1.0,PD,0-1-1,0-1
261,97,-8.19,0,29,1.0,PD,1-1-0,1-1
262,97,-3.49,0,30,4.0,PD,0-4-0,0-4
263,97,-7.7,0,31,3.0,PD,0-3-0,0-3
264,97,-4.79,0,32,2.0,PD,0-2-0,0-2
265,97,-2.95,0,33,2.0,PD,0-2-0,0-2
266,97,-9.07,0,34,2.0,PD,0-2-0,0-2
267,97,-4.75,0,35,2.0,PD,0-2-0,0-2
268,97,-6.93,0,36,0.0,PD,0-0-0,0-0
269,97,-3.53,0,37,3.0,PD,0-3-0,0-3
270,97,6.89,1,38,1.0,PD,0-1-1,0-1
271,97,-6.27,0,39,1.0,PD,1-1-0,1-1
272,97,-3.96,0,40,0.0,PD,0-0-0,0-0
273,97,-5.0,0,41,1.0,PD,0-1-0,0-1
274,97,-3.71,0,42,2.0,PD,0-2-0,0-2
275,97,-3.84,0,43,1.0,PD,0-1-0,0-1
276,97,-6.78,0,44,3.0,PD,0-3-0,0-3
277,97,-9.7,0,45,6.0,PD,0-6-0,0-6
278,97,-3.58,0,46,2.0,PD,0-2-0,0-2
279,97,-6.17,0,47,0.0,PD,,
326,89,15.73,1,1,,MCC,---1,--
327,89,-18.14,0,2,5.0,MCC,1-5-0,1-5
328,89,-14.39,0,3,6.0,MCC,0-6-0,0-6
329,89,25.73,1,4,4.0,MCC,0-4-1,0-4
330,89,-20.73,0,5,3.0,MCC,1-3-0,1-3
331,89,-16.16,0,6,3.0,MCC,0-3-0,0-3
332,89,7.18,1,7,3.0,MCC,0-3-1,0-3
333,89,21.3,1,8,3.0,MCC,1-3-1,1-3
334,89,-21.36,0,9,5.0,MCC,1-5-0,1-5
335,89,-8.07,0,10,5.0,MCC,0-5-0,0-5
336,89,7.15,1,11,5.0,MCC,0-5-1,0-5
337,89,-11.93,0,12,2.0,MCC,1-2-0,1-2
338,89,-9.94,0,13,4.0,MCC,0-4-0,0-4
339,89,12.77,1,14,2.0,MCC,0-2-1,0-2
340,89,4.36,1,15,3.0,MCC,1-3-1,1-3
341,89,-7.45,0,16,2.0,MCC,1-2-0,1-2
342,89,-10.46,0,17,2.0,MCC,0-2-0,0-2
343,89,-10.28,0,18,3.0,MCC,0-3-0,0-3
344,89,-2.63,0,19,4.0,MCC,0-4-0,0-4
345,89,-7.05,0,20,6.0,MCC,0-6-0,0-6
346,89,-6.29,0,21,2.0,MCC,0-2-0,0-2
347,89,3.19,1,22,3.0,MCC,0-3-1,0-3
348,89,8.43,1,23,2.0,MCC,1-2-1,1-2
349,89,8.97,1,24,2.0,MCC,1-2-1,1-2
350,89,-5.78,0,25,4.0,MCC,1-4-0,1-4
351,89,-4.93,0,26,1.0,MCC,0-1-0,0-1
352,89,7.47,1,27,4.0,MCC,0-4-1,0-4
353,89,5.62,1,28,2.0,MCC,1-2-1,1-2
354,89,20.26,1,29,2.0,MCC,1-2-1,1-2
355,89,-5.66,0,30,2.0,MCC,1-2-0,1-2
356,89,-17.62,0,31,3.0,MCC,0-3-0,0-3
357,89,-10.55,0,32,3.0,MCC,0-3-0,0-3
358,89,-7.02,0,33,1.0,MCC,0-1-0,0-1
359,89,-10.52,0,34,2.0,MCC,0-2-0,0-2
360,89,3.58,1,35,3.0,MCC,0-3-1,0-3
361,89,-9.12,0,36,3.0,MCC,1-3-0,1-3
362,89,4.76,1,37,3.0,MCC,0-3-1,0-3
363,89,8.74,1,38,2.0,MCC,1-2-1,1-2
364,89,-4.6,0,39,2.0,MCC,1-2-0,1-2
365,89,7.83,1,40,3.0,MCC,0-3-1,0-3
366,89,20.07,1,41,3.0,MCC,1-3-1,1-3
367,89,9.75,1,42,3.0,MCC,1-3-1,1-3
368,89,-15.11,0,43,2.0,MCC,1-2-0,1-2
369,89,8.37,1,44,5.0,MCC,0-5-1,0-5
370,89,4.49,1,45,5.0,MCC,1-5-1,1-5
371,89,-6.93,0,46,3.0,MCC,1-3-0,1-3
372,89,-5.56,0,47,3.0,MCC,,
373,7,7.62,1,1,,MCC,---1,--
374,7,8.26,1,2,6.0,MCC,1-6-1,1-6
375,7,7.34,1,3,4.0,MCC,1-4-1,1-4
376,7,11.04,1,4,3.0,MCC,1-3-1,1-3
377,7,8.56,1,5,3.0,MCC,1-3-1,1-3
378,7,7.32,1,6,2.0,MCC,1-2-1,1-2
379,7,-4.1,0,7,1.0,MCC,1-1-0,1-1
380,7,-4.16,0,8,4.0,MCC,0-4-0,0-4
381,7,6.99,1,9,4.0,MCC,0-4-1,0-4
382,7,4.44,1,10,3.0,MCC,1-3-1,1-3
383,7,-5.48,0,11,2.0,MCC,1-2-0,1-2
384,7,2.82,1,12,3.0,MCC,0-3-1,0-3
385,7,5.55,1,13,2.0,MCC,1-2-1,1-2
386,7,6.88,1,14,2.0,MCC,1-2-1,1-2
387,7,-5.38,0,15,2.0,MCC,1-2-0,1-2
388,7,4.42,1,16,5.0,MCC,0-5-1,0-5
389,7,3.82,1,17,3.0,MCC,1-3-1,1-3
390,7,4.82,1,18,4.0,MCC,1-4-1,1-4
391,7,6.83,1,19,3.0,MCC,1-3-1,1-3
392,7,-2.98,0,20,2.0,MCC,1-2-0,1-2
393,7,4.25,1,21,2.0,MCC,0-2-1,0-2
394,7,3.52,1,22,3.0,MCC,1-3-1,1-3
395,7,4.94,1,23,3.0,MCC,1-3-1,1-3
396,7,4.5,1,24,4.0,MCC,1-4-1,1-4
397,7,-3.59,0,25,5.0,MCC,1-5-0,1-5
398,7,2.55,1,26,2.0,MCC,0-2-1,0-2
399,7,2.72,1,27,3.0,MCC,1-3-1,1-3
400,7,3.61,1,28,5.0,MCC,1-5-1,1-5
401,7,5.91,1,29,3.0,MCC,1-3-1,1-3
402,7,6.09,1,30,2.0,MCC,1-2-1,1-2
403,7,-3.71,0,31,2.0,MCC,1-2-0,1-2
404,7,-6.37,0,32,3.0,MCC,0-3-0,0-3
405,7,-6.25,0,33,1.0,MCC,0-1-0,0-1
406,7,2.83,1,34,3.0,MCC,0-3-1,0-3
407,7,2.9,1,35,1.0,MCC,1-1-1,1-1
408,7,2.67,1,36,3.0,MCC,1-3-1,1-3
409,7,3.86,1,37,1.0,MCC,1-1-1,1-1
410,7,2.77,1,38,3.0,MCC,1-3-1,1-3
411,7,3.12,1,39,2.0,MCC,1-2-1,1-2
412,7,4.51,1,40,3.0,MCC,1-3-1,1-3
413,7,2.9,1,41,3.0,MCC,1-3-1,1-3
414,7,4.82,1,42,3.0,MCC,1-3-1,1-3
415,7,4.97,1,43,3.0,MCC,1-3-1,1-3
416,7,10.83,1,44,2.0,MCC,1-2-1,1-2
417,7,8.01,1,45,5.0,MCC,1-5-1,1-5
418,7,5.3,1,46,3.0,MCC,1-3-1,1-3
419,7,-4.92,0,47,3.0,MCC,,
420,52,5.68,1,1,,MCC,---1,--
421,52,-6.03,0,2,5.0,MCC,1-5-0,1-5
422,52,-5.09,0,3,5.0,MCC,0-5-0,0-5
423,52,2.26,1,4,5.0,MCC,0-5-1,0-5
424,52,17.78,1,5,3.0,MCC,1-3-1,1-3
425,52,-8.68,0,6,3.0,MCC,1-3-0,1-3
426,52,-7.51,0,7,4.0,MCC,0-4-0,0-4
427,52,-4.8,0,8,3.0,MCC,0-3-0,0-3
428,52,3.15,1,9,3.0,MCC,0-3-1,0-3
429,52,-5.89,0,10,3.0,MCC,1-3-0,1-3
430,52,3.95,1,11,4.0,MCC,0-4-1,0-4
431,52,-4.62,0,12,2.0,MCC,1-2-0,1-2
432,52,3.53,1,13,4.0,MCC,0-4-1,0-4
433,52,-4.58,0,14,2.0,MCC,1-2-0,1-2
434,52,24.26,1,15,3.0,MCC,0-3-1,0-3
435,52,-4.76,0,16,3.0,MCC,1-3-0,1-3
436,52,11.84,1,17,6.0,MCC,0-6-1,0-6
437,52,-5.65,0,18,4.0,MCC,1-4-0,1-4
438,52,-4.41,0,19,3.0,MCC,0-3-0,0-3
439,52,13.87,1,20,5.0,MCC,0-5-1,0-5
440,52,-20.95,0,21,1.0,MCC,1-1-0,1-1
441,52,-8.78,0,22,4.0,MCC,0-4-0,0-4
442,52,4.93,1,23,4.0,MCC,0-4-1,0-4
443,52,3.43,1,24,5.0,MCC,1-5-1,1-5
444,52,-6.08,0,25,4.0,MCC,1-4-0,1-4
445,52,-6.81,0,26,3.0,MCC,0-3-0,0-3
446,52,3.9,1,27,5.0,MCC,0-5-1,0-5
447,52,-2.78,0,28,5.0,MCC,1-5-0,1-5
448,52,-2.46,0,29,5.0,MCC,0-5-0,0-5
449,52,10.76,1,30,3.0,MCC,0-3-1,0-3
450,52,-3.07,0,31,2.0,MCC,1-2-0,1-2
451,52,-6.12,0,32,3.0,MCC,0-3-0,0-3
452,52,4.04,1,33,3.0,MCC,0-3-1,0-3
453,52,-3.74,0,34,1.0,MCC,1-1-0,1-1
454,52,-2.94,0,35,3.0,MCC,0-3-0,0-3
455,52,-6.6,0,36,4.0,MCC,0-4-0,0-4
456,52,2.82,1,37,3.0,MCC,0-3-1,0-3
457,52,-2.8,0,38,3.0,MCC,1-3-0,1-3
458,52,4.4,1,39,3.0,MCC,0-3-1,0-3
459,52,-3.35,0,40,2.0,MCC,1-2-0,1-2
460,52,-4.17,0,41,2.0,MCC,0-2-0,0-2
461,52,1.94,1,42,3.0,MCC,0-3-1,0-3
462,52,-3.31,0,43,3.0,MCC,1-3-0,1-3
463,52,3.76,1,44,4.0,MCC,0-4-1,0-4
464,52,-2.18,0,45,4.0,MCC,1-4-0,1-4
465,52,3.18,1,46,2.0,MCC,0-2-1,0-2
466,52,7.2,1,47,3.0,MCC,,
513,2,11.02,1,1,,MCC,---1,--
514,2,10.21,1,2,3.0,MCC,1-3-1,1-3
515,2,-5.29,0,3,2.0,MCC,1-2-0,1-2
516,2,-10.32,0,4,4.0,MCC,0-4-0,0-4
517,2,9.48,1,5,3.0,MCC,0-3-1,0-3
518,2,4.78,1,6,2.0,MCC,1-2-1,1-2
519,2,-5.37,0,7,3.0,MCC,1-3-0,1-3
520,2,-4.57,0,8,3.0,MCC,0-3-0,0-3
521,2,9.4,1,9,2.0,MCC,0-2-1,0-2
522,2,-8.71,0,10,5.0,MCC,1-5-0,1-5
523,2,4.08,1,11,5.0,MCC,0-5-1,0-5
524,2,-4.12,0,12,1.0,MCC,1-1-0,1-1
525,2,-2.0,0,13,2.0,MCC,0-2-0,0-2
526,2,1.6,1,14,2.0,MCC,0-2-1,0-2
527,2,3.26,1,15,2.0,MCC,1-2-1,1-2
528,2,-4.71,0,16,2.0,MCC,1-2-0,1-2
529,2,-2.55,0,17,5.0,MCC,0-5-0,0-5
530,2,2.21,1,18,1.0,MCC,0-1-1,0-1
531,2,4.52,1,19,1.0,MCC,1-1-1,1-1
532,2,-2.54,0,20,3.0,MCC,1-3-0,1-3
533,2,-7.12,0,21,0.0,MCC,0-0-0,0-0
534,2,2.71,1,22,1.0,MCC,0-1-1,0-1
535,2,2.57,1,23,3.0,MCC,1-3-1,1-3
536,2,-6.74,0,24,5.0,MCC,1-5-0,1-5
537,2,-4.28,0,25,3.0,MCC,0-3-0,0-3
538,2,3.16,1,26,1.0,MCC,0-1-1,0-1
539,2,4.66,1,27,2.0,MCC,1-2-1,1-2
540,2,-2.72,0,28,4.0,MCC,1-4-0,1-4
541,2,-5.09,0,29,2.0,MCC,0-2-0,0-2
542,2,3.15,1,30,3.0,MCC,0-3-1,0-3
543,2,2.21,1,31,3.0,MCC,1-3-1,1-3
544,2,-2.53,0,32,1.0,MCC,1-1-0,1-1
545,2,-1.75,0,33,4.0,MCC,0-4-0,0-4
546,2,3.29,1,34,1.0,MCC,0-1-1,0-1
547,2,1.48,1,35,1.0,MCC,1-1-1,1-1
548,2,-2.14,0,36,2.0,MCC,1-2-0,1-2
549,2,-1.7,0,37,2.0,MCC,0-2-0,0-2
550,2,2.31,1,38,2.0,MCC,0-2-1,0-2
551,2,1.84,1,39,2.0,MCC,1-2-1,1-2
552,2,-2.73,0,40,2.0,MCC,1-2-0,1-2
553,2,-1.95,0,41,1.0,MCC,0-1-0,0-1
554,2,1.54,1,42,2.0,MCC,0-2-1,0-2
555,2,1.25,1,43,1.0,MCC,1-1-1,1-1
556,2,-1.35,0,44,1.0,MCC,1-1-0,1-1
557,2,-3.05,0,45,2.0,MCC,0-2-0,0-2
558,2,4.69,1,46,3.0,MCC,0-3-1,0-3
559,2,3.26,1,47,3.0,MCC,,
560,5,-5.88,0,1,,MCC,---0,--
561,5,-4.23,0,2,5.0,MCC,0-5-0,0-5
562,5,-6.64,0,3,2.0,MCC,0-2-0,0-2
563,5,-11.57,0,4,3.0,MCC,0-3-0,0-3
564,5,-9.62,0,5,4.0,MCC,0-4-0,0-4
565,5,-13.27,0,6,2.0,MCC,0-2-0,0-2
566,5,-13.0,0,7,4.0,MCC,0-4-0,0-4
567,5,-14.47,0,8,3.0,MCC,0-3-0,0-3
568,5,8.82,1,9,3.0,MCC,0-3-1,0-3
569,5,16.43,1,10,5.0,MCC,1-5-1,1-5
570,5,-14.07,0,11,3.0,MCC,1-3-0,1-3
571,5,-16.92,0,12,2.0,MCC,0-2-0,0-2
572,5,-7.21,0,13,2.0,MCC,0-2-0,0-2
573,5,-8.72,0,14,3.0,MCC,0-3-0,0-3
574,5,7.58,1,15,3.0,MCC,0-3-1,0-3
575,5,10.14,1,16,4.0,MCC,1-4-1,1-4
576,5,-6.31,0,17,3.0,MCC,1-3-0,1-3
577,5,-7.49,0,18,0.0,MCC,0-0-0,0-0
578,5,-6.43,0,19,5.0,MCC,0-5-0,0-5
579,5,-8.08,0,20,4.0,MCC,0-4-0,0-4
580,5,-6.59,0,21,1.0,MCC,0-1-0,0-1
581,5,7.6,1,22,2.0,MCC,0-2-1,0-2
582,5,2.42,1,23,2.0,MCC,1-2-1,1-2
583,5,-4.53,0,24,3.0,MCC,1-3-0,1-3
584,5,-7.68,0,25,3.0,MCC,0-3-0,0-3
585,5,-7.44,0,26,2.0,MCC,0-2-0,0-2
586,5,4.69,1,27,3.0,MCC,0-3-1,0-3
587,5,-4.72,0,28,3.0,MCC,1-3-0,1-3
588,5,-4.27,0,29,2.0,MCC,0-2-0,0-2
589,5,-6.43,0,30,3.0,MCC,0-3-0,0-3
590,5,-7.22,0,31,5.0,MCC,0-5-0,0-5
591,5,2.59,1,32,2.0,MCC,0-2-1,0-2
592,5,-9.97,0,33,1.0,MCC,1-1-0,1-1
593,5,-4.58,0,34,1.0,MCC,0-1-0,0-1
594,5,-10.39,0,35,3.0,MCC,0-3-0,0-3
595,5,-5.62,0,36,2.0,MCC,0-2-0,0-2
596,5,3.26,1,37,1.0,MCC,0-1-1,0-1
597,5,6.43,1,38,2.0,MCC,1-2-1,1-2
598,5,2.97,1,39,2.0,MCC,1-2-1,1-2
599,5,3.18,1,40,2.0,MCC,1-2-1,1-2
600,5,-4.82,0,41,1.0,MCC,1-1-0,1-1
601,5,-2.99,0,42,1.0,MCC,0-1-0,0-1
602,5,-3.6,0,43,2.0,MCC,0-2-0,0-2
603,5,-2.95,0,44,3.0,MCC,0-3-0,0-3
604,5,2.98,1,45,4.0,MCC,0-4-1,0-4
605,5,5.37,1,46,4.0,MCC,1-4-1,1-4
606,5,1.69,1,47,2.0,MCC,,
607,166,3.09,1,1,,MCC,---1,--
608,166,-6.92,0,2,4.0,MCC,1-4-0,1-4
609,166,23.9,1,3,2.0,MCC,0-2-1,0-2
610,166,-8.97,0,4,3.0,MCC,1-3-0,1-3
611,166,-6.81,0,5,5.0,MCC,0-5-0,0-5
612,166,8.69,1,6,2.0,MCC,0-2-1,0-2
613,166,-7.01,0,7,2.0,MCC,1-2-0,1-2
614,166,11.05,1,8,2.0,MCC,0-2-1,0-2
615,166,5.83,1,9,5.0,MCC,1-5-1,1-5
616,166,-7.92,0,10,2.0,MCC,1-2-0,1-2
617,166,-4.96,0,11,4.0,MCC,0-4-0,0-4
618,166,-12.11,0,12,2.0,MCC,0-2-0,0-2
619,166,10.86,1,13,4.0,MCC,0-4-1,0-4
620,166,-7.26,0,14,2.0,MCC,1-2-0,1-2
621,166,-15.82,0,15,2.0,MCC,0-2-0,0-2
622,166,9.89,1,16,2.0,MCC,0-2-1,0-2
623,166,-5.39,0,17,3.0,MCC,1-3-0,1-3
624,166,5.66,1,18,1.0,MCC,0-1-1,0-1
625,166,6.75,1,19,3.0,MCC,1-3-1,1-3
626,166,-5.68,0,20,5.0,MCC,1-5-0,1-5
627,166,-3.67,0,21,2.0,MCC,0-2-0,0-2
628,166,-5.35,0,22,2.0,MCC,0-2-0,0-2
629,166,-6.47,0,23,2.0,MCC,0-2-0,0-2
630,166,5.66,1,24,3.0,MCC,0-3-1,0-3
631,166,5.47,1,25,2.0,MCC,1-2-1,1-2
632,166,5.21,1,26,1.0,MCC,1-1-1,1-1
633,166,-6.03,0,27,1.0,MCC,1-1-0,1-1
634,166,13.48,1,28,2.0,MCC,0-2-1,0-2
635,166,-9.0,0,29,3.0,MCC,1-3-0,1-3
636,166,5.55,1,30,4.0,MCC,0-4-1,0-4
637,166,-6.63,0,31,3.0,MCC,1-3-0,1-3
638,166,-8.57,0,32,1.0,MCC,0-1-0,0-1
639,166,-12.62,0,33,2.0,MCC,0-2-0,0-2
640,166,6.5,1,34,3.0,MCC,0-3-1,0-3
641,166,-3.71,0,35,0.0,MCC,1-0-0,1-0
642,166,-4.21,0,36,0.0,MCC,0-0-0,0-0
643,166,4.44,1,37,2.0,MCC,0-2-1,0-2
644,166,3.84,1,38,3.0,MCC,1-3-1,1-3
645,166,-17.13,0,39,1.0,MCC,1-1-0,1-1
